Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,499.9904813139186,0.163,0.128,0.0,0.268,0.357,0.624,3.956,0.067,1
FinalTest,2,650,650.0156181310952,0.179,0.131,0.0,0.304,0.396,0.81,4.528,0.065,0
FinalTest,3,800,800.0233803366135,0.222,0.133,0.0,0.408,0.596,1.568,7.667,0.059,0
FinalTest,4,950,950.0119285556109,0.29,0.154,0.0,0.711,0.919,1.545,12.673,0.057,0
FinalTest,5,1100,1100.0080377037311,0.292,0.159,0.0,0.599,0.907,2.241,15.898,0.054,0
FinalTest,6,1300,1295.4810908344361,10.581,0.135,0.0,0.449,0.723,534.829,1004.264,0.052,1
FinalTest,7,1500,1500.0015053015106,0.223,0.147,0.0,0.396,0.552,1.351,6.426,0.055,0
FinalTest,8,1700,1700.011440623659,0.307,0.188,0.0,0.572,0.85,2.267,13.638,0.06,0
FinalTest,9,1900,1900.0033147498596,0.281,0.169,0.0,0.493,0.753,2.288,20.282,0.053,0
FinalTest,10,2100,2100.001174873315,0.309,0.188,0.0,0.606,0.867,1.788,15.203,0.052,0
FinalTest,11,2300,2299.902177325171,0.232,0.143,0.0,0.403,0.639,1.626,22.371,0.049,1
FinalTest,12,2500,2500.1161491808734,0.321,0.206,0.0,0.539,0.855,2.559,13.931,0.054,0
