Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-21T13:49:38.001225+00:00,500,499.97965833810076,0.18,0.136,0.0,0.33,0.414,0.667,3.377,0.065,1
FinalTest,2,2025-07-21T13:50:38.257640+00:00,650,647.9452295645518,11.181,0.14,0.0,0.377,0.523,551.388,1102.377,0.069,1
FinalTest,3,2025-07-21T13:51:38.585780+00:00,800,800.0053590625658,0.26,0.149,0.0,0.451,0.729,2.217,7.072,0.066,0
FinalTest,4,2025-07-21T13:52:38.935319+00:00,950,950.0023299123808,0.236,0.155,0.0,0.476,0.667,1.235,6.082,0.056,0
FinalTest,5,2025-07-21T13:53:39.376350+00:00,1100,1099.9038254288414,0.232,0.157,0.0,0.437,0.617,1.246,6.83,0.059,1
FinalTest,6,2025-07-21T13:54:39.875503+00:00,1300,1300.0008103275607,0.249,0.156,0.0,0.437,0.631,2.095,7.904,0.054,0
FinalTest,7,2025-07-21T13:55:40.429861+00:00,1500,1499.9849439011257,0.236,0.153,0.0,0.419,0.602,1.574,10.994,0.056,0
FinalTest,8,2025-07-21T13:56:41.088937+00:00,1700,1700.0011314924197,0.31,0.17,0.0,0.579,0.979,2.634,16.055,0.058,0
FinalTest,9,2025-07-21T13:57:41.928773+00:00,1900,1900.0012979089383,0.338,0.149,0.0,0.757,1.126,3.114,23.864,0.052,0
FinalTest,10,2025-07-21T13:58:42.720143+00:00,2100,2099.734328677396,0.338,0.171,0.0,0.732,1.059,2.194,28.495,0.052,1
FinalTest,11,2025-07-21T13:59:43.620044+00:00,2300,2300.014156395465,0.224,0.134,0.0,0.367,0.646,1.754,16.782,0.05,0
FinalTest,12,2025-07-21T14:00:44.558799+00:00,2500,2499.996774087496,0.332,0.167,0.0,0.606,0.991,2.89,32.705,0.048,0
FinalTest,13,2025-07-21T14:01:45.498016+00:00,2700,2699.9995815643147,0.723,0.245,0.0,0.875,1.717,9.335,138.397,0.052,0
FinalTest,14,2025-07-21T14:02:46.493329+00:00,2900,2900.0120768658862,0.241,0.154,0.0,0.4,0.605,1.751,18.028,0.043,0
FinalTest,15,2025-07-21T14:03:47.583664+00:00,3100,3100.0048670004744,0.551,0.177,0.0,0.603,1.104,4.769,134.899,0.047,0
FinalTest,16,2025-07-21T14:04:48.731456+00:00,3300,3300.0074212558748,0.274,0.167,0.0,0.487,0.71,1.988,14.403,0.045,0
FinalTest,17,2025-07-21T14:05:49.941854+00:00,3500,3499.8296358686875,0.338,0.183,0.0,0.591,1.063,2.846,23.188,0.047,1
FinalTest,18,2025-07-21T14:06:51.317766+00:00,3700,3700.0508872039723,0.298,0.173,0.0,0.55,0.958,2.256,21.438,0.045,0
FinalTest,19,2025-07-21T14:07:52.717348+00:00,3900,3899.960729041456,0.297,0.179,0.0,0.451,0.839,2.419,25.024,0.045,0
FinalTest,20,2025-07-21T14:08:54.030663+00:00,4000,3999.98473800079,0.726,0.207,0.0,0.611,1.248,8.139,161.535,0.05,0
FinalTest,21,2025-07-21T14:09:55.381156+00:00,3800,3800.0005215136002,0.556,0.192,0.0,0.649,1.021,8.191,123.997,0.046,0
FinalTest,22,2025-07-21T14:10:56.597872+00:00,3600,3600.0478970821737,0.933,0.386,0.0,1.176,3.257,11.026,114.277,0.05,0
FinalTest,23,2025-07-21T14:11:57.751047+00:00,3400,3400.0059425228496,0.879,0.318,0.0,0.868,1.931,12.548,115.645,0.047,0
FinalTest,24,2025-07-21T14:12:58.894658+00:00,3200,3199.998473203539,0.27,0.163,0.0,0.426,0.592,2.203,36.897,0.045,0
FinalTest,25,2025-07-21T14:14:00.015083+00:00,3000,2999.877848823839,0.322,0.167,0.0,0.485,0.77,2.952,50.656,0.049,0
FinalTest,26,2025-07-21T14:15:00.938140+00:00,2800,2799.5220138003715,0.907,0.19,0.0,0.529,0.789,8.258,218.695,0.051,1
FinalTest,27,2025-07-21T14:16:01.843207+00:00,2600,2599.651809102068,0.337,0.167,0.0,0.487,0.755,2.626,61.228,0.049,1
FinalTest,28,2025-07-21T14:17:02.752190+00:00,2400,2400.0178052120928,0.241,0.144,0.0,0.392,0.642,1.689,18.571,0.049,0
FinalTest,29,2025-07-21T14:18:03.457559+00:00,2200,2200.00706638603,0.195,0.14,0.0,0.292,0.363,1.476,6.721,0.051,0
FinalTest,30,2025-07-21T14:19:04.053585+00:00,2000,1999.9987138460579,0.12,0.098,0.0,0.152,0.202,0.379,7.272,0.047,0
