Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-25T12:44:54.738620+00:00,500,500.01318239754204,0.094,0.088,0.0,0.105,0.124,0.199,4.301,0.061,0
FinalTest,2,2025-07-25T12:45:54.935618+00:00,650,650.0206808954781,0.095,0.089,0.0,0.105,0.12,0.202,2.396,0.066,0
FinalTest,3,2025-07-25T12:46:55.179557+00:00,800,800.0149234383811,0.086,0.082,0.0,0.096,0.108,0.179,3.416,0.062,0
FinalTest,4,2025-07-25T12:47:55.541974+00:00,950,950.0144120449634,0.095,0.089,0.0,0.112,0.126,0.207,3.979,0.059,0
FinalTest,5,2025-07-25T12:48:55.952342+00:00,1100,1099.9921497154137,0.094,0.088,0.0,0.11,0.124,0.221,3.21,0.051,1
FinalTest,6,2025-07-25T12:49:56.393378+00:00,1300,1300.0024995951856,0.101,0.091,0.0,0.124,0.151,0.241,3.492,0.056,0
FinalTest,7,2025-07-25T12:50:56.926846+00:00,1500,1500.0142858860563,0.13,0.091,0.0,0.135,0.192,1.358,5.759,0.054,0
FinalTest,8,2025-07-25T12:51:57.493599+00:00,1700,1699.9705557743057,0.237,0.185,0.0,0.296,0.362,2.401,5.83,0.052,1
FinalTest,9,2025-07-25T12:52:58.192886+00:00,1900,1900.0066524299586,0.164,0.1,0.0,0.218,0.29,2.0,6.73,0.053,0
FinalTest,10,2025-07-25T12:53:58.956631+00:00,2100,2099.9961896380983,0.118,0.101,0.0,0.161,0.205,0.322,3.711,0.049,1
FinalTest,11,2025-07-25T12:54:59.722125+00:00,2300,2300.0059961721818,0.148,0.102,0.0,0.183,0.264,1.396,6.304,0.05,0
FinalTest,12,2025-07-25T12:56:00.472941+00:00,2500,2500.0019435431777,0.272,0.196,0.0,0.369,0.461,2.391,33.945,0.05,0
FinalTest,13,2025-07-25T12:57:01.292683+00:00,2700,2699.621336892754,0.125,0.101,0.0,0.163,0.202,0.46,21.978,0.046,1
FinalTest,14,2025-07-25T12:58:02.186572+00:00,2900,2899.7655192294505,0.138,0.112,0.0,0.184,0.259,0.544,10.609,0.041,1
FinalTest,15,2025-07-25T12:59:03.163481+00:00,3100,3100.010603323615,0.252,0.155,0.0,0.421,0.528,2.38,7.653,0.043,0
FinalTest,16,2025-07-25T13:00:04.149092+00:00,3300,3299.9913763918744,0.126,0.108,0.0,0.167,0.197,0.497,4.206,0.045,1
FinalTest,17,2025-07-25T13:01:05.294613+00:00,3500,3499.964377959033,0.15,0.134,0.0,0.194,0.222,0.638,11.881,0.046,1
FinalTest,18,2025-07-25T13:02:06.524286+00:00,3700,3700.0103644073656,0.167,0.133,0.0,0.209,0.287,1.114,9.334,0.041,0
FinalTest,19,2025-07-25T13:03:07.729355+00:00,3900,3899.8507434083263,0.436,0.128,0.0,0.241,0.382,2.075,172.609,0.044,0
FinalTest,20,2025-07-25T13:04:09.068687+00:00,4000,3999.4371206003148,0.546,0.211,0.0,0.622,1.27,7.058,107.043,0.048,1
FinalTest,21,2025-07-25T13:05:10.368109+00:00,3800,3800.012972167388,0.202,0.151,0.0,0.303,0.481,1.241,12.799,0.045,0
FinalTest,22,2025-07-25T13:06:11.581442+00:00,3600,3600.007392577855,0.24,0.118,0.0,0.2,0.245,1.075,97.13,0.043,0
FinalTest,23,2025-07-25T13:07:12.604976+00:00,3400,3399.979788503843,0.135,0.113,0.0,0.178,0.209,0.645,4.656,0.044,1
FinalTest,24,2025-07-25T13:08:13.569901+00:00,3200,3200.0087252959015,0.125,0.12,0.0,0.16,0.175,0.295,3.263,0.045,0
FinalTest,25,2025-07-25T13:09:14.580043+00:00,3000,3000.049857618265,0.119,0.109,0.0,0.159,0.18,0.366,4.068,0.045,0
FinalTest,26,2025-07-25T13:10:15.516860+00:00,2800,2799.7914684794005,0.117,0.103,0.0,0.157,0.178,0.367,13.86,0.049,1
FinalTest,27,2025-07-25T13:11:16.352570+00:00,2600,2599.974221567931,0.104,0.089,0.0,0.137,0.161,0.329,4.0,0.048,1
FinalTest,28,2025-07-25T13:12:17.163615+00:00,2400,2400.014626524045,0.124,0.105,0.0,0.149,0.189,0.565,14.975,0.048,0
FinalTest,29,2025-07-25T13:13:17.915784+00:00,2200,2199.9934664004095,0.137,0.104,0.0,0.204,0.254,0.586,5.339,0.046,1
FinalTest,30,2025-07-25T13:14:18.518865+00:00,2000,2000.009693461093,0.163,0.144,0.0,0.256,0.291,0.437,15.376,0.048,0
