Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-22T19:08:56.159534+00:00,500,500.0171079186751,0.091,0.086,0.0,0.1,0.118,0.192,3.512,0.062,0
FinalTest,2,2025-07-22T19:09:56.357833+00:00,650,650.018340007456,0.089,0.085,0.0,0.099,0.108,0.162,4.584,0.06,0
FinalTest,3,2025-07-22T19:10:56.595429+00:00,800,800.0002850860409,0.088,0.084,0.0,0.098,0.107,0.159,3.586,0.061,1
FinalTest,4,2025-07-22T19:11:56.880526+00:00,950,950.0028330192818,0.085,0.08,0.0,0.101,0.111,0.153,4.656,0.051,0
FinalTest,5,2025-07-22T19:12:57.240052+00:00,1100,1100.0104947967936,0.088,0.082,0.0,0.105,0.116,0.193,4.513,0.051,0
FinalTest,6,2025-07-22T19:13:57.633990+00:00,1300,1299.9489182475077,0.102,0.091,0.0,0.135,0.172,0.26,5.024,0.053,1
FinalTest,7,2025-07-22T19:14:58.108915+00:00,1500,1500.0035070081992,0.095,0.086,0.0,0.111,0.123,0.197,21.38,0.054,0
FinalTest,8,2025-07-22T19:15:58.659062+00:00,1700,1700.0109317786294,0.143,0.09,0.0,0.137,0.202,2.055,17.69,0.048,0
FinalTest,9,2025-07-22T19:16:59.220079+00:00,1900,1900.014963662847,0.127,0.094,0.0,0.144,0.199,0.726,5.749,0.049,0
FinalTest,10,2025-07-22T19:17:59.864456+00:00,2100,2100.006901885794,0.1,0.092,0.0,0.127,0.139,0.239,4.696,0.046,0
FinalTest,11,2025-07-22T19:19:00.558376+00:00,2300,2300.0107821220095,0.111,0.098,0.0,0.141,0.169,0.326,6.073,0.052,0
FinalTest,12,2025-07-22T19:20:01.342032+00:00,2500,2499.9974415442853,0.186,0.125,0.0,0.307,0.364,1.332,6.031,0.051,0
FinalTest,13,2025-07-22T19:21:02.146779+00:00,2700,2700.0029269409747,0.155,0.1,0.0,0.173,0.275,1.619,30.039,0.046,0
FinalTest,14,2025-07-22T19:22:03.008419+00:00,2900,2900.013279595462,0.158,0.11,0.0,0.22,0.329,1.192,16.349,0.045,0
FinalTest,15,2025-07-22T19:23:03.937636+00:00,3100,3100.010910307056,0.119,0.108,0.0,0.157,0.173,0.386,6.455,0.043,0
FinalTest,16,2025-07-22T19:24:05.001376+00:00,3300,3299.990767040939,0.174,0.127,0.0,0.19,0.24,0.684,37.569,0.046,0
FinalTest,17,2025-07-22T19:25:06.043245+00:00,3500,3500.0066496043,0.23,0.149,0.0,0.431,0.542,1.743,13.869,0.046,0
FinalTest,18,2025-07-22T19:26:07.162975+00:00,3700,3700.003840049616,0.197,0.134,0.0,0.202,0.281,2.529,14.919,0.046,0
FinalTest,19,2025-07-22T19:27:08.304507+00:00,3900,3900.004572820362,0.147,0.138,0.0,0.195,0.213,0.513,7.379,0.046,0
FinalTest,20,2025-07-22T19:28:09.472558+00:00,4000,3999.9980562514133,0.142,0.132,0.0,0.192,0.213,0.475,5.333,0.043,0
FinalTest,21,2025-07-22T19:29:10.596070+00:00,3800,3799.9550940928425,0.139,0.127,0.0,0.188,0.212,0.513,6.647,0.045,2
FinalTest,22,2025-07-22T19:30:11.814523+00:00,3600,3600.0173738713825,0.136,0.125,0.0,0.183,0.203,0.464,5.994,0.042,0
FinalTest,23,2025-07-22T19:31:12.860606+00:00,3400,3400.005110071112,0.137,0.12,0.0,0.178,0.2,0.556,6.019,0.044,0
FinalTest,24,2025-07-22T19:32:13.838783+00:00,3200,3200.0024535485477,0.154,0.116,0.0,0.175,0.226,1.353,6.091,0.043,0
FinalTest,25,2025-07-22T19:33:14.739986+00:00,3000,3000.014621635828,0.118,0.105,0.0,0.156,0.173,0.371,9.041,0.044,0
FinalTest,26,2025-07-22T19:34:15.597796+00:00,2800,2800.0127604407744,0.114,0.101,0.0,0.153,0.172,0.323,6.914,0.046,0
FinalTest,27,2025-07-22T19:35:16.469695+00:00,2600,2600.007403391081,0.108,0.096,0.0,0.14,0.16,0.33,5.736,0.047,0
FinalTest,28,2025-07-22T19:36:17.259929+00:00,2400,2400.0179254360683,0.123,0.106,0.0,0.162,0.219,0.424,6.121,0.049,0
FinalTest,29,2025-07-22T19:37:17.957786+00:00,2200,2200.0104652190635,0.147,0.103,0.0,0.213,0.271,1.11,13.465,0.05,0
FinalTest,30,2025-07-22T19:38:18.551880+00:00,2000,2000.0336449659824,0.115,0.094,0.0,0.141,0.19,0.395,13.317,0.047,0
