Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-22T11:39:55.052247+00:00,500,500.0191401326613,0.093,0.088,0.0,0.104,0.12,0.19,3.587,0.067,0
FinalTest,2,2025-07-22T11:40:55.246236+00:00,650,650.016765817439,0.091,0.087,0.0,0.1,0.112,0.168,3.985,0.064,0
FinalTest,3,2025-07-22T11:41:55.491025+00:00,800,800.0209853237986,0.091,0.087,0.0,0.101,0.11,0.175,4.926,0.062,0
FinalTest,4,2025-07-22T11:42:55.780497+00:00,950,950.0088839605779,0.09,0.085,0.0,0.108,0.123,0.19,3.073,0.051,0
FinalTest,5,2025-07-22T11:43:56.111582+00:00,1100,1099.9956461345982,0.096,0.088,0.0,0.112,0.133,0.249,4.873,0.052,1
FinalTest,6,2025-07-22T11:44:56.509998+00:00,1300,1300.0148422694542,0.095,0.087,0.0,0.11,0.137,0.222,5.265,0.057,0
FinalTest,7,2025-07-22T11:45:56.973784+00:00,1500,1500.0080348906488,0.132,0.099,0.0,0.214,0.24,0.334,5.518,0.055,0
FinalTest,8,2025-07-22T11:46:57.499060+00:00,1700,1700.012548840964,0.133,0.093,0.0,0.193,0.242,0.701,19.795,0.051,0
FinalTest,9,2025-07-22T11:47:58.068807+00:00,1900,1899.9715378873564,0.132,0.092,0.0,0.144,0.208,1.381,13.293,0.054,1
FinalTest,10,2025-07-22T11:48:58.692527+00:00,2100,2100.0036619987827,0.098,0.087,0.0,0.12,0.143,0.274,5.359,0.047,0
FinalTest,11,2025-07-22T11:49:59.377368+00:00,2300,2299.9915628948115,0.106,0.095,0.0,0.132,0.146,0.305,4.808,0.048,1
FinalTest,12,2025-07-22T11:51:00.186792+00:00,2500,2499.993295008883,0.128,0.097,0.0,0.153,0.221,0.71,6.391,0.046,1
FinalTest,13,2025-07-22T11:52:01.049245+00:00,2700,2700.002778663345,0.123,0.09,0.0,0.151,0.194,0.896,16.477,0.047,0
FinalTest,14,2025-07-22T11:53:01.927412+00:00,2900,2899.8914296852104,0.113,0.097,0.0,0.151,0.177,0.38,14.491,0.045,1
FinalTest,15,2025-07-22T11:54:02.976878+00:00,3100,3099.9821786158236,0.245,0.117,0.0,0.193,0.291,0.82,104.503,0.041,0
FinalTest,16,2025-07-22T11:55:04.060160+00:00,3300,3299.955531571717,0.197,0.118,0.0,0.302,0.434,1.962,13.258,0.043,1
FinalTest,17,2025-07-22T11:56:05.174810+00:00,3500,3500.006663137685,0.217,0.122,0.0,0.339,0.491,2.246,20.965,0.044,0
FinalTest,18,2025-07-22T11:57:06.330464+00:00,3700,3699.854257853944,0.146,0.117,0.0,0.187,0.218,0.751,22.56,0.043,1
FinalTest,19,2025-07-22T11:58:07.660848+00:00,3900,3899.986688279773,0.265,0.15,0.0,0.241,0.419,1.322,86.8,0.044,0
FinalTest,20,2025-07-22T11:59:08.997612+00:00,4000,3999.975322279933,0.685,0.308,0.0,0.812,2.023,8.182,107.204,0.048,0
FinalTest,21,2025-07-22T12:00:10.218663+00:00,3800,3800.0202956240796,0.409,0.181,0.0,0.622,1.009,4.088,69.548,0.044,0
FinalTest,22,2025-07-22T12:01:11.289276+00:00,3600,3600.063887984673,0.173,0.111,0.0,0.175,0.216,0.996,66.44,0.046,0
FinalTest,23,2025-07-22T12:02:12.428182+00:00,3400,3399.800762878497,0.121,0.106,0.0,0.165,0.19,0.423,12.962,0.043,1
FinalTest,24,2025-07-22T12:03:13.381078+00:00,3200,3199.9977774717254,0.135,0.124,0.0,0.167,0.189,0.513,5.463,0.042,0
FinalTest,25,2025-07-22T12:04:14.316613+00:00,3000,3000.0085578361654,0.179,0.121,0.0,0.21,0.328,1.788,30.253,0.043,0
FinalTest,26,2025-07-22T12:05:15.288044+00:00,2800,2799.849459675718,0.134,0.104,0.0,0.17,0.235,0.579,17.588,0.049,1
FinalTest,27,2025-07-22T12:06:16.104266+00:00,2600,2600.0055495574193,0.108,0.097,0.0,0.14,0.161,0.334,5.977,0.047,0
FinalTest,28,2025-07-22T12:07:16.858515+00:00,2400,2400.0130884471528,0.111,0.102,0.0,0.137,0.156,0.312,4.763,0.048,0
FinalTest,29,2025-07-22T12:08:17.578863+00:00,2200,2199.9675364545587,0.147,0.096,0.0,0.181,0.252,1.781,5.519,0.046,1
FinalTest,30,2025-07-22T12:09:18.169939+00:00,2000,2000.014427837414,0.13,0.087,0.0,0.175,0.23,1.271,5.8,0.046,0
