Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-25T18:14:44.403464+00:00,500,500.01262516044795,0.089,0.085,0.0,0.101,0.116,0.166,4.019,0.063,0
FinalTest,2,2025-07-25T18:15:44.601209+00:00,650,650.0155683136937,0.089,0.084,0.0,0.099,0.111,0.185,3.344,0.063,0
FinalTest,3,2025-07-25T18:16:44.841553+00:00,800,800.0162145152981,0.094,0.089,0.0,0.103,0.118,0.2,2.74,0.062,0
FinalTest,4,2025-07-25T18:17:45.220445+00:00,950,950.0090734099923,0.093,0.087,0.0,0.112,0.129,0.197,3.936,0.054,0
FinalTest,5,2025-07-25T18:18:45.585309+00:00,1100,1099.9823734887143,0.101,0.089,0.0,0.122,0.176,0.26,2.859,0.058,1
FinalTest,6,2025-07-25T18:19:46.124218+00:00,1300,1299.992010530768,0.241,0.137,0.0,0.528,0.717,1.395,17.029,0.061,0
FinalTest,7,2025-07-25T18:20:46.684297+00:00,1500,1500.0006832662364,0.255,0.126,0.0,0.505,0.792,2.168,9.684,0.051,0
FinalTest,8,2025-07-25T18:21:47.366083+00:00,1700,1700.0050592279897,0.312,0.159,0.0,0.649,1.014,2.366,27.116,0.06,0
FinalTest,9,2025-07-25T18:22:48.009327+00:00,1900,1899.9996659800588,0.226,0.121,0.0,0.354,0.669,1.983,22.476,0.046,0
FinalTest,10,2025-07-25T18:23:48.691002+00:00,2100,2100.0083625630036,0.287,0.137,0.0,0.509,0.864,3.156,21.112,0.051,0
FinalTest,11,2025-07-25T18:24:49.417380+00:00,2300,2300.005031810804,0.375,0.145,0.0,0.675,1.506,4.419,17.06,0.049,0
FinalTest,12,2025-07-25T18:25:50.356125+00:00,2500,2499.9945263504933,0.319,0.173,0.0,0.604,0.886,2.25,18.683,0.053,0
FinalTest,13,2025-07-25T18:26:51.394754+00:00,2700,2700.0331441139347,0.355,0.175,0.0,0.578,0.894,3.994,24.534,0.046,0
FinalTest,14,2025-07-25T18:27:52.407602+00:00,2900,2899.9794767002445,1.275,0.294,0.0,1.927,7.131,15.963,149.484,0.05,0
FinalTest,15,2025-07-25T18:28:53.351401+00:00,3100,3099.992031910975,1.194,0.383,0.0,1.662,5.291,14.961,146.002,0.052,0
FinalTest,16,2025-07-25T18:29:54.374292+00:00,3300,3299.8869005489673,0.186,0.139,0.0,0.267,0.386,0.97,26.091,0.044,1
FinalTest,17,2025-07-25T18:30:55.459129+00:00,3500,3499.996047033484,0.182,0.12,0.0,0.224,0.346,0.846,42.839,0.043,0
FinalTest,18,2025-07-25T18:31:56.705109+00:00,3700,3700.0031775580223,0.152,0.119,0.0,0.214,0.343,0.685,11.622,0.043,0
FinalTest,19,2025-07-25T18:32:57.931455+00:00,3900,3899.9971604844645,0.265,0.137,0.0,0.376,0.567,2.366,68.119,0.045,0
FinalTest,20,2025-07-25T18:33:59.193791+00:00,4000,3999.999956400001,0.457,0.181,0.0,0.779,1.711,4.7,60.878,0.045,0
FinalTest,21,2025-07-25T18:35:00.383603+00:00,3800,3800.019017485098,0.199,0.131,0.0,0.338,0.527,1.411,14.047,0.043,0
FinalTest,22,2025-07-25T18:36:01.512915+00:00,3600,3600.0098944446167,0.196,0.124,0.0,0.236,0.418,1.584,39.526,0.045,0
FinalTest,23,2025-07-25T18:37:02.589898+00:00,3400,3400.0075993003184,0.3,0.134,0.0,0.362,0.58,2.173,99.604,0.045,0
FinalTest,24,2025-07-25T18:38:03.643799+00:00,3200,3200.002810417106,0.18,0.135,0.0,0.264,0.397,0.995,6.096,0.048,1
FinalTest,25,2025-07-25T18:39:04.586774+00:00,3000,3000.012950650625,0.241,0.132,0.0,0.409,0.587,2.166,27.064,0.046,0
FinalTest,26,2025-07-25T18:40:05.482855+00:00,2800,2800.033888601769,0.536,0.217,0.0,0.681,1.565,8.066,46.921,0.046,0
FinalTest,27,2025-07-25T18:41:06.265335+00:00,2600,2600.006010910959,0.815,0.231,0.0,1.601,4.738,10.502,44.8,0.048,0
FinalTest,28,2025-07-25T18:42:06.994844+00:00,2400,2400.0145079276995,0.135,0.113,0.0,0.193,0.253,0.52,8.757,0.047,0
FinalTest,29,2025-07-25T18:43:07.649340+00:00,2200,2199.8955272060825,0.107,0.091,0.0,0.147,0.178,0.302,15.299,0.047,1
FinalTest,30,2025-07-25T18:44:08.237681+00:00,2000,2000.0331582163913,0.092,0.085,0.0,0.111,0.125,0.206,2.499,0.049,0
