Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-25T16:09:27.841834+00:00,500,500.0158956053245,0.093,0.088,0.0,0.104,0.12,0.197,2.157,0.062,0
FinalTest,2,2025-07-25T16:10:28.037146+00:00,650,650.0170311178996,0.086,0.082,0.0,0.095,0.106,0.155,2.977,0.061,0
FinalTest,3,2025-07-25T16:11:28.279341+00:00,800,800.0253104407476,0.087,0.083,0.0,0.097,0.107,0.16,2.268,0.061,0
FinalTest,4,2025-07-25T16:12:28.564350+00:00,950,950.0106487485294,0.093,0.088,0.0,0.111,0.126,0.177,2.826,0.058,0
FinalTest,5,2025-07-25T16:13:28.897754+00:00,1100,1100.010410498525,0.095,0.089,0.0,0.112,0.13,0.215,3.51,0.05,0
FinalTest,6,2025-07-25T16:14:29.367810+00:00,1300,1300.0015936286204,0.168,0.119,0.0,0.316,0.446,0.729,4.43,0.056,0
FinalTest,7,2025-07-25T16:15:29.911351+00:00,1500,1500.0041882366943,0.169,0.123,0.0,0.292,0.402,0.716,5.812,0.048,0
FinalTest,8,2025-07-25T16:16:30.457532+00:00,1700,1700.0061683307144,0.199,0.143,0.0,0.366,0.521,0.9,6.512,0.06,0
FinalTest,9,2025-07-25T16:17:31.078322+00:00,1900,1900.012466667821,0.164,0.123,0.0,0.269,0.393,0.775,6.28,0.051,0
FinalTest,10,2025-07-25T16:18:31.764182+00:00,2100,2100.007373132737,0.219,0.147,0.0,0.446,0.565,0.799,7.718,0.052,0
FinalTest,11,2025-07-25T16:19:32.494438+00:00,2300,2300.000979247513,0.228,0.151,0.0,0.473,0.576,0.854,21.609,0.049,0
FinalTest,12,2025-07-25T16:20:33.338429+00:00,2500,2499.9980914597904,0.279,0.174,0.0,0.569,0.719,1.328,12.548,0.051,0
FinalTest,13,2025-07-25T16:21:34.246549+00:00,2700,2700.0092448766545,0.405,0.186,0.0,0.656,1.044,3.912,59.301,0.043,0
FinalTest,14,2025-07-25T16:22:35.215978+00:00,2900,2899.9966548055254,0.874,0.284,0.0,1.152,2.857,10.054,136.612,0.052,0
FinalTest,15,2025-07-25T16:23:36.181867+00:00,3100,3100.054645281123,0.305,0.171,0.0,0.559,0.694,1.482,43.71,0.043,0
FinalTest,16,2025-07-25T16:24:37.203319+00:00,3300,3299.9868913784553,0.206,0.14,0.0,0.335,0.537,1.206,23.049,0.042,1
FinalTest,17,2025-07-25T16:25:38.285145+00:00,3500,3500.0050530156286,0.223,0.144,0.0,0.366,0.6,1.742,11.504,0.046,1
FinalTest,18,2025-07-25T16:26:39.407236+00:00,3700,3700.011022053185,0.182,0.148,0.0,0.245,0.357,0.977,14.59,0.045,0
FinalTest,19,2025-07-25T16:27:40.623591+00:00,3900,3900.0494351420243,0.249,0.165,0.0,0.345,0.579,1.85,30.337,0.045,0
FinalTest,20,2025-07-25T16:28:41.936416+00:00,4000,3999.865270043466,0.737,0.23,0.0,1.261,3.009,8.638,78.615,0.051,0
FinalTest,21,2025-07-25T16:29:43.128174+00:00,3800,3800.002645978386,0.583,0.209,0.0,0.93,2.114,6.728,68.124,0.047,0
FinalTest,22,2025-07-25T16:30:44.325647+00:00,3600,3600.014938344479,0.192,0.14,0.0,0.29,0.463,1.117,14.317,0.044,0
FinalTest,23,2025-07-25T16:31:45.384249+00:00,3400,3400.007597316401,0.232,0.148,0.0,0.373,0.633,1.733,15.512,0.045,0
FinalTest,24,2025-07-25T16:32:46.377341+00:00,3200,3200.0061194250356,0.222,0.142,0.0,0.346,0.552,1.561,31.43,0.041,0
FinalTest,25,2025-07-25T16:33:47.336438+00:00,3000,3000.0022109016295,0.198,0.132,0.0,0.287,0.481,1.516,15.564,0.042,0
FinalTest,26,2025-07-25T16:34:48.237725+00:00,2800,2799.9972016628167,0.307,0.143,0.0,0.476,0.79,2.075,72.557,0.046,0
FinalTest,27,2025-07-25T16:35:49.038015+00:00,2600,2600.0094585323386,0.255,0.139,0.0,0.499,0.738,1.609,17.82,0.048,0
FinalTest,28,2025-07-25T16:36:49.767110+00:00,2400,2400.0139323208787,0.18,0.122,0.0,0.252,0.447,1.35,13.4,0.05,0
FinalTest,29,2025-07-25T16:37:50.420482+00:00,2200,2200.0036726861313,0.115,0.103,0.0,0.154,0.182,0.31,2.971,0.049,0
FinalTest,30,2025-07-25T16:38:51.013535+00:00,2000,2000.0107331803763,0.106,0.095,0.0,0.136,0.167,0.285,3.293,0.049,0
