Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-02T14:23:04.523376+00:00,500,500.0150165093109,0.093,0.088,0.0,0.104,0.123,0.182,3.079,0.065,0
FinalTest,2,2025-09-02T14:24:04.717170+00:00,650,650.0150248914623,0.093,0.087,0.0,0.102,0.118,0.184,4.923,0.065,0
FinalTest,3,2025-09-02T14:25:04.984240+00:00,800,800.0152109425438,0.091,0.087,0.0,0.101,0.112,0.17,4.806,0.067,0
FinalTest,4,2025-09-02T14:26:05.284647+00:00,950,950.0038681465834,0.093,0.087,0.0,0.108,0.121,0.177,3.616,0.056,0
FinalTest,5,2025-09-02T14:27:05.635614+00:00,1100,1100.0008882722586,0.095,0.088,0.0,0.11,0.122,0.207,4.896,0.054,0
FinalTest,6,2025-09-02T14:28:06.117926+00:00,1300,1300.004489067168,0.234,0.128,0.0,0.525,0.706,1.371,8.732,0.058,0
FinalTest,7,2025-09-02T14:29:06.655797+00:00,1500,1500.0126516067078,0.239,0.126,0.0,0.528,0.735,1.366,12.988,0.058,0
FinalTest,8,2025-09-02T14:30:07.297996+00:00,1700,1700.0079669021093,0.206,0.114,0.0,0.416,0.625,1.374,15.162,0.052,0
FinalTest,9,2025-09-02T14:31:07.997938+00:00,1900,1900.016438633027,0.366,0.177,0.0,0.825,1.236,2.534,19.857,0.049,0
FinalTest,10,2025-09-02T14:32:08.781674+00:00,2100,2100.002675683409,0.365,0.159,0.0,0.819,1.199,2.553,20.743,0.048,0
FinalTest,11,2025-09-02T14:33:09.668337+00:00,2300,2300.014636685873,0.38,0.164,0.0,0.856,1.222,2.712,21.175,0.048,0
FinalTest,12,2025-09-02T14:34:10.430260+00:00,2500,2500.0047399989203,0.241,0.102,0.0,0.522,0.88,1.988,18.571,0.047,0
FinalTest,13,2025-09-02T14:35:11.263497+00:00,2700,2700.0044116933404,0.182,0.099,0.0,0.378,0.538,1.2,16.762,0.046,0
FinalTest,14,2025-09-02T14:36:12.146200+00:00,2900,2900.0110749136456,0.187,0.107,0.0,0.359,0.494,0.935,37.927,0.044,0
FinalTest,15,2025-09-02T14:37:13.133659+00:00,3100,3100.009433673478,0.196,0.125,0.0,0.345,0.474,1.067,27.099,0.045,0
FinalTest,16,2025-09-02T14:38:14.204615+00:00,3300,3299.9939919369176,0.304,0.14,0.0,0.41,0.568,2.042,96.023,0.047,0
FinalTest,17,2025-09-02T14:39:15.444829+00:00,3500,3500.0063146530597,0.28,0.153,0.0,0.462,0.665,2.135,46.812,0.047,0
FinalTest,18,2025-09-02T14:40:16.533786+00:00,3700,3700.0089492733127,0.325,0.158,0.0,0.493,0.731,2.657,50.283,0.045,0
FinalTest,19,2025-09-02T14:41:17.686147+00:00,3900,3899.99536541198,0.241,0.128,0.0,0.316,0.444,0.976,90.422,0.043,0
FinalTest,20,2025-09-02T14:42:18.991064+00:00,4000,3999.965047535178,0.798,0.148,0.0,0.503,0.957,6.759,217.35,0.043,0
FinalTest,21,2025-09-02T14:43:20.297137+00:00,3800,3800.0699715781825,0.377,0.15,0.0,0.543,1.024,3.58,90.094,0.043,0
FinalTest,22,2025-09-02T14:44:21.399028+00:00,3600,3600.006450208362,0.337,0.13,0.0,0.42,0.77,2.835,104.306,0.044,0
FinalTest,23,2025-09-02T14:45:22.482108+00:00,3400,3399.9447774736013,0.332,0.135,0.0,0.732,1.246,2.411,39.158,0.043,0
FinalTest,24,2025-09-02T14:46:23.509557+00:00,3200,3200.011885501285,0.274,0.125,0.0,0.563,0.974,1.932,30.709,0.044,0
FinalTest,25,2025-09-02T14:47:24.446673+00:00,3000,3000.0059175440897,0.17,0.112,0.0,0.272,0.413,1.156,18.42,0.044,0
FinalTest,26,2025-09-02T14:48:25.315519+00:00,2800,2800.0154202500426,0.2,0.12,0.0,0.264,0.358,1.117,62.088,0.047,0
FinalTest,27,2025-09-02T14:49:26.237649+00:00,2600,2600.009242642104,0.154,0.11,0.0,0.252,0.33,0.848,15.657,0.047,0
FinalTest,28,2025-09-02T14:50:27.046358+00:00,2400,2400.0015443769357,0.146,0.111,0.0,0.218,0.29,0.756,10.053,0.049,0
FinalTest,29,2025-09-02T14:51:27.793536+00:00,2200,2200.0015443227835,0.16,0.114,0.0,0.272,0.383,0.696,10.334,0.048,0
FinalTest,30,2025-09-02T14:52:28.392913+00:00,2000,2000.0002380333615,0.162,0.112,0.0,0.277,0.404,0.804,8.629,0.047,0
