Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-24T13:02:54.235645+00:00,500,500.009255337986,0.095,0.089,0.0,0.106,0.125,0.194,3.377,0.065,0
FinalTest,2,2025-07-24T13:03:54.433896+00:00,650,649.999130966379,0.095,0.088,0.0,0.104,0.121,0.217,4.908,0.065,1
FinalTest,3,2025-07-24T13:04:54.678910+00:00,800,800.0229378043264,0.087,0.082,0.0,0.097,0.107,0.177,3.95,0.061,0
FinalTest,4,2025-07-24T13:05:55.034956+00:00,950,950.014389038836,0.094,0.088,0.0,0.112,0.129,0.203,4.672,0.057,0
FinalTest,5,2025-07-24T13:06:55.426943+00:00,1100,1100.0026346113918,0.091,0.084,0.0,0.106,0.117,0.217,4.566,0.053,0
FinalTest,6,2025-07-24T13:07:55.858618+00:00,1300,1300.0103317237772,0.118,0.102,0.0,0.17,0.201,0.295,4.955,0.052,0
FinalTest,7,2025-07-24T13:08:56.317600+00:00,1500,1500.0120761472215,0.128,0.104,0.0,0.189,0.23,0.427,4.67,0.052,0
FinalTest,8,2025-07-24T13:09:56.915855+00:00,1700,1700.011631443615,0.125,0.108,0.0,0.175,0.211,0.375,5.655,0.05,0
FinalTest,9,2025-07-24T13:10:57.504690+00:00,1900,1900.0054296681449,0.117,0.101,0.0,0.16,0.195,0.339,12.749,0.054,0
FinalTest,10,2025-07-24T13:11:58.264802+00:00,2100,2099.9939446430103,0.211,0.127,0.0,0.43,0.588,1.065,12.015,0.05,1
FinalTest,11,2025-07-24T13:12:58.995033+00:00,2300,2300.0156697136367,0.217,0.128,0.0,0.472,0.614,1.044,18.985,0.051,0
FinalTest,12,2025-07-24T13:13:59.806530+00:00,2500,2499.996847711944,0.235,0.137,0.0,0.496,0.645,1.2,12.058,0.047,0
FinalTest,13,2025-07-24T13:15:00.745880+00:00,2700,2699.9836782386674,0.273,0.134,0.0,0.471,0.655,1.941,65.089,0.048,0
FinalTest,14,2025-07-24T13:16:01.676763+00:00,2900,2900.006401957466,0.303,0.143,0.0,0.489,0.942,3.366,36.133,0.046,0
FinalTest,15,2025-07-24T13:17:02.695542+00:00,3100,3100.0011806084635,0.544,0.144,0.0,1.071,2.547,5.434,78.502,0.046,0
FinalTest,16,2025-07-24T13:18:03.694942+00:00,3300,3300.0088245814995,0.362,0.169,0.0,0.604,1.221,3.997,33.697,0.046,0
FinalTest,17,2025-07-24T13:19:04.802546+00:00,3500,3499.678748842405,0.461,0.148,0.0,0.277,0.434,1.551,170.05,0.046,1
FinalTest,18,2025-07-24T13:20:05.966322+00:00,3700,3700.0133501597,0.198,0.147,0.0,0.284,0.45,1.217,11.487,0.045,0
FinalTest,19,2025-07-24T13:21:07.173419+00:00,3900,3899.7473919401637,0.358,0.155,0.0,0.412,0.702,2.981,89.101,0.046,1
FinalTest,20,2025-07-24T13:22:08.402014+00:00,4000,3999.9866714000077,0.322,0.185,0.0,0.362,0.542,1.495,99.093,0.048,0
FinalTest,21,2025-07-24T13:23:09.542163+00:00,3800,3800.0034437966633,0.268,0.174,0.0,0.347,0.538,1.723,63.51,0.047,0
FinalTest,22,2025-07-24T13:24:10.679362+00:00,3600,3599.728220804333,0.318,0.153,0.0,0.407,0.785,3.593,63.145,0.047,1
FinalTest,23,2025-07-24T13:25:11.753792+00:00,3400,3398.818056726605,1.051,0.139,0.0,0.551,1.14,6.987,230.938,0.047,1
FinalTest,24,2025-07-24T13:26:12.723562+00:00,3200,3199.9943837380206,0.296,0.159,0.0,0.48,0.71,2.334,53.887,0.047,0
FinalTest,25,2025-07-24T13:27:13.661875+00:00,3000,2999.9726672119955,0.243,0.132,0.0,0.354,0.554,1.425,68.507,0.043,1
FinalTest,26,2025-07-24T13:28:14.553100+00:00,2800,2800.0097810590546,0.178,0.111,0.0,0.257,0.409,1.291,34.981,0.046,0
FinalTest,27,2025-07-24T13:29:15.357086+00:00,2600,2599.6873907521003,0.17,0.131,0.0,0.25,0.338,0.828,17.797,0.048,1
FinalTest,28,2025-07-24T13:30:16.096689+00:00,2400,2400.0150030162667,0.143,0.122,0.0,0.196,0.245,0.518,14.581,0.05,0
FinalTest,29,2025-07-24T13:31:16.765837+00:00,2200,2199.9366097153493,0.125,0.111,0.0,0.173,0.201,0.371,6.109,0.048,1
FinalTest,30,2025-07-24T13:32:17.356047+00:00,2000,1999.981998595334,0.104,0.093,0.0,0.136,0.158,0.262,6.088,0.049,1
