Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-22T13:04:18.183966+00:00,500,500.0158834295506,0.089,0.085,0.0,0.1,0.113,0.185,3.694,0.06,0
FinalTest,2,2025-07-22T13:05:18.379459+00:00,650,650.0130471268832,0.088,0.084,0.0,0.099,0.109,0.172,3.95,0.059,0
FinalTest,3,2025-07-22T13:06:18.627537+00:00,800,800.0220407805616,0.091,0.087,0.0,0.099,0.106,0.156,4.69,0.067,0
FinalTest,4,2025-07-22T13:07:18.911847+00:00,950,950.0141120628857,0.093,0.088,0.0,0.108,0.12,0.186,3.687,0.056,0
FinalTest,5,2025-07-22T13:08:19.242675+00:00,1100,1099.9679403671107,0.092,0.087,0.0,0.108,0.12,0.194,4.021,0.051,1
FinalTest,6,2025-07-22T13:09:19.644733+00:00,1300,1300.0125694315302,0.106,0.097,0.0,0.139,0.161,0.258,4.579,0.048,0
FinalTest,7,2025-07-22T13:10:20.097443+00:00,1500,1500.0139163661509,0.11,0.101,0.0,0.146,0.17,0.263,4.82,0.046,0
FinalTest,8,2025-07-22T13:11:20.608560+00:00,1700,1700.001831610307,0.115,0.102,0.0,0.157,0.183,0.317,5.011,0.05,0
FinalTest,9,2025-07-22T13:12:21.180079+00:00,1900,1900.0136179987264,0.112,0.099,0.0,0.153,0.181,0.284,6.181,0.047,0
FinalTest,10,2025-07-22T13:13:21.847077+00:00,2100,2100.009357934098,0.203,0.131,0.0,0.356,0.469,0.803,37.056,0.048,0
FinalTest,11,2025-07-22T13:14:22.636321+00:00,2300,2300.0027901364997,0.205,0.14,0.0,0.376,0.497,0.794,32.042,0.048,0
FinalTest,12,2025-07-22T13:15:23.412851+00:00,2500,2500.005989764351,0.222,0.134,0.0,0.373,0.5,0.931,49.874,0.049,0
FinalTest,13,2025-07-22T13:16:24.327872+00:00,2700,2700.0014483630507,0.415,0.143,0.0,0.52,1.003,6.951,48.801,0.048,0
FinalTest,14,2025-07-22T13:17:25.330839+00:00,2900,2899.978014686675,0.458,0.19,0.0,0.718,1.173,4.393,65.113,0.047,0
FinalTest,15,2025-07-22T13:18:26.327040+00:00,3100,3100.008683847659,0.278,0.175,0.0,0.542,0.753,1.578,11.848,0.047,0
FinalTest,16,2025-07-22T13:19:27.339805+00:00,3300,3300.036416944617,0.36,0.19,0.0,0.63,0.943,2.656,41.238,0.049,0
FinalTest,17,2025-07-22T13:20:28.437937+00:00,3500,3500.0070955472634,0.458,0.215,0.0,0.655,1.089,5.189,57.31,0.047,0
FinalTest,18,2025-07-22T13:21:29.709105+00:00,3700,3699.8931110178246,0.57,0.124,0.0,0.359,0.848,6.225,168.624,0.043,0
FinalTest,19,2025-07-22T13:22:30.936805+00:00,3900,3899.9926267725873,0.574,0.155,0.0,0.68,1.843,6.107,145.268,0.047,0
FinalTest,20,2025-07-22T13:23:32.155849+00:00,4000,3999.9735418442806,0.781,0.234,0.0,1.357,3.312,9.144,86.593,0.05,0
FinalTest,21,2025-07-22T13:24:33.337999+00:00,3800,3800.011052593671,0.465,0.191,0.0,0.685,1.2,5.865,62.238,0.045,0
FinalTest,22,2025-07-22T13:25:34.491956+00:00,3600,3600.0130349135165,0.598,0.181,0.0,0.824,2.584,8.257,64.047,0.044,0
FinalTest,23,2025-07-22T13:26:35.552638+00:00,3400,3399.9786293490847,0.402,0.188,0.0,0.584,0.954,4.168,65.261,0.044,0
FinalTest,24,2025-07-22T13:27:36.553818+00:00,3200,3199.9920089084276,0.564,0.167,0.0,0.777,1.739,6.429,115.265,0.043,0
FinalTest,25,2025-07-22T13:28:37.616402+00:00,3000,3000.0049251187806,0.226,0.135,0.0,0.364,0.567,1.835,28.982,0.047,0
FinalTest,26,2025-07-22T13:29:38.477627+00:00,2800,2800.012487495692,0.167,0.125,0.0,0.257,0.361,0.79,15.828,0.047,0
FinalTest,27,2025-07-22T13:30:39.285785+00:00,2600,2600.009010114557,0.155,0.126,0.0,0.233,0.322,0.602,6.074,0.049,0
FinalTest,28,2025-07-22T13:31:40.009348+00:00,2400,2400.010920378858,0.152,0.123,0.0,0.22,0.314,0.577,18.756,0.049,0
FinalTest,29,2025-07-22T13:32:40.677267+00:00,2200,2199.998336471258,0.139,0.111,0.0,0.204,0.31,0.572,5.676,0.049,1
FinalTest,30,2025-07-22T13:33:41.263547+00:00,2000,1999.999058992601,0.108,0.095,0.0,0.137,0.162,0.348,16.51,0.046,0
