Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-02T16:48:16.117462+00:00,500,500.01054330565125,0.095,0.088,0.0,0.106,0.129,0.211,4.886,0.065,0
FinalTest,2,2025-09-02T16:49:16.313933+00:00,650,650.0151443561737,0.092,0.087,0.0,0.103,0.119,0.191,3.918,0.065,0
FinalTest,3,2025-09-02T16:50:16.551986+00:00,800,800.0173826710217,0.092,0.088,0.0,0.102,0.114,0.179,3.657,0.066,0
FinalTest,4,2025-09-02T16:51:16.838624+00:00,950,950.0151157353231,0.093,0.088,0.0,0.108,0.121,0.171,3.341,0.058,0
FinalTest,5,2025-09-02T16:52:17.190169+00:00,1100,1100.0128615520462,0.094,0.088,0.0,0.11,0.122,0.186,4.28,0.053,0
FinalTest,6,2025-09-02T16:53:17.595789+00:00,1300,1300.0106688842236,0.105,0.097,0.0,0.133,0.156,0.242,5.222,0.054,0
FinalTest,7,2025-09-02T16:54:18.053908+00:00,1500,1500.002960755844,0.108,0.098,0.0,0.138,0.163,0.252,3.929,0.053,0
FinalTest,8,2025-09-02T16:55:18.587114+00:00,1700,1700.0078816615412,0.105,0.095,0.0,0.133,0.157,0.252,6.781,0.051,0
FinalTest,9,2025-09-02T16:56:19.229224+00:00,1900,1900.0048005204621,0.114,0.096,0.0,0.154,0.191,0.358,15.42,0.047,0
FinalTest,10,2025-09-02T16:57:19.953296+00:00,2100,2100.002834204652,0.14,0.104,0.0,0.217,0.273,0.511,6.862,0.05,0
FinalTest,11,2025-09-02T16:58:20.655809+00:00,2300,2300.0048160415486,0.13,0.099,0.0,0.198,0.252,0.484,8.028,0.045,0
FinalTest,12,2025-09-02T16:59:21.551208+00:00,2500,2500.002688979152,0.124,0.1,0.0,0.195,0.235,0.407,6.172,0.047,0
FinalTest,13,2025-09-02T17:00:22.411682+00:00,2700,2700.0082372751303,0.139,0.111,0.0,0.218,0.256,0.442,6.738,0.045,0
FinalTest,14,2025-09-02T17:01:23.273063+00:00,2900,2900.0185030473995,0.143,0.111,0.0,0.223,0.273,0.552,10.649,0.045,0
FinalTest,15,2025-09-02T17:02:24.227820+00:00,3100,3100.038223660799,0.118,0.101,0.0,0.163,0.197,0.399,7.123,0.044,0
FinalTest,16,2025-09-02T17:03:25.232245+00:00,3300,3300.0061852857375,0.13,0.106,0.0,0.183,0.23,0.52,7.457,0.047,0
FinalTest,17,2025-09-02T17:04:26.362267+00:00,3500,3499.9980010142513,0.165,0.112,0.0,0.193,0.245,0.86,47.697,0.044,0
FinalTest,18,2025-09-02T17:05:27.612232+00:00,3700,3700.0028147771413,0.146,0.119,0.0,0.216,0.266,0.591,6.383,0.044,0
FinalTest,19,2025-09-02T17:06:28.878569+00:00,3900,3900.0102989248508,0.354,0.14,0.0,0.284,0.397,3.539,120.027,0.045,0
FinalTest,20,2025-09-02T17:07:30.131666+00:00,4000,4000.038678040661,0.363,0.154,0.0,0.482,1.004,4.38,53.151,0.046,0
FinalTest,21,2025-09-02T17:08:31.315636+00:00,3800,3800.063092354138,0.266,0.13,0.0,0.271,0.485,2.72,80.449,0.045,0
FinalTest,22,2025-09-02T17:09:32.420414+00:00,3600,3600.004827582157,0.241,0.125,0.0,0.234,0.407,2.465,63.344,0.044,0
FinalTest,23,2025-09-02T17:10:33.434461+00:00,3400,3400.00854434524,0.182,0.118,0.0,0.251,0.362,1.524,29.0,0.044,0
FinalTest,24,2025-09-02T17:11:34.447696+00:00,3200,3200.009227648003,0.136,0.107,0.0,0.209,0.272,0.532,9.5,0.046,0
FinalTest,25,2025-09-02T17:12:35.377568+00:00,3000,3000.0016254432444,0.174,0.106,0.0,0.19,0.239,0.814,66.6,0.048,0
FinalTest,26,2025-09-02T17:13:36.202126+00:00,2800,2800.0082518667705,0.117,0.098,0.0,0.17,0.214,0.411,5.509,0.047,0
FinalTest,27,2025-09-02T17:14:37.026665+00:00,2600,2600.0043937474247,0.125,0.096,0.0,0.164,0.212,0.679,6.769,0.047,0
FinalTest,28,2025-09-02T17:15:37.782791+00:00,2400,2400.0171891631103,0.137,0.103,0.0,0.173,0.225,1.029,9.4,0.048,0
FinalTest,29,2025-09-02T17:16:38.432041+00:00,2200,2200.0138992691827,0.113,0.092,0.0,0.152,0.185,0.393,8.847,0.046,0
FinalTest,30,2025-09-02T17:17:39.021087+00:00,2000,2000.0013111675262,0.093,0.085,0.0,0.112,0.13,0.2,4.757,0.046,0
