Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-15T14:45:24.616739+00:00,500,500.01645466649427,0.091,0.085,0.0,0.101,0.12,0.212,2.853,0.056,0
FinalTest,2,2025-09-15T14:46:24.813104+00:00,650,650.0134201662393,0.091,0.087,0.0,0.101,0.113,0.17,4.618,0.069,0
FinalTest,3,2025-09-15T14:47:25.059653+00:00,800,800.0156803740033,0.092,0.087,0.0,0.101,0.113,0.186,4.617,0.061,0
FinalTest,4,2025-09-15T14:48:25.346477+00:00,950,950.0108006411255,0.092,0.086,0.0,0.11,0.125,0.182,4.683,0.057,0
FinalTest,5,2025-09-15T14:49:25.718873+00:00,1100,1100.008917643961,0.094,0.088,0.0,0.11,0.124,0.21,5.171,0.057,0
FinalTest,6,2025-09-15T14:50:26.193682+00:00,1300,1300.0109324202695,0.113,0.1,0.0,0.152,0.18,0.298,5.2,0.055,0
FinalTest,7,2025-09-15T14:51:26.745562+00:00,1500,1500.001035650715,0.118,0.101,0.0,0.156,0.19,0.364,5.458,0.051,0
FinalTest,8,2025-09-15T14:52:27.353135+00:00,1700,1700.0109681166273,0.124,0.107,0.0,0.174,0.212,0.364,5.597,0.051,0
FinalTest,9,2025-09-15T14:53:28.003500+00:00,1900,1900.013007134808,0.13,0.108,0.0,0.187,0.231,0.396,5.55,0.052,0
FinalTest,10,2025-09-15T14:54:28.736933+00:00,2100,2100.008222652196,0.141,0.115,0.0,0.202,0.244,0.517,8.565,0.051,0
FinalTest,11,2025-09-15T14:55:29.537370+00:00,2300,2300.0015926744363,0.142,0.117,0.0,0.204,0.244,0.565,5.545,0.048,0
FinalTest,12,2025-09-15T14:56:30.323796+00:00,2500,2500.0051949967283,0.227,0.169,0.0,0.366,0.453,1.29,11.827,0.048,0
FinalTest,13,2025-09-15T14:57:31.183511+00:00,2700,2700.0140530582235,0.172,0.133,0.0,0.28,0.346,0.656,9.023,0.048,0
FinalTest,14,2025-09-15T14:58:32.122167+00:00,2900,2900.0058192000106,0.174,0.136,0.0,0.269,0.349,0.76,7.546,0.048,0
FinalTest,15,2025-09-15T14:59:33.114433+00:00,3100,3100.0080288559616,0.154,0.131,0.0,0.214,0.267,0.662,6.87,0.045,0
FinalTest,16,2025-09-15T15:00:34.281912+00:00,3300,3299.8537403696,0.205,0.144,0.0,0.32,0.432,1.184,28.618,0.046,1
FinalTest,17,2025-09-15T15:01:35.544208+00:00,3500,3499.9915077360447,0.363,0.174,0.0,0.446,0.6,3.399,90.481,0.045,0
FinalTest,18,2025-09-15T15:02:36.715983+00:00,3700,3700.0039966209833,0.248,0.158,0.0,0.292,0.395,2.32,56.499,0.041,0
FinalTest,19,2025-09-15T15:03:37.863399+00:00,3900,3900.0027552722704,0.292,0.172,0.0,0.312,0.459,2.812,67.071,0.041,0
FinalTest,20,2025-09-15T15:04:39.119498+00:00,4000,4000.021111178087,0.356,0.166,0.0,0.452,0.606,1.586,123.716,0.045,0
FinalTest,21,2025-09-15T15:05:40.361108+00:00,3800,3799.9902436245075,0.325,0.16,0.0,0.326,0.473,2.939,85.068,0.045,0
FinalTest,22,2025-09-15T15:06:41.574197+00:00,3600,3599.970689213915,0.567,0.161,0.0,0.309,0.474,5.703,177.481,0.046,0
FinalTest,23,2025-09-15T15:07:42.596128+00:00,3400,3400.0069719384724,0.238,0.145,0.0,0.313,0.429,1.542,67.304,0.044,0
FinalTest,24,2025-09-15T15:08:43.673853+00:00,3200,3199.9980348278737,0.246,0.136,0.0,0.332,0.434,2.141,56.843,0.045,0
FinalTest,25,2025-09-15T15:09:44.597546+00:00,3000,3000.02933569055,0.154,0.12,0.0,0.249,0.331,0.609,10.072,0.04,0
FinalTest,26,2025-09-15T15:10:45.471996+00:00,2800,2799.997844894487,0.176,0.121,0.0,0.213,0.278,0.879,51.308,0.046,0
FinalTest,27,2025-09-15T15:11:46.291394+00:00,2600,2600.005534829636,0.143,0.114,0.0,0.214,0.271,0.525,19.313,0.047,0
FinalTest,28,2025-09-15T15:12:47.106545+00:00,2400,2400.0062446795496,0.142,0.117,0.0,0.196,0.243,0.49,19.569,0.048,0
FinalTest,29,2025-09-15T15:13:47.800424+00:00,2200,2199.976148233869,0.131,0.11,0.0,0.192,0.231,0.405,7.479,0.048,2
FinalTest,30,2025-09-15T15:14:48.393840+00:00,2000,2000.025538359433,0.105,0.094,0.0,0.136,0.158,0.273,4.996,0.048,0
