Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-25T10:24:53.955320+00:00,500,500.0200713473523,0.091,0.084,0.0,0.103,0.12,0.212,3.367,0.062,0
FinalTest,2,2025-07-25T10:25:54.155384+00:00,650,650.0218603218322,0.094,0.088,0.0,0.105,0.122,0.209,2.075,0.069,0
FinalTest,3,2025-07-25T10:26:54.395528+00:00,800,800.0187212914315,0.092,0.088,0.0,0.102,0.116,0.19,2.112,0.065,0
FinalTest,4,2025-07-25T10:27:54.792474+00:00,950,950.0006084595564,0.088,0.082,0.0,0.106,0.119,0.191,3.614,0.054,0
FinalTest,5,2025-07-25T10:28:55.166894+00:00,1100,1099.9803096157932,0.095,0.089,0.0,0.11,0.123,0.21,3.167,0.058,1
FinalTest,6,2025-07-25T10:29:55.576184+00:00,1300,1300.002055086582,0.104,0.093,0.0,0.135,0.169,0.246,3.402,0.053,0
FinalTest,7,2025-07-25T10:30:56.037880+00:00,1500,1500.0011597258965,0.107,0.095,0.0,0.143,0.178,0.273,3.27,0.054,0
FinalTest,8,2025-07-25T10:31:56.557276+00:00,1700,1700.0112740781005,0.107,0.097,0.0,0.139,0.169,0.271,5.412,0.052,0
FinalTest,9,2025-07-25T10:32:57.123985+00:00,1900,1900.0094483615312,0.111,0.097,0.0,0.147,0.181,0.291,15.734,0.052,0
FinalTest,10,2025-07-25T10:33:57.787680+00:00,2100,2100.00405752284,0.113,0.096,0.0,0.158,0.198,0.337,4.232,0.049,0
FinalTest,11,2025-07-25T10:34:58.563122+00:00,2300,2299.983035837598,0.127,0.1,0.0,0.189,0.238,0.467,7.795,0.048,1
FinalTest,12,2025-07-25T10:35:59.340925+00:00,2500,2500.0087254219557,0.129,0.11,0.0,0.179,0.224,0.442,5.426,0.048,0
FinalTest,13,2025-07-25T10:37:00.156086+00:00,2700,2700.013649671595,0.132,0.114,0.0,0.188,0.233,0.429,4.553,0.046,0
FinalTest,14,2025-07-25T10:38:01.075755+00:00,2900,2899.916127711511,0.131,0.115,0.0,0.18,0.215,0.438,6.363,0.046,1
FinalTest,15,2025-07-25T10:39:02.113179+00:00,3100,3100.0105926328615,0.158,0.118,0.0,0.23,0.29,0.63,25.19,0.044,0
FinalTest,16,2025-07-25T10:40:03.131274+00:00,3300,3300.000595223768,0.156,0.136,0.0,0.217,0.268,0.601,4.832,0.044,0
FinalTest,17,2025-07-25T10:41:04.204146+00:00,3500,3499.742680271097,0.247,0.145,0.0,0.236,0.291,1.976,79.434,0.047,1
FinalTest,18,2025-07-25T10:42:05.356162+00:00,3700,3699.9578070959706,0.135,0.116,0.0,0.188,0.225,0.519,8.952,0.04,1
FinalTest,19,2025-07-25T10:43:06.716345+00:00,3900,3899.9505466110772,0.17,0.149,0.0,0.234,0.293,0.712,5.994,0.044,1
FinalTest,20,2025-07-25T10:44:07.947175+00:00,4000,3999.732934313795,0.164,0.137,0.0,0.239,0.292,0.701,16.339,0.045,1
FinalTest,21,2025-07-25T10:45:09.218987+00:00,3800,3799.8694788234056,0.172,0.153,0.0,0.233,0.282,0.727,5.993,0.045,2
FinalTest,22,2025-07-25T10:46:10.453258+00:00,3600,3599.997521101707,0.125,0.11,0.0,0.17,0.215,0.43,5.177,0.042,0
FinalTest,23,2025-07-25T10:47:11.626839+00:00,3400,3400.009057114127,0.144,0.115,0.0,0.225,0.288,0.558,10.751,0.044,0
FinalTest,24,2025-07-25T10:48:12.651252+00:00,3200,3199.972077019456,0.152,0.114,0.0,0.247,0.314,0.627,16.53,0.045,1
FinalTest,25,2025-07-25T10:49:13.574754+00:00,3000,3000.0119635973037,0.166,0.11,0.0,0.236,0.301,0.598,37.266,0.045,0
FinalTest,26,2025-07-25T10:50:14.438962+00:00,2800,2800.001591084767,0.218,0.106,0.0,0.184,0.241,0.556,84.546,0.045,0
FinalTest,27,2025-07-25T10:51:15.241385+00:00,2600,2599.977616299066,0.116,0.101,0.0,0.154,0.179,0.332,13.848,0.047,1
FinalTest,28,2025-07-25T10:52:15.974790+00:00,2400,2399.983471932379,0.113,0.107,0.0,0.144,0.164,0.288,3.874,0.047,1
FinalTest,29,2025-07-25T10:53:16.648758+00:00,2200,2199.9935629446363,0.107,0.094,0.0,0.135,0.158,0.273,18.395,0.047,1
FinalTest,30,2025-07-25T10:54:17.245385+00:00,2000,2000.0329774104125,0.102,0.088,0.0,0.133,0.158,0.264,12.853,0.047,0
