Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-02T20:52:50.546354+00:00,500,0,29924.511,30000.561,0.0,30001.063,30001.557,30014.213,30742.168,0.088,3
FinalTest,2,2025-09-02T20:54:20.683074+00:00,650,0,29940.378,30000.734,0.0,30025.663,30036.897,30055.331,32829.786,0.091,3
FinalTest,3,2025-09-02T20:55:50.873425+00:00,800,0,29955.765,30000.732,0.0,30033.598,30049.099,30184.814,33872.575,0.078,3
FinalTest,4,2025-09-02T20:57:21.349695+00:00,950,0,30023.653,30000.766,0.0,30041.519,30065.342,30238.932,47266.806,0.074,3
FinalTest,5,2025-09-02T20:58:51.643677+00:00,1100,0,29956.436,30000.773,0.0,30038.396,30057.263,30218.514,33399.02,0.101,3
FinalTest,6,2025-09-02T21:00:49.442993+00:00,1300,0,31054.349,30006.266,0.0,35431.175,35448.426,35459.678,57626.6,0.067,4
FinalTest,7,2025-09-02T21:02:19.568835+00:00,1500,0,30004.43,30000.766,0.0,30011.905,30031.4,30581.927,49086.363,0.067,3
FinalTest,8,2025-09-02T21:03:52.774084+00:00,1700,0,30102.72,30000.832,0.0,30029.105,30224.382,37595.725,40491.52,0.101,3
FinalTest,9,2025-09-02T21:05:23.918744+00:00,1900,0,30135.526,30000.793,0.0,30024.717,30110.057,35447.424,55117.171,0.067,3
FinalTest,10,2025-09-02T21:06:56.682681+00:00,2100,0,30773.075,30008.399,0.0,30458.306,30495.245,65972.153,68431.049,0.529,4
FinalTest,11,2025-09-02T21:08:27.328268+00:00,2300,0,30007.537,30000.846,0.0,30027.206,30057.948,30695.373,42769.914,0.07,3
FinalTest,12,2025-09-02T21:09:58.432335+00:00,2500,0,30118.359,30000.778,0.0,30012.412,30045.476,35377.321,47374.05,0.174,3
FinalTest,13,2025-09-02T21:11:34.216541+00:00,2700,0,30162.491,30000.24,0.0,30047.18,30150.521,30814.903,86041.788,0.118,4
FinalTest,14,2025-09-02T21:13:04.588047+00:00,2900,0,30070.071,30000.796,0.0,30014.1,30068.11,31842.26,51972.193,0.215,3
FinalTest,15,2025-09-02T21:14:35.764681+00:00,3100,0,30014.187,30000.841,0.0,30017.891,30046.045,30736.682,54879.6,0.071,3
FinalTest,16,2025-09-02T21:16:06.022435+00:00,3300,0,29991.03,30000.762,0.0,30007.945,30016.768,30372.578,54213.365,0.237,3
FinalTest,17,2025-09-02T21:17:39.755813+00:00,3500,0,30125.269,30000.581,0.0,30060.333,30192.243,30295.503,60980.784,0.118,3
FinalTest,18,2025-09-02T21:19:15.625777+00:00,3700,0,30201.366,30000.461,0.0,30457.532,30510.346,31384.084,71257.169,0.073,4
FinalTest,19,2025-09-02T21:20:46.165937+00:00,3900,0,30012.772,30000.782,0.0,30010.736,30020.357,30847.801,57339.911,0.258,3
FinalTest,20,2025-09-02T21:22:16.548435+00:00,4000,0,30481.492,30000.73,0.0,30006.05,30016.017,56930.083,57708.616,0.174,3
FinalTest,21,2025-09-02T21:23:47.849872+00:00,3800,0,30037.756,30000.779,0.0,30009.287,30027.4,32754.481,43187.407,0.069,3
FinalTest,22,2025-09-02T21:25:18.150851+00:00,3600,0,30015.15,30000.766,0.0,30007.361,30016.894,30232.098,57219.828,0.135,3
FinalTest,23,2025-09-02T21:26:49.149922+00:00,3400,0,30045.053,30000.785,0.0,30010.304,30026.345,31210.012,50519.936,0.124,3
FinalTest,24,2025-09-02T21:28:20.023483+00:00,3200,0,30025.403,30000.793,0.0,30010.063,30023.65,32873.405,54271.924,0.156,3
FinalTest,25,2025-09-02T21:29:50.204297+00:00,3000,0,29996.714,30000.739,0.0,30003.638,30011.607,30106.544,58073.195,0.147,3
FinalTest,26,2025-09-02T21:31:21.850870+00:00,2800,0,30013.086,30000.838,0.0,30016.868,30049.718,31144.059,43288.307,0.12,3
FinalTest,27,2025-09-02T21:32:52.742019+00:00,2600,0,30049.36,30000.821,0.0,30012.827,30029.172,30667.78,55950.825,0.102,3
FinalTest,28,2025-09-02T21:34:23.471496+00:00,2400,0,30040.078,30000.793,0.0,30013.276,30033.858,31162.128,50282.258,0.061,3
FinalTest,29,2025-09-02T21:35:54.077457+00:00,2200,0,30053.578,30000.786,0.0,30010.927,30029.11,30560.083,52726.779,0.061,3
FinalTest,30,2025-09-02T21:37:24.196653+00:00,2000,0,30003.324,30000.76,0.0,30005.628,30017.716,30159.368,53050.673,0.072,3
