Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-09-04T17:06:58.827071+00:00,500,499.9821598721787,0.134,0.102,0.0,0.179,0.218,0.45,4.632,0.061,1
FinalTest,2,2025-09-04T17:07:59.049530+00:00,650,650.0168716862509,0.128,0.107,0.0,0.208,0.252,0.323,2.885,0.06,0
FinalTest,3,2025-09-04T17:08:59.336387+00:00,800,800.0066826158212,0.123,0.102,0.0,0.19,0.235,0.368,3.939,0.06,0
FinalTest,4,2025-09-04T17:09:59.689421+00:00,950,950.0074072394211,0.201,0.125,0.0,0.288,0.403,2.15,6.368,0.058,0
FinalTest,5,2025-09-04T17:11:00.081556+00:00,1100,1099.9807938626736,0.214,0.122,0.0,0.485,0.651,1.001,11.347,0.053,1
FinalTest,6,2025-09-04T17:12:00.561357+00:00,1300,1299.9870146148949,0.215,0.107,0.0,0.42,0.739,1.694,10.941,0.053,0
FinalTest,7,2025-09-04T17:13:01.087761+00:00,1500,1499.9948767674982,0.157,0.106,0.0,0.266,0.367,0.847,10.031,0.051,0
FinalTest,8,2025-09-04T17:14:01.661988+00:00,1700,1700.0094152188112,0.184,0.124,0.0,0.3,0.394,1.304,11.669,0.057,0
FinalTest,9,2025-09-04T17:15:02.346249+00:00,1900,1900.0118991572317,0.207,0.135,0.0,0.33,0.485,1.306,15.299,0.056,0
FinalTest,10,2025-09-04T17:16:03.082537+00:00,2100,2100.0128566987114,0.197,0.132,0.0,0.32,0.486,1.147,14.256,0.054,0
FinalTest,11,2025-09-04T17:17:03.859256+00:00,2300,2300.0083378381405,0.173,0.131,0.0,0.257,0.337,0.886,7.434,0.052,0
FinalTest,12,2025-09-04T17:18:04.732915+00:00,2500,2500.0074336628854,0.352,0.193,0.0,0.525,0.919,3.293,45.122,0.049,0
FinalTest,13,2025-09-04T17:19:05.611415+00:00,2700,2699.996621314228,0.674,0.284,0.0,0.909,2.079,7.188,107.196,0.055,0
FinalTest,14,2025-09-04T17:20:06.647776+00:00,2900,2900.0088363977084,0.343,0.222,0.0,0.545,0.793,2.481,32.875,0.046,0
FinalTest,15,2025-09-04T17:21:07.692873+00:00,3100,3100.006191693989,0.499,0.255,0.0,0.704,1.605,4.751,65.098,0.045,0
FinalTest,16,2025-09-04T17:22:08.949520+00:00,3300,3299.9894052341906,0.62,0.335,0.0,0.771,1.915,6.356,86.317,0.051,0
FinalTest,17,2025-09-04T17:23:10.130405+00:00,3500,3499.854865015958,0.53,0.229,0.0,0.717,1.374,4.272,105.169,0.048,1
FinalTest,18,2025-09-04T17:24:11.436714+00:00,3700,3700.008735373305,0.205,0.136,0.0,0.376,0.521,1.142,10.641,0.044,0
FinalTest,19,2025-09-04T17:25:12.695483+00:00,3900,3899.9469417418504,0.483,0.151,0.0,0.426,0.713,4.082,134.301,0.047,0
FinalTest,20,2025-09-04T17:26:13.993719+00:00,4000,3999.9694684330457,0.767,0.314,0.0,1.152,3.049,8.828,83.897,0.044,0
FinalTest,21,2025-09-04T17:27:15.322614+00:00,3800,3799.9756407363247,1.524,0.408,0.0,4.053,8.192,16.022,117.492,0.048,0
FinalTest,22,2025-09-04T17:28:16.653153+00:00,3600,3600.008504187385,1.016,0.238,0.0,2.644,5.813,11.791,61.179,0.05,0
FinalTest,23,2025-09-04T17:29:17.798035+00:00,3400,3400.0146769000226,0.48,0.169,0.0,0.664,1.981,6.492,39.088,0.043,0
FinalTest,24,2025-09-04T17:30:18.782732+00:00,3200,3199.9946122224046,0.204,0.136,0.0,0.339,0.451,1.957,9.264,0.043,0
FinalTest,25,2025-09-04T17:31:19.821000+00:00,3000,2999.996645168447,0.234,0.157,0.0,0.343,0.479,2.26,17.74,0.049,0
FinalTest,26,2025-09-04T17:32:20.742955+00:00,2800,2800.007761307243,0.255,0.156,0.0,0.453,0.655,1.853,26.191,0.048,0
FinalTest,27,2025-09-04T17:33:21.671952+00:00,2600,2599.9766806645484,0.226,0.143,0.0,0.381,0.558,1.686,17.705,0.046,1
FinalTest,28,2025-09-04T17:34:22.457963+00:00,2400,2399.987311107087,0.297,0.148,0.0,0.408,0.663,2.907,58.065,0.048,0
FinalTest,29,2025-09-04T17:35:23.157212+00:00,2200,2199.9458047527687,0.144,0.116,0.0,0.22,0.266,0.476,5.866,0.051,1
FinalTest,30,2025-09-04T17:36:23.746551+00:00,2000,2000.0046177773286,0.141,0.108,0.0,0.19,0.25,0.682,11.974,0.046,0
