Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-23T11:31:44.790825+00:00,500,500.0147521769073,0.113,0.099,0.0,0.157,0.191,0.318,4.159,0.065,0
FinalTest,2,2025-07-23T11:32:45.002163+00:00,650,650.0195218196257,0.106,0.092,0.0,0.138,0.173,0.297,4.677,0.062,0
FinalTest,3,2025-07-23T11:33:45.278861+00:00,800,800.0177623410339,0.106,0.092,0.0,0.132,0.165,0.323,4.442,0.062,0
FinalTest,4,2025-07-23T11:34:45.677742+00:00,950,950.0044585925918,0.214,0.131,0.0,0.329,0.48,2.093,5.785,0.062,0
FinalTest,5,2025-07-23T11:35:46.046517+00:00,1100,1099.983142431259,0.168,0.121,0.0,0.289,0.415,0.722,4.976,0.049,1
FinalTest,6,2025-07-23T11:36:46.478013+00:00,1300,1300.0001436785246,0.144,0.109,0.0,0.233,0.316,0.571,8.757,0.056,0
FinalTest,7,2025-07-23T11:37:46.962387+00:00,1500,1500.0157369819133,0.175,0.108,0.0,0.308,0.464,1.091,10.881,0.049,0
FinalTest,8,2025-07-23T11:38:47.614295+00:00,1700,1700.0107203927048,0.344,0.206,0.0,0.59,0.994,3.011,20.662,0.056,0
FinalTest,9,2025-07-23T11:39:48.252841+00:00,1900,1900.0092558388985,0.288,0.129,0.0,0.532,0.835,2.346,38.026,0.057,0
FinalTest,10,2025-07-23T11:40:48.904235+00:00,2100,2099.9795771973545,0.233,0.134,0.0,0.447,0.665,1.533,23.108,0.052,1
FinalTest,11,2025-07-23T11:41:49.673513+00:00,2300,2300.011520566039,0.319,0.184,0.0,0.522,0.82,2.678,40.318,0.05,0
FinalTest,12,2025-07-23T11:42:50.592330+00:00,2500,2499.961713492524,0.265,0.146,0.0,0.337,0.452,2.407,69.193,0.05,1
FinalTest,13,2025-07-23T11:43:51.592051+00:00,2700,2700.014942948273,0.406,0.203,0.0,0.633,1.181,3.41,61.776,0.053,0
FinalTest,14,2025-07-23T11:44:52.838254+00:00,2900,2899.9767275730114,0.292,0.154,0.0,0.55,0.941,2.367,17.68,0.048,1
FinalTest,15,2025-07-23T11:45:53.889164+00:00,3100,3099.99841015603,0.437,0.161,0.0,0.574,1.092,4.391,99.958,0.051,0
FinalTest,16,2025-07-23T11:46:54.909503+00:00,3300,3299.994058817351,0.384,0.182,0.0,0.566,0.911,3.624,69.604,0.044,0
FinalTest,17,2025-07-23T11:47:56.172937+00:00,3500,3500.0214682877854,0.533,0.16,0.0,0.692,1.794,6.018,97.015,0.044,0
FinalTest,18,2025-07-23T11:48:57.323776+00:00,3700,3699.0451491316026,1.068,0.167,0.0,0.673,1.56,9.982,271.992,0.049,1
FinalTest,19,2025-07-23T11:49:58.695474+00:00,3900,3899.9821443497235,0.425,0.177,0.0,0.546,0.835,4.394,97.891,0.044,0
FinalTest,20,2025-07-23T11:51:00.089097+00:00,4000,3999.856228438139,1.551,0.391,0.0,1.391,5.047,20.588,229.047,0.047,0
FinalTest,21,2025-07-23T11:52:01.404110+00:00,3800,3800.028328256934,0.89,0.289,0.0,1.606,3.615,10.742,115.174,0.05,0
FinalTest,22,2025-07-23T11:53:02.708054+00:00,3600,3598.839564684837,0.469,0.16,0.0,0.636,1.421,4.91,88.473,0.045,1
FinalTest,23,2025-07-23T11:54:03.825704+00:00,3400,3400.017817176029,0.297,0.165,0.0,0.544,0.877,2.476,15.002,0.043,0
FinalTest,24,2025-07-23T11:55:05.022616+00:00,3200,3199.9282188368697,0.635,0.246,0.0,0.711,1.525,8.053,124.189,0.044,0
FinalTest,25,2025-07-23T11:56:05.997368+00:00,3000,3000.0058050268162,0.19,0.137,0.0,0.249,0.349,1.687,11.251,0.047,0
FinalTest,26,2025-07-23T11:57:06.981554+00:00,2800,2800.0020141161267,0.179,0.141,0.0,0.251,0.318,0.929,15.124,0.046,0
FinalTest,27,2025-07-23T11:58:07.945429+00:00,2600,2600.007069231203,0.209,0.135,0.0,0.307,0.421,1.262,40.325,0.048,0
FinalTest,28,2025-07-23T11:59:08.677597+00:00,2400,2400.010443999588,0.161,0.119,0.0,0.229,0.302,0.868,21.161,0.045,0
FinalTest,29,2025-07-23T12:00:09.356497+00:00,2200,2199.998054101721,0.154,0.104,0.0,0.199,0.263,1.621,7.918,0.047,1
FinalTest,30,2025-07-23T12:01:09.951870+00:00,2000,2000.0080966327778,0.114,0.096,0.0,0.137,0.162,0.359,10.903,0.048,0
