Test_ID,Minute,Time,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,2025-07-22T13:43:19.599861+00:00,500,500.0093800259665,0.108,0.096,0.0,0.139,0.172,0.29,5.417,0.061,0
FinalTest,2,2025-07-22T13:44:19.839353+00:00,650,650.0137221038469,0.115,0.099,0.0,0.136,0.17,0.31,3.525,0.06,0
FinalTest,3,2025-07-22T13:45:20.115945+00:00,800,800.021763978739,0.137,0.1,0.0,0.136,0.18,1.526,5.608,0.054,0
FinalTest,4,2025-07-22T13:46:20.449259+00:00,950,950.0083824147957,0.204,0.127,0.0,0.331,0.478,1.662,5.016,0.055,0
FinalTest,5,2025-07-22T13:47:20.833418+00:00,1100,1100.01220551543,0.166,0.123,0.0,0.295,0.4,0.667,6.211,0.058,0
FinalTest,6,2025-07-22T13:48:21.274314+00:00,1300,1300.0049172933084,0.145,0.108,0.0,0.227,0.334,0.644,4.824,0.052,0
FinalTest,7,2025-07-22T13:49:21.780591+00:00,1500,1500.0057842973054,0.152,0.11,0.0,0.241,0.337,0.733,6.008,0.052,0
FinalTest,8,2025-07-22T13:50:22.357166+00:00,1700,1700.0117405709796,0.201,0.12,0.0,0.303,0.414,1.553,42.596,0.053,0
FinalTest,9,2025-07-22T13:51:23.080662+00:00,1900,1900.006620384475,0.206,0.146,0.0,0.334,0.435,0.782,38.555,0.054,0
FinalTest,10,2025-07-22T13:52:23.748984+00:00,2100,2100.0153225517993,0.168,0.128,0.0,0.273,0.366,0.685,14.445,0.052,0
FinalTest,11,2025-07-22T13:53:24.516969+00:00,2300,2300.0086601076077,0.216,0.137,0.0,0.34,0.517,1.891,13.656,0.047,0
FinalTest,12,2025-07-22T13:54:25.411523+00:00,2500,2500.011635554154,0.222,0.136,0.0,0.327,0.447,2.412,7.616,0.043,0
FinalTest,13,2025-07-22T13:55:26.364977+00:00,2700,2700.006837291776,0.412,0.222,0.0,0.63,1.012,3.155,69.758,0.05,0
FinalTest,14,2025-07-22T13:56:27.634165+00:00,2900,2900.001130297278,0.481,0.204,0.0,0.677,1.103,4.421,100.672,0.048,0
FinalTest,15,2025-07-22T13:57:28.737255+00:00,3100,3099.9973023900075,0.503,0.197,0.0,0.645,1.236,5.734,102.439,0.046,0
FinalTest,16,2025-07-22T13:58:29.814470+00:00,3300,3299.953648294525,0.273,0.144,0.0,0.358,0.651,2.724,42.318,0.045,1
FinalTest,17,2025-07-22T13:59:30.937340+00:00,3500,3500.008246297965,0.322,0.171,0.0,0.551,0.869,2.992,28.006,0.047,0
FinalTest,18,2025-07-22T14:00:32.073919+00:00,3700,3700.001779498554,0.219,0.138,0.0,0.324,0.487,1.539,24.902,0.044,0
FinalTest,19,2025-07-22T14:01:33.457391+00:00,3900,3899.994879386074,0.265,0.146,0.0,0.377,0.559,2.349,60.33,0.044,0
FinalTest,20,2025-07-22T14:02:34.750822+00:00,4000,3999.992022449524,0.797,0.257,0.0,0.83,2.058,10.385,158.955,0.05,0
FinalTest,21,2025-07-22T14:03:35.964771+00:00,3800,3799.9991455760305,0.766,0.215,0.0,0.685,1.339,9.612,184.027,0.044,0
FinalTest,22,2025-07-22T14:04:37.173845+00:00,3600,3600.0411188059534,0.624,0.275,0.0,0.772,1.533,7.602,82.677,0.05,0
FinalTest,23,2025-07-22T14:05:38.284303+00:00,3400,3399.9930946568415,0.457,0.171,0.0,0.405,0.603,4.125,140.675,0.043,0
FinalTest,24,2025-07-22T14:06:39.322302+00:00,3200,3200.0414971247883,0.271,0.173,0.0,0.433,0.613,2.306,18.642,0.045,0
FinalTest,25,2025-07-22T14:07:40.321336+00:00,3000,3000.015274409578,0.463,0.258,0.0,0.761,1.403,4.02,34.517,0.042,0
FinalTest,26,2025-07-22T14:08:41.347051+00:00,2800,2800.019222384212,0.466,0.249,0.0,0.726,1.301,4.694,51.931,0.05,0
FinalTest,27,2025-07-22T14:09:42.212325+00:00,2600,2600.00774379901,0.236,0.143,0.0,0.4,0.611,1.519,14.526,0.047,0
FinalTest,28,2025-07-22T14:10:42.977940+00:00,2400,2400.0166228751323,0.154,0.117,0.0,0.215,0.302,0.92,6.133,0.048,0
FinalTest,29,2025-07-22T14:11:43.659894+00:00,2200,2200.009108603383,0.147,0.102,0.0,0.157,0.212,1.666,8.364,0.046,0
FinalTest,30,2025-07-22T14:12:44.253952+00:00,2000,2000.0100359339922,0.109,0.094,0.0,0.131,0.148,0.305,4.436,0.047,0
