timestamp_sec,action,deployment_name,replicas,type,description
300,create,ibench-cpu-node1,3,ibench-cpu,cpu pod on node1 created
312,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
421,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
440,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
466,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
485,create,ibench-cpu-node1,2,ibench-cpu,cpu pod on node1 created
614,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
654,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
659,create,ibench-cpu-node2,2,ibench-cpu,cpu pod on node2 created
699,create,ibench-cpu-node1,2,ibench-cpu,cpu pod on node1 created
819,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
860,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
864,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
905,create,ibench-cpu-node1,1,ibench-cpu,cpu pod on node1 created
1015,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1031,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1060,create,ibench-cpu-node2,2,ibench-cpu,cpu pod on node2 created
1076,create,ibench-cpu-node1,2,ibench-cpu,cpu pod on node1 created
1185,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1230,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
1271,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1316,create,ibench-cpu-node1,2,ibench-cpu,cpu pod on node1 created
1419,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1464,create,ibench-cpu-node2,1,ibench-cpu,cpu pod on node2 created
1475,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1520,create,ibench-cpu-node1,1,ibench-cpu,cpu pod on node1 created
1629,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1674,create,ibench-cpu-node2,2,ibench-cpu,cpu pod on node2 created
1677,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
1722,create,ibench-cpu-node1,1,ibench-cpu,cpu pod on node1 created
1795,delete,ibench-cpu-node2,,ibench-cpu,cpu pod on node2 deleted
1836,delete,ibench-cpu-node1,,ibench-cpu,cpu pod on node1 deleted
