timestamp_sec,action,deployment_name,replicas,type,description
300,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
309,create,ibench-l3-node1,3,ibench-l3,l3 pod on node1 created
478,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
494,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
523,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
539,create,ibench-l3-node2,3,ibench-l3,l3 pod on node2 created
631,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
676,create,ibench-l3-node1,2,ibench-l3,l3 pod on node1 created
729,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
774,create,ibench-l3-node2,3,ibench-l3,l3 pod on node2 created
810,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
855,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
877,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
922,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
1036,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1081,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
1084,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1129,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
1267,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1269,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1312,create,ibench-l3-node2,2,ibench-l3,l3 pod on node2 created
1335,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
1456,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1501,create,ibench-l3-node2,2,ibench-l3,l3 pod on node2 created
1507,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1552,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
1608,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1652,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1653,create,ibench-l3-node2,2,ibench-l3,l3 pod on node2 created
1697,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
1809,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1815,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
