timestamp_sec,action,deployment_name,replicas,type,description
300,create,ibench-l3-node2,2,ibench-l3,l3 pod on node2 created
305,create,ibench-l3-node1,2,ibench-l3,l3 pod on node1 created
421,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
460,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
466,create,ibench-l3-node1,3,ibench-l3,l3 pod on node1 created
505,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
653,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
665,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
698,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
710,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
827,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
872,create,ibench-l3-node2,3,ibench-l3,l3 pod on node2 created
897,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
942,create,ibench-l3-node1,1,ibench-l3,l3 pod on node1 created
1056,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1101,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
1114,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1159,create,ibench-l3-node1,2,ibench-l3,l3 pod on node1 created
1272,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1283,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1317,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
1337,create,ibench-l3-node1,2,ibench-l3,l3 pod on node1 created
1442,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1471,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1487,create,ibench-l3-node1,2,ibench-l3,l3 pod on node1 created
1516,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
1588,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1633,create,ibench-l3-node1,2,ibench-l3,l3 pod on node1 created
1650,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
1695,create,ibench-l3-node2,1,ibench-l3,l3 pod on node2 created
1779,delete,ibench-l3-node1,,ibench-l3,l3 pod on node1 deleted
1799,delete,ibench-l3-node2,,ibench-l3,l3 pod on node2 deleted
