timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
22,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
22,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
136,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
140,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
196,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
197,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
199,create,ibench-l3-node1,2,ibench-l3,l3 pod for node1 created
199,create,ibench-cpu-node2,2,ibench-cpu,cpu pod for node2 created
289,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
290,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
333,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
336,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
337,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
361,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
380,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
447,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
450,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
494,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
495,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
521,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
521,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
571,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
571,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
571,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
585,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
623,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
662,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
666,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
666,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
716,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
729,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
729,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
753,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
779,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
781,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
794,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
807,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
881,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
885,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
891,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
901,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
958,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
958,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
972,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
974,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
1009,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
1047,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
1051,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
1080,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
1098,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
1103,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
