timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-membw-node2,2,ibench-membw,membw pod for node2 created
18,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
42,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
55,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
185,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
186,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
189,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
205,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
216,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
219,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
247,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
277,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
355,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
358,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
368,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
381,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
408,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
417,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
456,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
460,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
541,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
544,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
556,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
556,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
608,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
610,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
624,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
630,create,ibench-membw-node1,2,ibench-membw,membw pod for node1 created
711,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
714,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
