timestamp_sec,action,deployment_name,replicas,type,description
0,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
21,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
48,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
80,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
111,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
111,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
133,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
143,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
178,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
178,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
213,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
217,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
250,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
252,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
264,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
279,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
280,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
307,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
318,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
335,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
381,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
384,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
387,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
414,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
444,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
448,create,ibench-l3-node2,1,ibench-l3,l3 pod for node2 created
469,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
478,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
493,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
502,create,ibench-cpu-node1,1,ibench-cpu,cpu pod for node1 created
542,delete,ibench-membw-node1,,ibench-membw,membw pod for node1 deleted
546,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
578,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
581,create,ibench-membw-node2,1,ibench-membw,membw pod for node2 created
611,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
616,delete,ibench-cpu-node2,,ibench-cpu,cpu pod for node2 deleted
621,delete,ibench-cpu-node1,,ibench-cpu,cpu pod for node1 deleted
627,create,ibench-membw-node1,1,ibench-membw,membw pod for node1 created
647,create,ibench-cpu-node2,1,ibench-cpu,cpu pod for node2 created
661,delete,ibench-l3-node1,,ibench-l3,l3 pod for node1 deleted
662,create,ibench-cpu-node1,2,ibench-cpu,cpu pod for node1 created
691,create,ibench-l3-node1,1,ibench-l3,l3 pod for node1 created
711,delete,ibench-l3-node2,,ibench-l3,l3 pod for node2 deleted
719,delete,ibench-membw-node2,,ibench-membw,membw pod for node2 deleted
744,create,ibench-l3-node2,2,ibench-l3,l3 pod for node2 created
