System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-10,22:36:53.377,3.58,89.80,0.00,3.58,89.80,0.00,0.86,0.04,0.15,0.66,94.49,0.00,1.71,34.21,0.68,0.07,0.28,1.19,91.37,0.00,1.37,27.36,0.82,0.06,0.25,1.20,92.28,0.00,1.64,32.72,1.49,0.05,0.78,7.83,84.48,0.00,2.97,59.40,1.70,0.02,0.27,4.39,90.76,0.00,3.41,68.12,1.58,0.04,0.57,6.69,85.88,0.00,3.17,63.36,0.92,0.03,0.78,3.12,90.36,0.00,1.84,36.80,0.62,0.03,1.10,3.54,88.77,0.00,1.24,24.76
2025-07-10,22:36:58.376,3.69,96.31,0.00,3.69,96.31,0.00,0.73,0.03,0.14,0.51,99.48,0.00,1.45,29.07,0.71,0.06,0.23,0.92,99.08,0.00,1.41,28.29,0.62,0.06,0.21,0.91,99.09,0.00,1.24,24.75,1.11,0.05,1.14,5.35,94.65,0.00,2.22,44.42,1.65,0.02,0.31,4.34,95.64,0.00,3.29,65.90,1.73,0.06,0.55,10.20,89.80,0.00,3.47,69.34,0.94,0.04,0.96,3.54,96.46,0.00,1.87,37.47,0.66,0.03,1.34,3.76,96.24,0.00,1.31,26.23
2025-07-10,22:37:03.376,3.64,96.35,0.00,3.64,96.35,0.00,0.83,0.04,0.15,0.57,99.41,0.00,1.67,33.30,0.74,0.06,0.30,1.05,98.95,0.00,1.47,29.42,0.80,0.06,0.25,1.04,98.96,0.00,1.59,31.88,0.93,0.04,1.23,4.41,95.59,0.00,1.86,37.16,1.68,0.02,0.32,4.79,95.18,0.00,3.37,67.40,1.72,0.07,0.60,10.21,89.79,0.00,3.45,68.97,0.93,0.04,0.94,3.45,96.55,0.00,1.85,37.03,0.67,0.03,1.28,3.62,96.38,0.00,1.33,26.63
2025-07-10,22:37:08.377,3.97,96.03,0.00,3.97,96.03,0.00,0.70,0.03,0.11,0.50,99.50,0.00,1.40,27.94,0.70,0.06,0.26,1.00,99.00,0.00,1.40,27.97,0.74,0.06,0.23,1.00,99.00,0.00,1.47,29.49,1.61,0.07,0.81,10.39,89.61,0.00,3.22,64.34,0.92,0.02,0.42,1.79,98.21,0.00,1.83,36.64,1.72,0.06,0.62,10.29,89.71,0.00,3.44,68.80,0.93,0.03,0.88,3.29,96.71,0.00,1.87,37.38,0.64,0.03,1.37,3.47,96.53,0.00,1.29,25.71
2025-07-10,22:37:13.377,3.66,96.33,0.00,3.66,96.33,0.00,0.71,0.03,0.14,0.52,99.47,0.00,1.42,28.35,0.87,0.06,0.27,1.04,98.93,0.00,1.73,34.67,0.74,0.06,0.25,1.03,98.97,0.00,1.49,29.75,0.78,0.04,1.18,3.99,96.01,0.00,1.56,31.17,1.71,0.04,0.31,5.00,95.00,0.00,3.41,68.26,1.71,0.06,0.63,10.42,89.56,0.00,3.42,68.46,0.93,0.05,0.94,3.49,96.51,0.00,1.86,37.21,0.63,0.03,1.26,3.82,96.18,0.00,1.26,25.19
2025-07-10,22:37:18.378,3.68,96.32,0.00,3.68,96.32,0.00,0.72,0.04,0.16,0.60,99.38,0.00,1.45,28.95,0.87,0.08,0.31,1.14,98.86,0.00,1.75,35.00,0.76,0.06,0.27,1.09,98.91,0.00,1.52,30.45,0.70,0.04,1.22,3.84,96.16,0.00,1.41,28.17,1.73,0.03,0.28,5.00,94.98,0.00,3.46,69.18,1.71,0.06,0.60,10.41,89.59,0.00,3.43,68.53,0.94,0.04,0.97,3.63,96.37,0.00,1.87,37.41,0.67,0.03,1.23,3.70,96.30,0.00,1.35,26.97
2025-07-10,22:37:23.377,3.82,96.18,0.00,3.82,96.18,0.00,0.87,0.03,0.15,0.57,99.43,0.00,1.74,34.75,0.68,0.06,0.27,1.02,98.98,0.00,1.35,27.07,0.94,0.07,0.28,1.18,98.82,0.00,1.88,37.56,1.35,0.06,1.08,7.03,92.97,0.00,2.71,54.16,1.54,0.02,0.34,3.44,96.56,0.00,3.08,61.64,1.72,0.06,0.61,10.29,89.71,0.00,3.43,68.65,0.94,0.04,0.92,3.42,96.58,0.00,1.87,37.48,0.66,0.03,1.33,3.63,96.37,0.00,1.32,26.40
2025-07-10,22:37:28.377,3.65,96.35,0.00,3.65,96.35,0.00,0.64,0.04,0.15,0.56,99.44,0.00,1.28,25.61,0.71,0.06,0.25,1.04,98.96,0.00,1.42,28.33,0.71,0.06,0.24,1.05,98.95,0.00,1.41,28.20,1.45,0.06,0.98,8.00,92.00,0.00,2.90,57.98,1.66,0.03,0.33,4.59,95.41,0.00,3.31,66.28,1.55,0.05,0.71,6.99,93.01,0.00,3.10,61.93,0.94,0.03,0.90,3.38,96.62,0.00,1.87,37.43,0.65,0.03,1.33,3.59,96.41,0.00,1.31,26.17
2025-07-10,22:37:33.378,3.88,96.12,0.00,3.88,96.12,0.00,0.69,0.04,0.16,0.59,99.40,0.00,1.37,27.48,0.73,0.07,0.29,1.05,98.95,0.00,1.46,29.27,0.75,0.07,0.26,1.02,98.98,0.00,1.50,29.97,1.41,0.06,1.06,7.52,92.48,0.00,2.81,56.23,1.47,0.03,0.38,3.26,96.74,0.00,2.93,58.66,1.70,0.05,0.64,10.36,89.64,0.00,3.39,67.83,0.93,0.04,0.94,3.53,96.47,0.00,1.86,37.21,0.65,0.03,1.38,3.72,96.28,0.00,1.30,26.05
2025-07-10,22:37:38.377,3.90,96.10,0.00,3.90,96.10,0.00,0.67,0.03,0.13,0.54,99.45,0.00,1.34,26.83,0.56,0.06,0.26,0.87,99.13,0.00,1.13,22.53,0.70,0.06,0.25,1.01,98.99,0.00,1.41,28.18,1.48,0.06,0.96,8.35,91.65,0.00,2.96,59.25,1.40,0.02,0.38,2.71,97.29,0.00,2.80,56.00,1.70,0.05,0.65,10.40,89.60,0.00,3.40,68.07,0.93,0.04,0.94,3.51,96.49,0.00,1.87,37.34,0.61,0.03,1.39,3.84,96.16,0.00,1.22,24.46
