System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-11,07:54:08.390,1.66,1.17,5.11,20.96,24.38,3.31,66.24,6.41,89.04,0.00,99.97,0.00
2025-07-11,07:54:13.391,1.44,1.25,5.38,21.62,23.75,2.88,57.67,6.74,93.22,0.00,100.00,0.00
2025-07-11,07:54:18.390,1.49,1.48,6.17,22.32,24.04,2.97,59.49,7.03,92.94,0.00,100.00,0.00
2025-07-11,07:54:23.391,1.50,1.34,5.86,21.82,23.93,3.00,59.93,6.99,92.98,0.00,100.00,0.00
2025-07-11,07:54:28.391,1.49,1.43,6.16,21.97,23.87,2.98,59.66,7.01,92.96,0.00,100.00,0.00
2025-07-11,07:54:33.391,1.41,1.31,5.61,21.69,23.69,2.83,56.58,6.84,93.11,0.00,100.00,0.00
2025-07-11,07:54:38.392,1.47,1.28,5.67,21.61,23.65,2.94,58.71,6.90,93.05,0.00,100.00,0.00
2025-07-11,07:54:43.391,1.51,1.29,5.73,21.47,23.57,3.03,60.53,6.89,93.06,0.00,100.00,0.00
2025-07-11,07:54:48.392,1.44,1.37,5.87,21.65,23.58,2.88,57.60,6.92,93.04,0.00,100.00,0.00
2025-07-11,07:54:53.392,1.53,1.35,5.93,21.71,23.79,3.06,61.22,6.94,93.02,0.00,100.00,0.00
2025-07-11,07:54:58.391,1.48,1.40,5.99,21.83,23.82,2.96,59.18,7.01,92.94,0.00,100.00,0.00
2025-07-11,07:55:03.392,1.50,1.40,6.04,21.99,23.80,2.99,59.80,6.96,93.00,0.00,100.00,0.00
2025-07-11,07:55:08.392,1.39,1.27,5.52,21.47,23.49,2.79,55.76,6.75,93.19,0.00,100.00,0.00
2025-07-11,07:55:13.393,1.40,1.35,5.67,21.86,23.91,2.80,55.91,6.84,93.12,0.00,100.00,0.00
2025-07-11,07:55:18.393,1.46,1.40,5.97,21.79,23.93,2.92,58.30,6.91,93.05,0.00,100.00,0.00
2025-07-11,07:55:23.392,1.46,1.39,5.88,21.78,23.84,2.93,58.54,6.90,93.06,0.00,100.00,0.00
2025-07-11,07:55:28.393,1.52,1.48,6.25,22.14,24.04,3.04,60.88,7.09,92.88,0.00,100.00,0.00
2025-07-11,07:55:33.393,1.43,1.40,5.97,22.00,23.99,2.86,57.16,6.96,93.02,0.00,100.00,0.00
2025-07-11,07:55:38.394,1.49,1.30,5.68,21.60,23.98,2.97,59.42,6.85,93.14,0.00,100.00,0.00
2025-07-11,07:55:43.394,1.46,1.37,5.84,21.76,23.86,2.93,58.53,6.94,93.02,0.00,100.00,0.00
2025-07-11,07:55:48.394,1.48,1.37,5.91,21.97,24.04,2.96,59.18,6.93,93.02,0.00,100.00,0.00
2025-07-11,07:55:53.395,1.49,1.35,5.78,21.67,23.94,2.98,59.66,6.95,93.02,0.00,100.00,0.00
2025-07-11,07:55:58.395,1.45,1.34,5.83,21.76,23.92,2.89,57.81,6.94,92.98,0.00,100.00,0.00
2025-07-11,07:56:03.394,1.55,1.31,5.72,21.73,24.37,3.10,61.93,6.89,93.09,0.00,100.00,0.00
2025-07-11,07:56:08.395,1.47,1.34,5.79,22.15,24.51,2.93,58.66,6.88,93.08,0.00,100.00,0.00
2025-07-11,07:56:13.395,1.44,1.32,5.62,21.91,24.09,2.87,57.47,6.90,93.05,0.00,100.00,0.00
2025-07-11,07:56:18.395,1.44,1.45,5.96,22.33,24.18,2.89,57.78,7.03,92.95,0.00,100.00,0.00
2025-07-11,07:56:23.396,1.48,1.39,5.89,22.28,24.62,2.97,59.38,6.93,93.03,0.00,100.00,0.00
2025-07-11,07:56:28.396,1.49,1.38,5.79,22.07,24.36,2.98,59.65,6.92,93.04,0.00,100.00,0.00
2025-07-11,07:56:33.396,1.51,1.41,6.01,22.25,24.59,3.02,60.40,6.92,93.05,0.00,100.00,0.00
2025-07-11,07:56:38.396,1.51,1.30,5.66,21.96,24.49,3.01,60.24,6.88,93.08,0.00,100.00,0.00
2025-07-11,07:56:43.397,1.50,1.38,5.98,22.18,24.45,3.00,59.99,6.95,93.03,0.00,100.00,0.00
2025-07-11,07:56:48.397,1.54,1.37,6.05,22.13,24.55,3.07,61.48,6.96,93.00,0.00,100.00,0.00
2025-07-11,07:56:53.397,1.46,1.41,5.94,22.53,24.74,2.91,58.28,7.02,92.93,0.00,100.00,0.00
2025-07-11,07:56:58.397,1.46,1.34,5.74,22.25,24.58,2.92,58.31,6.89,93.05,0.00,100.00,0.00
2025-07-11,07:57:03.397,1.48,1.41,5.93,22.34,24.53,2.96,59.30,7.06,92.88,0.00,100.00,0.00
2025-07-11,07:57:08.397,2.15,0.79,3.19,19.36,24.29,4.30,85.96,6.29,81.37,0.00,99.85,0.00
