System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-05,23:11:56.848,8.17,85.60,0.00,8.17,85.60,0.00,1.67,0.14,0.41,14.66,80.78,0.00,3.33,66.69,1.73,0.14,0.47,14.35,80.75,0.00,3.46,69.22,1.50,0.12,0.40,14.43,80.68,0.00,3.00,60.02,0.69,0.04,1.38,4.35,85.09,0.00,1.37,27.45,0.78,0.04,1.27,3.89,91.55,0.00,1.56,31.30,0.79,0.04,1.34,3.98,91.12,0.00,1.59,31.74,0.88,0.04,1.30,4.67,90.44,0.00,1.76,35.29,0.70,0.05,1.66,5.07,84.37,0.00,1.40,28.08
2025-07-05,23:12:01.848,9.23,90.77,0.00,9.23,90.77,0.00,1.69,0.13,0.43,13.83,86.16,0.00,3.39,67.78,1.66,0.13,0.41,12.99,87.01,0.00,3.33,66.58,1.52,0.11,0.36,15.25,84.75,0.00,3.04,60.77,0.69,0.05,1.72,6.12,93.88,0.00,1.38,27.62,0.81,0.04,1.77,5.92,94.07,0.00,1.62,32.32,0.82,0.06,1.64,5.82,94.18,0.00,1.64,32.84,0.91,0.05,1.65,6.67,93.33,0.00,1.82,36.36,0.75,0.05,1.98,7.20,92.80,0.00,1.50,29.97
2025-07-05,23:12:06.848,8.34,91.66,0.00,8.34,91.66,0.00,1.55,0.13,0.36,13.42,86.56,0.00,3.10,62.01,1.64,0.14,0.40,13.17,86.83,0.00,3.28,65.59,1.62,0.15,0.47,13.79,86.21,0.00,3.23,64.65,0.70,0.04,1.49,5.12,94.88,0.00,1.41,28.16,0.84,0.04,1.29,4.52,95.46,0.00,1.69,33.79,0.83,0.04,1.39,4.63,95.37,0.00,1.66,33.28,0.86,0.05,1.93,5.79,94.21,0.00,1.73,34.56,0.73,0.05,1.95,6.27,93.73,0.00,1.47,29.37
2025-07-05,23:12:11.848,8.44,91.55,0.00,8.44,91.55,0.00,1.62,0.13,0.38,13.91,86.08,0.00,3.24,64.89,1.58,0.10,0.33,13.73,86.26,0.00,3.15,63.07,1.62,0.15,0.46,13.61,86.39,0.00,3.24,64.84,0.69,0.05,1.58,4.97,95.03,0.00,1.38,27.55,0.84,0.06,1.45,4.78,95.22,0.00,1.68,33.55,0.83,0.04,1.41,4.69,95.29,0.00,1.66,33.17,0.86,0.05,1.94,5.76,94.24,0.00,1.72,34.42,0.74,0.05,1.92,6.07,93.93,0.00,1.48,29.51
2025-07-05,23:12:16.848,8.77,91.23,0.00,8.77,91.23,0.00,1.67,0.14,0.43,13.77,86.23,0.00,3.35,66.94,1.58,0.12,0.38,13.40,86.59,0.00,3.15,63.01,1.56,0.14,0.44,14.56,85.44,0.00,3.12,62.42,0.68,0.04,1.57,5.29,94.71,0.00,1.37,27.34,0.80,0.04,1.63,5.20,94.80,0.00,1.61,32.14,0.83,0.04,1.43,5.14,94.86,0.00,1.66,33.23,0.89,0.05,1.80,6.19,93.81,0.00,1.77,35.43,0.75,0.05,1.93,6.61,93.39,0.00,1.50,29.91
2025-07-05,23:12:21.848,8.45,91.55,0.00,8.45,91.55,0.00,1.64,0.14,0.38,13.62,86.37,0.00,3.29,65.73,1.52,0.11,0.34,14.63,85.37,0.00,3.03,60.68,1.65,0.17,0.50,13.30,86.70,0.00,3.30,66.05,0.67,0.04,1.60,4.87,95.13,0.00,1.34,26.81,0.80,0.05,1.54,4.75,95.23,0.00,1.61,32.13,0.86,0.03,1.18,4.49,95.51,0.00,1.71,34.26,0.85,0.06,2.09,5.89,94.11,0.00,1.69,33.84,0.74,0.06,1.94,6.06,93.94,0.00,1.48,29.51
2025-07-05,23:12:26.849,8.73,91.26,0.00,8.73,91.26,0.00,1.56,0.15,0.39,14.55,85.42,0.00,3.12,62.32,1.57,0.13,0.41,13.27,86.73,0.00,3.15,62.91,1.66,0.15,0.53,13.36,86.64,0.00,3.33,66.56,0.70,0.05,1.51,5.28,94.72,0.00,1.41,28.12,0.86,0.05,1.36,5.18,94.79,0.00,1.72,34.39,0.88,0.05,1.35,5.15,94.85,0.00,1.76,35.17,0.84,0.05,2.12,6.39,93.61,0.00,1.69,33.79,0.76,0.05,1.93,6.65,93.35,0.00,1.52,30.32
2025-07-05,23:12:31.849,9.32,90.68,0.00,9.32,90.68,0.00,1.71,0.13,0.40,14.66,85.32,0.00,3.42,68.49,1.63,0.12,0.38,14.54,85.46,0.00,3.26,65.24,1.56,0.11,0.39,13.95,86.05,0.00,3.13,62.52,0.70,0.03,1.42,5.77,94.23,0.00,1.40,28.00,0.84,0.04,1.51,5.66,94.32,0.00,1.68,33.64,0.86,0.04,1.43,5.75,94.24,0.00,1.71,34.26,0.90,0.04,1.76,6.85,93.15,0.00,1.80,36.10,0.77,0.04,1.90,7.35,92.65,0.00,1.53,30.64
2025-07-05,23:12:36.849,8.65,91.35,0.00,8.65,91.35,0.00,1.69,0.15,0.38,15.18,84.82,0.00,3.37,67.48,1.46,0.12,0.37,13.78,86.22,0.00,2.91,58.27,1.65,0.16,0.49,13.65,86.35,0.00,3.30,65.96,0.70,0.03,1.64,5.26,94.74,0.00,1.39,27.84,0.81,0.05,1.50,4.57,95.43,0.00,1.61,32.20,0.85,0.04,1.17,4.69,95.31,0.00,1.71,34.13,0.85,0.05,2.10,5.90,94.10,0.00,1.69,33.84,0.73,0.05,1.98,6.20,93.80,0.00,1.46,29.26
2025-07-05,23:12:41.850,8.54,91.45,0.00,8.54,91.45,0.00,1.69,0.14,0.37,14.11,85.87,0.00,3.38,67.69,1.49,0.12,0.35,14.54,85.46,0.00,2.97,59.45,1.65,0.13,0.44,12.93,87.07,0.00,3.31,66.16,0.68,0.04,1.63,5.02,94.98,0.00,1.36,27.14,0.80,0.05,1.64,4.88,95.10,0.00,1.61,32.11,0.87,0.05,1.21,4.78,95.22,0.00,1.75,34.95,0.84,0.05,2.06,5.93,94.07,0.00,1.69,33.75,0.74,0.05,1.94,6.16,93.84,0.00,1.49,29.77
