System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-06,02:48:45.197,1.35,0.43,8.20,11.58,5.50,2.71,54.14,8.49,85.23,0.00,99.33,0.03
2025-07-06,02:48:50.197,1.34,0.65,9.79,16.34,7.83,2.67,53.50,7.61,92.39,0.00,100.00,0.00
2025-07-06,02:48:55.197,1.36,0.51,9.66,14.99,7.23,2.71,54.22,8.03,91.96,0.00,100.00,0.00
2025-07-06,02:49:00.197,1.34,0.52,9.62,15.09,7.22,2.68,53.62,8.16,91.84,0.00,100.00,0.00
2025-07-06,02:49:05.197,1.33,0.52,9.66,15.36,7.43,2.67,53.32,7.98,92.01,0.00,100.00,0.00
2025-07-06,02:49:10.197,1.31,0.58,10.29,15.86,7.58,2.63,52.51,8.00,91.99,0.00,100.00,0.00
2025-07-06,02:49:15.197,1.33,0.55,9.57,15.59,7.51,2.66,53.23,7.79,92.20,0.00,100.00,0.00
2025-07-06,02:49:20.197,1.32,0.52,9.40,15.03,7.27,2.63,52.61,7.84,92.15,0.00,100.00,0.00
2025-07-06,02:49:25.198,1.33,0.56,9.59,15.68,7.55,2.66,53.12,7.92,92.08,0.00,100.00,0.00
2025-07-06,02:49:30.197,1.32,0.55,9.59,14.80,7.11,2.64,52.89,8.03,91.96,0.00,100.00,0.00
2025-07-06,02:49:35.198,1.32,0.54,9.28,14.33,6.85,2.64,52.82,8.31,91.69,0.00,100.00,0.00
2025-07-06,02:49:40.197,1.35,0.55,9.31,16.05,7.77,2.69,53.86,7.73,92.26,0.00,100.00,0.00
2025-07-06,02:49:45.198,1.34,0.49,9.73,12.70,6.05,2.67,53.47,8.92,91.07,0.00,100.00,0.00
2025-07-06,02:49:50.197,1.28,0.44,9.76,10.08,4.74,2.57,51.31,9.76,90.23,0.00,100.00,0.00
2025-07-06,02:49:55.198,1.29,0.44,9.31,10.60,5.03,2.59,51.72,9.43,90.57,0.00,100.00,0.00
2025-07-06,02:50:00.197,1.28,0.51,10.01,11.51,5.44,2.56,51.27,9.32,90.66,0.00,100.00,0.00
2025-07-06,02:50:05.198,1.26,0.49,9.55,9.95,4.65,2.52,50.42,9.54,90.46,0.00,100.00,0.00
2025-07-06,02:50:10.198,1.28,0.49,9.63,9.97,4.65,2.57,51.39,9.84,90.15,0.00,100.00,0.00
2025-07-06,02:50:15.197,1.29,0.43,9.91,10.00,4.72,2.58,51.51,9.81,90.18,0.00,100.00,0.00
2025-07-06,02:50:20.198,1.27,0.53,9.85,9.69,4.44,2.54,50.81,10.11,89.89,0.00,100.00,0.00
2025-07-06,02:50:25.197,1.28,0.47,9.77,10.21,4.80,2.56,51.17,9.68,90.31,0.00,100.00,0.00
2025-07-06,02:50:30.198,1.31,0.50,9.87,10.70,5.03,2.61,52.29,9.65,90.34,0.00,100.00,0.00
2025-07-06,02:50:35.199,1.26,0.46,10.16,9.48,4.41,2.53,50.53,9.96,90.03,0.00,100.00,0.00
2025-07-06,02:50:40.199,1.29,0.50,10.16,10.33,4.83,2.58,51.70,9.84,90.15,0.00,100.00,0.00
2025-07-06,02:50:45.200,1.25,0.45,10.10,9.10,4.20,2.51,50.19,10.19,89.80,0.00,100.00,0.00
2025-07-06,02:50:50.199,1.29,0.44,9.61,9.94,4.69,2.58,51.64,9.73,90.26,0.00,100.00,0.00
2025-07-06,02:50:55.200,1.27,0.45,9.98,9.78,4.55,2.54,50.89,9.90,90.09,0.00,100.00,0.00
2025-07-06,02:51:00.199,1.27,0.46,9.56,9.08,4.20,2.54,50.72,9.87,90.13,0.00,100.00,0.00
2025-07-06,02:51:05.200,1.28,0.42,9.50,10.10,4.78,2.56,51.28,9.51,90.48,0.00,100.00,0.00
2025-07-06,02:51:10.200,1.29,0.52,9.87,10.51,4.90,2.58,51.69,9.67,90.33,0.00,100.00,0.00
2025-07-06,02:51:15.200,1.26,0.43,9.99,8.90,4.15,2.53,50.52,10.03,89.97,0.00,100.00,0.00
2025-07-06,02:51:20.200,1.29,0.48,10.13,10.28,4.79,2.58,51.62,9.76,90.24,0.00,100.00,0.00
2025-07-06,02:51:25.200,1.26,0.47,9.98,9.23,4.27,2.52,50.38,10.07,89.93,0.00,100.00,0.00
2025-07-06,02:51:30.201,1.24,0.46,10.20,8.96,4.15,2.48,49.69,10.26,89.74,0.00,100.00,0.00
2025-07-06,02:51:35.201,1.28,0.43,9.61,9.53,4.47,2.56,51.10,9.83,90.17,0.00,100.00,0.00
2025-07-06,02:51:40.201,1.30,0.45,9.68,9.30,4.34,2.59,51.81,9.99,90.01,0.00,100.00,0.00
2025-07-06,02:51:45.201,1.91,0.58,4.19,14.92,7.56,3.82,76.49,8.18,74.96,0.00,98.20,0.10
