System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-11,16:07:09.392,1.48,91.22,0.00,1.48,91.22,0.00,0.74,0.03,0.12,0.54,93.02,0.00,1.48,29.58,0.97,0.07,0.25,1.21,92.80,0.00,1.95,38.91,0.86,0.08,0.28,1.21,92.96,0.00,1.71,34.27,0.70,0.01,0.41,1.25,87.80,0.00,1.40,28.07,0.93,0.01,0.26,1.08,92.48,0.00,1.86,37.17,0.90,0.01,0.26,1.07,92.93,0.00,1.81,36.12,0.99,0.02,0.74,2.64,91.54,0.00,1.97,39.40,0.72,0.02,0.94,2.82,86.24,0.00,1.45,28.97
2025-07-11,16:07:14.392,1.61,98.39,0.00,1.61,98.39,0.00,0.96,0.03,0.09,0.46,99.54,0.00,1.92,38.43,0.82,0.04,0.18,0.82,99.18,0.00,1.64,32.79,1.00,0.04,0.21,0.87,99.13,0.00,2.00,40.03,0.68,0.01,0.49,1.48,98.52,0.00,1.37,27.35,0.92,0.01,0.31,1.28,98.72,0.00,1.85,36.94,0.93,0.01,0.32,1.30,98.70,0.00,1.86,37.16,1.01,0.02,0.89,3.16,96.84,0.00,2.02,40.32,0.69,0.02,1.13,3.48,96.52,0.00,1.38,27.64
2025-07-11,16:07:19.392,1.60,98.40,0.00,1.60,98.40,0.00,0.75,0.02,0.09,0.44,99.56,0.00,1.51,30.19,0.83,0.05,0.23,0.96,99.04,0.00,1.66,33.30,0.82,0.05,0.25,1.00,99.00,0.00,1.64,32.74,0.69,0.01,0.47,1.37,98.63,0.00,1.39,27.72,0.93,0.01,0.32,1.30,98.70,0.00,1.86,37.24,0.92,0.02,0.33,1.30,98.70,0.00,1.85,36.93,1.00,0.02,0.89,3.11,96.89,0.00,1.99,39.83,0.74,0.02,1.14,3.33,96.67,0.00,1.48,29.50
2025-07-11,16:07:24.392,1.60,98.40,0.00,1.60,98.40,0.00,0.80,0.02,0.10,0.43,99.57,0.00,1.61,32.17,0.97,0.04,0.20,0.88,99.12,0.00,1.94,38.71,0.89,0.05,0.24,0.90,99.10,0.00,1.77,35.43,0.71,0.01,0.43,1.39,98.61,0.00,1.41,28.23,0.96,0.01,0.31,1.33,98.67,0.00,1.91,38.29,0.95,0.01,0.30,1.30,98.70,0.00,1.91,38.16,0.99,0.02,0.89,3.20,96.80,0.00,1.99,39.73,0.75,0.02,1.09,3.37,96.63,0.00,1.50,30.00
2025-07-11,16:07:29.392,1.62,98.38,0.00,1.62,98.38,0.00,1.03,0.03,0.10,0.52,99.48,0.00,2.06,41.28,0.83,0.06,0.22,0.99,99.01,0.00,1.67,33.35,0.85,0.05,0.26,0.97,99.03,0.00,1.70,33.99,0.71,0.01,0.44,1.40,98.60,0.00,1.42,28.40,0.94,0.01,0.30,1.28,98.72,0.00,1.87,37.44,0.93,0.01,0.31,1.31,98.69,0.00,1.85,37.02,1.00,0.02,0.88,3.13,96.87,0.00,1.99,39.87,0.74,0.02,1.12,3.36,96.64,0.00,1.48,29.63
2025-07-11,16:07:34.393,1.62,98.38,0.00,1.62,98.38,0.00,1.09,0.03,0.11,0.52,99.48,0.00,2.18,43.53,0.88,0.05,0.22,0.95,99.05,0.00,1.77,35.40,0.78,0.04,0.24,0.89,99.11,0.00,1.56,31.23,0.69,0.02,0.48,1.44,98.56,0.00,1.38,27.69,0.92,0.01,0.31,1.29,98.71,0.00,1.85,36.92,0.92,0.01,0.32,1.32,98.68,0.00,1.84,36.71,1.00,0.02,0.88,3.15,96.85,0.00,2.01,40.15,0.69,0.02,1.11,3.43,96.57,0.00,1.39,27.72
2025-07-11,16:07:39.393,1.59,98.41,0.00,1.59,98.41,0.00,1.09,0.02,0.10,0.45,99.55,0.00,2.18,43.63,0.78,0.06,0.23,0.95,99.05,0.00,1.56,31.27,0.89,0.05,0.25,0.97,99.03,0.00,1.78,35.65,0.72,0.01,0.44,1.33,98.67,0.00,1.43,28.66,0.95,0.01,0.31,1.25,98.75,0.00,1.90,37.92,0.95,0.01,0.32,1.30,98.70,0.00,1.90,38.02,0.99,0.02,0.88,3.08,96.92,0.00,1.98,39.55,0.74,0.02,1.13,3.37,96.63,0.00,1.48,29.55
2025-07-11,16:07:44.393,1.63,98.37,0.00,1.63,98.37,0.00,1.00,0.02,0.11,0.49,99.51,0.00,2.01,40.11,0.87,0.05,0.21,0.94,99.06,0.00,1.75,34.93,0.82,0.05,0.24,0.94,99.06,0.00,1.64,32.82,0.70,0.01,0.50,1.51,98.49,0.00,1.40,28.06,0.94,0.01,0.32,1.32,98.68,0.00,1.87,37.41,0.92,0.01,0.33,1.34,98.66,0.00,1.85,36.97,1.07,0.02,0.91,3.25,96.75,0.00,2.14,42.83,0.73,0.02,1.11,3.30,96.70,0.00,1.47,29.30
2025-07-11,16:07:49.393,1.63,98.37,0.00,1.63,98.37,0.00,0.84,0.02,0.13,0.48,99.52,0.00,1.68,33.64,0.87,0.06,0.25,1.02,98.98,0.00,1.74,34.83,0.92,0.05,0.27,1.04,98.96,0.00,1.84,36.78,0.67,0.01,0.49,1.46,98.54,0.00,1.34,26.89,0.92,0.01,0.31,1.30,98.70,0.00,1.84,36.85,0.92,0.01,0.30,1.27,98.73,0.00,1.84,36.71,1.00,0.02,0.89,3.13,96.87,0.00,2.00,39.95,0.73,0.02,1.14,3.31,96.69,0.00,1.47,29.32
2025-07-11,16:07:54.393,1.58,98.42,0.00,1.58,98.42,0.00,0.77,0.02,0.10,0.45,99.55,0.00,1.55,30.90,0.87,0.05,0.21,0.93,99.07,0.00,1.75,34.91,0.78,0.05,0.23,0.91,99.09,0.00,1.57,31.40,0.71,0.02,0.48,1.41,98.59,0.00,1.42,28.31,0.93,0.01,0.32,1.32,98.68,0.00,1.87,37.37,0.93,0.01,0.31,1.29,98.71,0.00,1.86,37.18,0.99,0.02,0.87,3.09,96.91,0.00,1.98,39.64,0.74,0.02,1.09,3.25,96.75,0.00,1.48,29.65
