System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-11,19:09:20.811,0.94,0.36,7.22,1.61,0.42,1.88,37.66,2.62,90.16,0.00,98.48,0.10
2025-07-11,19:09:25.811,0.97,0.36,8.04,1.63,0.47,1.94,38.78,2.88,97.10,0.00,100.00,0.00
2025-07-11,19:09:30.811,0.96,0.36,8.27,1.71,0.50,1.93,38.52,2.93,97.07,0.00,100.00,0.00
2025-07-11,19:09:35.811,0.97,0.31,7.96,1.50,0.45,1.95,38.94,2.87,97.12,0.00,100.00,0.00
2025-07-11,19:09:40.811,0.97,0.34,7.99,1.66,0.47,1.93,38.70,2.91,97.08,0.00,100.00,0.00
2025-07-11,19:09:45.811,0.97,0.37,8.00,1.65,0.48,1.94,38.88,2.89,97.11,0.00,100.00,0.00
2025-07-11,19:09:50.811,0.98,0.35,7.92,1.62,0.49,1.97,39.33,2.86,97.11,0.00,100.00,0.00
2025-07-11,19:09:55.811,0.97,0.33,8.00,1.53,0.47,1.95,38.92,2.92,97.05,0.00,100.00,0.00
2025-07-11,19:10:00.811,0.97,0.36,7.90,1.63,0.49,1.95,38.94,2.87,97.13,0.00,100.00,0.00
2025-07-11,19:10:05.811,0.96,0.31,8.03,1.49,0.47,1.91,38.29,2.90,97.10,0.00,100.00,0.00
2025-07-11,19:10:10.811,0.97,0.39,8.17,1.71,0.50,1.94,38.86,2.95,97.04,0.00,100.00,0.00
2025-07-11,19:10:15.811,0.97,0.35,7.88,1.56,0.47,1.95,39.00,2.92,97.06,0.00,100.00,0.00
2025-07-11,19:10:20.811,1.02,0.40,8.24,1.87,0.53,2.05,40.96,2.99,97.01,0.00,100.00,0.00
2025-07-11,19:10:25.811,0.96,0.37,8.06,1.67,0.49,1.93,38.58,2.97,97.02,0.00,100.00,0.00
2025-07-11,19:10:30.812,0.97,0.34,7.95,1.59,0.49,1.94,38.87,2.85,97.13,0.00,100.00,0.00
2025-07-11,19:10:35.813,0.97,0.31,8.13,1.54,0.48,1.94,38.89,2.89,97.11,0.00,100.00,0.00
2025-07-11,19:10:40.812,0.96,0.39,8.23,1.69,0.51,1.92,38.47,2.91,97.06,0.00,100.00,0.00
2025-07-11,19:10:45.812,0.96,0.35,8.19,1.56,0.49,1.92,38.47,2.88,97.11,0.00,100.00,0.00
2025-07-11,19:10:50.812,1.02,0.40,8.26,1.98,0.52,2.03,40.70,3.04,96.94,0.00,100.00,0.00
2025-07-11,19:10:55.812,0.97,0.36,7.88,1.65,0.49,1.95,38.99,2.86,97.13,0.00,100.00,0.00
2025-07-11,19:11:00.812,0.98,0.37,8.19,1.67,0.50,1.95,39.04,2.91,97.09,0.00,100.00,0.00
2025-07-11,19:11:05.812,0.97,0.29,8.03,1.47,0.47,1.94,38.82,2.84,97.16,0.00,100.00,0.00
2025-07-11,19:11:10.812,0.96,0.40,8.04,1.69,0.50,1.93,38.51,2.98,97.01,0.00,100.00,0.00
2025-07-11,19:11:15.812,0.96,0.35,8.24,1.53,0.48,1.92,38.45,2.95,97.04,0.00,100.00,0.00
2025-07-11,19:11:20.812,1.02,0.36,8.31,1.71,0.51,2.04,40.78,3.01,96.99,0.00,100.00,0.00
2025-07-11,19:11:25.812,0.97,0.35,8.13,1.73,0.51,1.95,38.97,2.93,97.07,0.00,100.00,0.00
2025-07-11,19:11:30.813,0.99,0.37,7.94,1.72,0.52,1.98,39.53,2.91,97.09,0.00,100.00,0.00
2025-07-11,19:11:35.812,0.97,0.33,7.99,1.59,0.49,1.95,38.95,2.93,97.06,0.00,100.00,0.00
2025-07-11,19:11:40.813,0.99,0.40,8.08,1.73,0.52,1.98,39.51,2.92,97.07,0.00,100.00,0.00
2025-07-11,19:11:45.812,0.96,0.35,8.19,1.55,0.49,1.93,38.59,2.91,97.09,0.00,100.00,0.00
2025-07-11,19:11:50.813,1.03,0.33,8.01,1.63,0.50,2.05,41.02,2.91,97.06,0.00,100.00,0.00
2025-07-11,19:11:55.812,0.97,0.37,8.04,1.71,0.50,1.94,38.78,2.97,97.02,0.00,100.00,0.00
2025-07-11,19:12:00.812,0.98,0.34,8.16,1.66,0.51,1.97,39.35,2.94,97.04,0.00,100.00,0.00
2025-07-11,19:12:05.813,0.98,0.35,8.08,1.53,0.49,1.95,39.03,2.88,97.10,0.00,100.00,0.00
2025-07-11,19:12:10.813,0.97,0.38,8.18,1.70,0.51,1.94,38.78,2.91,97.08,0.00,100.00,0.00
2025-07-11,19:12:15.813,0.97,0.33,8.14,1.58,0.50,1.95,38.91,2.89,97.09,0.00,100.00,0.00
2025-07-11,19:12:20.817,2.28,0.42,4.18,2.89,1.37,4.56,91.20,4.63,80.03,0.00,100.00,0.00
