Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario0_100rps,1,Baseline0,0,100,100.00488846618157,0.303,0.311,0.0,0.508,0.555,0.613,1.806,0
1replicas_scenario1_100rps,1,Baseline1,1,100,100.00542011598289,0.3,0.306,0.0,0.505,0.553,0.605,2.321,0
1replicas_scenario0_500rps,1,Baseline0,0,500,500.00360013147724,0.087,0.083,0.0,0.101,0.109,0.155,3.453,0
1replicas_scenario1_500rps,1,Baseline1,1,500,500.00567391716373,0.088,0.084,0.0,0.101,0.11,0.159,2.95,0
1replicas_scenario0_1000rps,1,Baseline0,0,1000,1000.0006941282596,0.087,0.083,0.0,0.101,0.11,0.17,3.573,0
1replicas_scenario1_1000rps,1,Baseline1,1,1000,1000.0000844722294,0.086,0.083,0.0,0.099,0.107,0.14,2.887,0
1replicas_scenario0_1500rps,1,Baseline0,0,1500,1500.0034346411978,0.085,0.083,0.0,0.102,0.109,0.137,3.091,0
1replicas_scenario1_1500rps,1,Baseline1,1,1500,1500.0030220144217,0.086,0.084,0.0,0.103,0.111,0.138,3.64,0
1replicas_scenario0_2000rps,1,Baseline0,0,2000,1999.999855477387,0.088,0.084,0.0,0.11,0.12,0.151,3.076,0
1replicas_scenario1_2000rps,1,Baseline1,1,2000,2000.0037761515744,0.087,0.084,0.0,0.108,0.118,0.155,2.963,0
1replicas_scenario0_2500rps,1,Baseline0,0,2500,2500.0151288415523,0.092,0.088,0.0,0.116,0.129,0.163,3.012,0
1replicas_scenario1_2500rps,1,Baseline1,1,2500,2500.0025980975806,0.092,0.087,0.0,0.116,0.129,0.16,3.588,0
1replicas_scenario0_3000rps,1,Baseline0,0,3000,3000.0047856409674,0.101,0.089,0.0,0.141,0.174,0.276,4.966,0
1replicas_scenario1_3000rps,1,Baseline1,1,3000,3000.0189349400007,0.094,0.088,0.0,0.12,0.136,0.177,3.676,0
1replicas_scenario0_3500rps,1,Baseline0,0,3500,3500.0067190457858,0.095,0.088,0.0,0.127,0.145,0.196,3.438,0
1replicas_scenario1_3500rps,1,Baseline1,1,3500,3500.0067352522706,0.096,0.088,0.0,0.129,0.147,0.197,3.874,0
1replicas_scenario0_4000rps,1,Baseline0,0,4000,4000.000899292838,0.104,0.092,0.0,0.146,0.169,0.294,4.004,0
