System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-11,15:55:47.628,1.30,91.99,0.00,1.30,91.99,0.00,0.83,0.03,0.11,0.50,93.71,0.00,1.66,33.14,0.90,0.06,0.23,1.08,93.90,0.00,1.80,35.96,0.87,0.04,0.22,1.07,92.89,0.00,1.75,34.91,0.65,0.02,0.68,2.12,87.90,0.00,1.29,25.89,0.90,0.01,0.21,1.02,93.19,0.00,1.81,36.17,0.89,0.01,0.22,1.00,93.98,0.00,1.78,35.65,0.93,0.01,0.31,1.16,92.80,0.00,1.87,37.33,0.70,0.02,0.75,2.48,87.54,0.00,1.39,27.86
2025-07-11,15:55:52.629,1.46,98.54,0.00,1.46,98.54,0.00,0.95,0.02,0.09,0.45,99.55,0.00,1.91,38.20,1.12,0.05,0.19,0.98,99.02,0.00,2.24,44.73,0.68,0.05,0.20,0.86,99.14,0.00,1.36,27.17,0.74,0.02,0.78,2.62,97.38,0.00,1.47,29.49,0.98,0.01,0.27,1.22,98.78,0.00,1.96,39.13,0.94,0.01,0.28,1.24,98.76,0.00,1.88,37.56,0.97,0.01,0.38,1.38,98.62,0.00,1.94,38.75,0.72,0.02,0.91,2.97,97.03,0.00,1.45,28.90
2025-07-11,15:55:57.629,1.45,98.55,0.00,1.45,98.55,0.00,0.91,0.03,0.11,0.53,99.47,0.00,1.83,36.51,0.89,0.05,0.20,0.92,99.08,0.00,1.79,35.72,0.83,0.05,0.24,0.97,99.03,0.00,1.67,33.34,0.70,0.01,0.66,2.43,97.57,0.00,1.40,27.90,0.91,0.01,0.26,1.15,98.85,0.00,1.83,36.52,0.92,0.01,0.26,1.16,98.84,0.00,1.84,36.79,0.96,0.01,0.38,1.39,98.61,0.00,1.92,38.47,0.70,0.01,0.88,3.09,96.91,0.00,1.39,27.89
2025-07-11,15:56:02.630,1.39,98.61,0.00,1.39,98.61,0.00,1.03,0.02,0.08,0.42,99.58,0.00,2.05,41.07,0.90,0.04,0.19,0.84,99.16,0.00,1.80,35.93,0.87,0.05,0.23,0.93,99.07,0.00,1.73,34.69,0.68,0.01,0.72,2.32,97.68,0.00,1.36,27.23,0.90,0.01,0.25,1.16,98.84,0.00,1.81,36.20,0.93,0.01,0.25,1.17,98.83,0.00,1.86,37.23,0.95,0.01,0.37,1.36,98.64,0.00,1.91,38.15,0.73,0.01,0.89,2.89,97.11,0.00,1.45,29.02
2025-07-11,15:56:07.630,1.43,98.57,0.00,1.43,98.57,0.00,0.77,0.02,0.09,0.44,99.56,0.00,1.54,30.71,1.08,0.05,0.19,0.94,99.06,0.00,2.16,43.13,0.72,0.05,0.23,0.89,99.11,0.00,1.44,28.87,0.71,0.02,0.77,2.48,97.52,0.00,1.42,28.40,0.94,0.01,0.27,1.20,98.80,0.00,1.87,37.41,0.93,0.01,0.26,1.17,98.83,0.00,1.85,37.06,0.97,0.01,0.37,1.37,98.63,0.00,1.94,38.73,0.73,0.02,0.91,2.92,97.08,0.00,1.46,29.14
2025-07-11,15:56:12.630,1.43,98.57,0.00,1.43,98.57,0.00,1.07,0.02,0.09,0.46,99.54,0.00,2.15,42.91,0.98,0.05,0.21,0.95,99.05,0.00,1.96,39.18,0.88,0.05,0.22,0.92,99.08,0.00,1.76,35.21,0.70,0.05,0.80,2.48,97.52,0.00,1.40,27.97,0.91,0.01,0.26,1.19,98.81,0.00,1.83,36.51,0.91,0.01,0.25,1.16,98.84,0.00,1.83,36.51,0.98,0.01,0.36,1.36,98.64,0.00,1.96,39.17,0.73,0.02,0.90,2.92,97.08,0.00,1.45,29.08
2025-07-11,15:56:17.631,1.44,98.56,0.00,1.44,98.56,0.00,0.95,0.02,0.10,0.47,99.53,0.00,1.91,38.15,0.95,0.05,0.22,0.95,99.05,0.00,1.90,38.05,0.94,0.05,0.24,0.95,99.05,0.00,1.87,37.49,0.67,0.02,0.76,2.35,97.65,0.00,1.33,26.64,0.91,0.01,0.26,1.18,98.82,0.00,1.82,36.44,0.90,0.01,0.25,1.16,98.84,0.00,1.81,36.19,0.96,0.01,0.37,1.36,98.64,0.00,1.92,38.47,0.68,0.02,0.90,3.08,96.92,0.00,1.35,27.02
2025-07-11,15:56:22.630,1.40,98.60,0.00,1.40,98.60,0.00,1.05,0.02,0.08,0.44,99.56,0.00,2.11,42.19,0.73,0.05,0.21,0.90,99.10,0.00,1.46,29.24,0.96,0.05,0.21,0.95,99.05,0.00,1.92,38.37,0.70,0.02,0.77,2.43,97.57,0.00,1.40,28.10,0.91,0.01,0.25,1.13,98.87,0.00,1.82,36.48,0.90,0.01,0.25,1.14,98.86,0.00,1.80,36.04,0.97,0.01,0.36,1.34,98.66,0.00,1.94,38.76,0.72,0.01,0.91,2.91,97.09,0.00,1.45,28.93
2025-07-11,15:56:27.630,1.42,98.58,0.00,1.42,98.58,0.00,0.91,0.02,0.10,0.48,99.52,0.00,1.83,36.57,0.96,0.05,0.21,0.95,99.05,0.00,1.93,38.59,0.86,0.04,0.21,0.92,99.08,0.00,1.72,34.43,0.68,0.02,0.84,2.44,97.56,0.00,1.35,27.09,0.92,0.01,0.26,1.16,98.84,0.00,1.84,36.78,0.90,0.01,0.28,1.19,98.81,0.00,1.81,36.11,0.96,0.01,0.36,1.31,98.69,0.00,1.93,38.52,0.73,0.02,0.91,2.92,97.08,0.00,1.46,29.11
2025-07-11,15:56:32.631,1.43,98.57,0.00,1.43,98.57,0.00,0.78,0.04,0.11,0.48,99.52,0.00,1.57,31.32,1.09,0.05,0.21,1.00,99.00,0.00,2.17,43.42,0.82,0.05,0.22,0.94,99.06,0.00,1.64,32.86,0.68,0.01,0.80,2.46,97.54,0.00,1.36,27.26,0.93,0.01,0.26,1.19,98.81,0.00,1.86,37.11,0.89,0.01,0.25,1.13,98.87,0.00,1.79,35.78,0.96,0.01,0.36,1.33,98.67,0.00,1.92,38.41,0.72,0.01,0.90,2.94,97.06,0.00,1.45,28.96
