System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-11,22:49:47.751,0.92,0.25,8.10,1.55,0.40,1.83,36.65,2.65,89.46,0.00,98.30,0.06
2025-07-11,22:49:52.751,0.93,0.29,9.91,1.69,0.45,1.86,37.12,3.11,96.89,0.00,100.00,0.00
2025-07-11,22:49:57.751,0.92,0.29,10.10,1.70,0.46,1.85,36.93,3.11,96.89,0.00,100.00,0.00
2025-07-11,22:50:02.752,0.93,0.27,10.03,1.67,0.46,1.85,37.09,3.12,96.88,0.00,100.00,0.00
2025-07-11,22:50:07.752,0.94,0.29,9.67,1.86,0.55,1.88,37.68,3.15,96.85,0.00,100.00,0.00
2025-07-11,22:50:12.753,0.95,0.31,9.64,1.86,0.57,1.90,38.08,3.13,96.87,0.00,100.00,0.00
2025-07-11,22:50:17.753,0.94,0.29,10.19,1.82,0.57,1.89,37.78,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:50:22.753,0.94,0.32,9.91,2.04,0.59,1.89,37.71,3.19,96.81,0.00,100.00,0.00
2025-07-11,22:50:27.753,0.95,0.28,9.38,1.87,0.58,1.90,38.03,3.12,96.88,0.00,100.00,0.00
2025-07-11,22:50:32.753,0.95,0.29,9.64,1.86,0.57,1.91,38.18,3.12,96.88,0.00,100.00,0.00
2025-07-11,22:50:37.753,0.94,0.30,10.04,1.87,0.58,1.89,37.78,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:50:42.753,0.96,0.27,9.44,1.72,0.56,1.92,38.48,3.14,96.86,0.00,100.00,0.00
2025-07-11,22:50:47.753,0.95,0.30,10.04,1.90,0.58,1.90,37.94,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:50:52.753,0.94,0.37,10.29,2.29,0.61,1.89,37.70,3.26,96.74,0.00,100.00,0.00
2025-07-11,22:50:57.753,0.94,0.30,10.04,1.87,0.57,1.89,37.71,3.17,96.83,0.00,100.00,0.00
2025-07-11,22:51:02.753,0.95,0.30,10.12,1.87,0.58,1.89,37.84,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:51:07.753,0.94,0.30,10.29,1.89,0.58,1.89,37.78,3.17,96.83,0.00,100.00,0.00
2025-07-11,22:51:12.753,0.94,0.30,9.86,1.90,0.58,1.88,37.57,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:51:17.753,0.94,0.30,10.37,1.93,0.58,1.89,37.80,3.21,96.79,0.00,100.00,0.00
2025-07-11,22:51:22.753,0.98,0.35,10.49,1.99,0.60,1.96,39.17,3.30,96.70,0.00,100.00,0.00
2025-07-11,22:51:27.754,0.95,0.30,9.77,1.82,0.57,1.89,37.86,3.13,96.87,0.00,100.00,0.00
2025-07-11,22:51:32.754,0.95,0.30,9.70,1.93,0.58,1.91,38.12,3.14,96.86,0.00,100.00,0.00
2025-07-11,22:51:37.754,0.95,0.31,9.55,1.86,0.57,1.90,37.96,3.17,96.83,0.00,100.00,0.00
2025-07-11,22:51:42.754,1.02,0.35,10.26,2.12,0.61,2.03,40.65,3.30,96.70,0.00,100.00,0.00
2025-07-11,22:51:47.755,0.95,0.27,9.76,1.74,0.56,1.90,38.08,3.12,96.88,0.00,100.00,0.00
2025-07-11,22:51:52.755,0.96,0.30,9.94,2.01,0.59,1.91,38.22,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:51:57.756,0.94,0.33,10.09,1.92,0.58,1.88,37.55,3.19,96.81,0.00,100.00,0.00
2025-07-11,22:52:02.755,0.94,0.29,10.07,1.86,0.58,1.88,37.52,3.21,96.79,0.00,100.00,0.00
2025-07-11,22:52:07.755,0.94,0.31,10.06,1.83,0.57,1.88,37.68,3.20,96.80,0.00,100.00,0.00
2025-07-11,22:52:12.756,0.94,0.32,10.07,1.98,0.59,1.87,37.47,3.18,96.82,0.00,100.00,0.00
2025-07-11,22:52:17.755,0.96,0.28,9.37,1.83,0.57,1.92,38.33,3.10,96.90,0.00,100.00,0.00
2025-07-11,22:52:22.755,0.97,0.32,10.20,1.87,0.58,1.95,38.96,3.28,96.72,0.00,100.00,0.00
2025-07-11,22:52:27.756,0.94,0.30,9.66,1.94,0.58,1.89,37.79,3.14,96.86,0.00,100.00,0.00
2025-07-11,22:52:32.755,0.98,0.31,9.85,1.96,0.59,1.96,39.25,3.21,96.79,0.00,100.00,0.00
2025-07-11,22:52:37.755,0.95,0.28,9.19,1.75,0.56,1.90,37.95,3.08,96.92,0.00,100.00,0.00
2025-07-11,22:52:42.756,0.98,0.31,9.69,1.86,0.58,1.95,39.02,3.21,96.79,0.00,100.00,0.00
2025-07-11,22:52:47.756,2.22,0.29,3.69,2.87,1.38,4.44,88.89,3.61,81.66,0.00,100.00,0.00
