System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-01,00:18:42.906,1.72,90.52,0.00,1.72,90.52,0.00,0.91,0.02,0.08,0.27,93.07,0.00,1.81,36.28,0.59,0.03,0.14,0.45,92.93,0.00,1.18,23.70,0.74,0.02,0.08,0.24,92.27,0.00,1.48,29.68,0.68,0.02,1.16,2.88,86.86,0.00,1.35,27.09,0.99,0.02,1.06,2.70,90.63,0.00,1.98,39.67,0.97,0.02,1.03,2.70,90.68,0.00,1.94,38.87,1.28,0.03,1.02,2.93,89.58,0.00,2.56,51.15,0.82,0.01,0.60,1.58,88.17,0.00,1.65,32.95
2025-07-01,00:18:47.907,2.02,97.98,0.00,2.02,97.98,0.00,0.95,0.02,0.08,0.24,99.76,0.00,1.91,38.11,0.82,0.04,0.16,0.48,99.52,0.00,1.65,32.90,0.68,0.02,0.08,0.24,99.76,0.00,1.35,27.08,0.68,0.02,1.43,3.42,96.58,0.00,1.36,27.12,0.99,0.02,1.32,3.24,96.76,0.00,1.98,39.61,0.99,0.02,1.30,3.20,96.80,0.00,1.98,39.58,1.28,0.04,1.26,3.51,96.49,0.00,2.55,51.07,0.81,0.02,0.72,1.80,98.20,0.00,1.62,32.32
2025-07-01,00:18:52.907,1.97,98.03,0.00,1.97,98.03,0.00,0.61,0.02,0.08,0.20,99.80,0.00,1.22,24.34,0.63,0.03,0.15,0.43,99.57,0.00,1.25,25.03,0.64,0.02,0.07,0.22,99.78,0.00,1.27,25.44,0.69,0.02,1.31,3.30,96.70,0.00,1.38,27.60,1.02,0.02,1.19,3.14,96.86,0.00,2.05,40.91,1.04,0.02,1.19,3.22,96.78,0.00,2.09,41.79,1.28,0.04,1.20,3.45,96.55,0.00,2.57,51.40,0.82,0.02,0.70,1.79,98.21,0.00,1.65,32.95
2025-07-01,00:18:57.906,1.93,98.07,0.00,1.93,98.07,0.00,0.77,0.02,0.09,0.27,99.73,0.00,1.55,30.93,0.89,0.04,0.17,0.51,99.49,0.00,1.78,35.58,0.70,0.02,0.07,0.23,99.77,0.00,1.40,27.98,0.70,0.02,1.25,3.23,96.77,0.00,1.40,27.93,1.01,0.02,1.13,3.01,96.99,0.00,2.02,40.49,1.02,0.02,1.17,3.16,96.84,0.00,2.04,40.76,1.28,0.04,1.18,3.38,96.62,0.00,2.57,51.38,0.81,0.01,0.65,1.67,98.33,0.00,1.63,32.51
2025-07-01,00:19:02.907,2.03,97.97,0.00,2.03,97.97,0.00,0.74,0.02,0.08,0.24,99.76,0.00,1.49,29.70,0.87,0.02,0.13,0.40,99.60,0.00,1.75,34.92,0.49,0.02,0.08,0.21,99.79,0.00,0.98,19.56,0.68,0.02,1.38,3.45,96.55,0.00,1.36,27.27,1.01,0.02,1.27,3.26,96.74,0.00,2.02,40.40,1.00,0.02,1.20,3.16,96.84,0.00,2.00,39.95,1.29,0.04,1.28,3.62,96.38,0.00,2.58,51.68,0.82,0.02,0.75,1.89,98.11,0.00,1.65,32.96
2025-07-01,00:19:07.906,2.05,97.95,0.00,2.05,97.95,0.00,0.72,0.03,0.09,0.26,99.74,0.00,1.44,28.80,0.85,0.04,0.15,0.46,99.54,0.00,1.71,34.17,0.71,0.02,0.08,0.24,99.76,0.00,1.42,28.36,0.68,0.02,1.36,3.44,96.56,0.00,1.36,27.30,1.02,0.02,1.20,3.24,96.76,0.00,2.05,40.95,1.02,0.02,1.20,3.17,96.83,0.00,2.04,40.73,1.33,0.05,1.29,3.71,96.29,0.00,2.67,53.38,0.86,0.02,0.73,1.88,98.12,0.00,1.72,34.34
2025-07-01,00:19:12.907,2.10,97.90,0.00,2.10,97.90,0.00,0.59,0.02,0.08,0.22,99.78,0.00,1.18,23.57,0.78,0.04,0.17,0.49,99.51,0.00,1.56,31.11,0.72,0.03,0.10,0.26,99.74,0.00,1.44,28.77,0.70,0.03,1.40,3.52,96.48,0.00,1.41,28.10,1.03,0.03,1.24,3.35,96.65,0.00,2.07,41.34,1.03,0.03,1.22,3.26,96.74,0.00,2.06,41.11,1.35,0.05,1.31,3.74,96.26,0.00,2.70,54.03,0.88,0.02,0.75,1.96,98.04,0.00,1.77,35.37
2025-07-01,00:19:17.907,2.04,97.96,0.00,2.04,97.96,0.00,0.79,0.02,0.09,0.25,99.75,0.00,1.58,31.59,0.68,0.04,0.16,0.43,99.57,0.00,1.37,27.31,0.52,0.02,0.08,0.22,99.78,0.00,1.04,20.84,0.69,0.03,1.33,3.41,96.59,0.00,1.38,27.66,1.03,0.02,1.14,3.19,96.81,0.00,2.06,41.28,1.03,0.03,1.14,3.21,96.79,0.00,2.06,41.28,1.36,0.05,1.28,3.68,96.32,0.00,2.72,54.32,0.89,0.02,0.74,1.94,98.06,0.00,1.79,35.73
2025-07-01,00:19:22.907,2.05,97.95,0.00,2.05,97.95,0.00,0.65,0.02,0.08,0.22,99.78,0.00,1.30,26.00,0.82,0.03,0.14,0.43,99.57,0.00,1.64,32.70,0.83,0.02,0.07,0.22,99.78,0.00,1.67,33.39,0.68,0.02,1.37,3.42,96.58,0.00,1.36,27.16,1.02,0.02,1.19,3.25,96.75,0.00,2.03,40.62,1.02,0.02,1.17,3.19,96.81,0.00,2.04,40.88,1.35,0.05,1.30,3.73,96.27,0.00,2.70,54.00,0.86,0.02,0.73,1.90,98.10,0.00,1.72,34.46
2025-07-01,00:19:27.907,2.09,97.91,0.00,2.09,97.91,0.00,0.64,0.02,0.08,0.25,99.75,0.00,1.28,25.51,0.94,0.06,0.20,0.63,99.37,0.00,1.87,37.43,0.83,0.02,0.09,0.28,99.72,0.00,1.66,33.25,0.68,0.02,1.33,3.42,96.58,0.00,1.37,27.31,1.01,0.02,1.18,3.22,96.78,0.00,2.02,40.48,0.98,0.02,1.16,3.22,96.78,0.00,1.97,39.38,1.34,0.05,1.29,3.70,96.30,0.00,2.68,53.54,0.88,0.02,0.75,1.96,98.04,0.00,1.77,35.33
2025-07-01,00:19:32.908,2.03,97.97,0.00,2.03,97.97,0.00,0.74,0.02,0.07,0.21,99.79,0.00,1.48,29.51,0.67,0.02,0.13,0.39,99.61,0.00,1.35,26.92,0.81,0.02,0.07,0.22,99.78,0.00,1.63,32.52,0.69,0.02,1.39,3.42,96.58,0.00,1.38,27.56,1.02,0.03,1.24,3.23,96.77,0.00,2.04,40.71,1.01,0.02,1.24,3.26,96.74,0.00,2.03,40.57,1.33,0.05,1.27,3.64,96.36,0.00,2.66,53.27,0.89,0.02,0.73,1.90,98.10,0.00,1.78,35.51
2025-07-01,00:19:37.908,2.10,97.90,0.00,2.10,97.90,0.00,0.65,0.02,0.09,0.24,99.76,0.00,1.31,26.20,0.77,0.05,0.17,0.52,99.48,0.00,1.55,30.98,0.82,0.02,0.08,0.25,99.75,0.00,1.64,32.84,0.70,0.02,1.36,3.47,96.53,0.00,1.39,27.82,1.19,0.02,1.21,3.39,96.61,0.00,2.39,47.71,1.01,0.02,1.25,3.31,96.69,0.00,2.02,40.46,1.34,0.05,1.29,3.72,96.28,0.00,2.67,53.47,0.87,0.02,0.73,1.92,98.08,0.00,1.73,34.67
2025-07-01,00:19:42.908,2.14,97.86,0.00,2.14,97.86,0.00,0.78,0.02,0.09,0.27,99.73,0.00,1.57,31.37,1.04,0.06,0.19,0.63,99.37,0.00,2.08,41.70,0.85,0.02,0.09,0.28,99.72,0.00,1.70,33.91,0.68,0.02,1.41,3.51,96.49,0.00,1.36,27.19,1.06,0.03,1.27,3.38,96.62,0.00,2.11,42.26,1.13,0.02,1.24,3.30,96.70,0.00,2.25,45.01,1.33,0.05,1.31,3.74,96.26,0.00,2.66,53.11,0.87,0.02,0.78,1.99,98.01,0.00,1.74,34.76
2025-07-01,00:19:47.908,2.07,97.93,0.00,2.07,97.93,0.00,0.93,0.02,0.07,0.21,99.79,0.00,1.87,37.32,0.77,0.03,0.14,0.44,99.56,0.00,1.54,30.85,0.63,0.02,0.07,0.21,99.79,0.00,1.25,25.07,0.68,0.02,1.40,3.43,96.57,0.00,1.35,27.02,1.01,0.02,1.25,3.30,96.70,0.00,2.03,40.53,0.97,0.02,1.29,3.44,96.56,0.00,1.95,38.90,1.33,0.05,1.29,3.66,96.34,0.00,2.66,53.20,0.87,0.02,0.74,1.88,98.12,0.00,1.74,34.86
2025-07-01,00:19:52.907,2.06,97.94,0.00,2.06,97.94,0.00,0.94,0.02,0.08,0.22,99.78,0.00,1.87,37.49,0.59,0.03,0.15,0.42,99.58,0.00,1.18,23.65,0.91,0.01,0.07,0.21,99.79,0.00,1.83,36.53,0.69,0.02,1.39,3.47,96.53,0.00,1.37,27.40,1.03,0.03,1.26,3.31,96.69,0.00,2.05,41.03,1.01,0.02,1.24,3.32,96.68,0.00,2.02,40.47,1.34,0.05,1.28,3.67,96.33,0.00,2.69,53.77,0.87,0.02,0.74,1.91,98.09,0.00,1.74,34.89
2025-07-01,00:19:57.908,2.05,97.95,0.00,2.05,97.95,0.00,0.94,0.02,0.07,0.22,99.78,0.00,1.88,37.57,0.83,0.04,0.17,0.52,99.48,0.00,1.65,33.05,0.71,0.02,0.08,0.23,99.77,0.00,1.42,28.49,0.69,0.02,1.34,3.42,96.58,0.00,1.37,27.48,1.02,0.02,1.18,3.19,96.81,0.00,2.04,40.89,1.02,0.02,1.22,3.24,96.76,0.00,2.03,40.68,1.34,0.05,1.28,3.65,96.35,0.00,2.68,53.56,0.87,0.02,0.75,1.91,98.09,0.00,1.74,34.75
