System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-01,01:45:10.003,0.87,0.17,2.58,1.56,0.31,1.75,34.91,0.90,92.09,0.00,98.63,0.08
2025-07-01,01:45:15.003,0.85,0.12,2.83,1.40,0.31,1.70,34.08,0.98,99.02,0.00,100.00,0.00
2025-07-01,01:45:20.004,0.90,0.16,2.87,1.59,0.33,1.81,36.16,1.00,99.00,0.00,100.00,0.00
2025-07-01,01:45:25.004,0.91,0.15,2.92,1.42,0.31,1.82,36.45,1.00,99.00,0.00,100.00,0.00
2025-07-01,01:45:30.004,0.89,0.20,3.13,1.88,0.40,1.78,35.67,1.04,98.96,0.00,100.00,0.00
2025-07-01,01:45:35.005,0.90,0.15,3.11,1.52,0.32,1.81,36.19,1.02,98.98,0.00,100.00,0.00
2025-07-01,01:45:40.005,0.88,0.15,3.01,1.71,0.35,1.76,35.14,1.01,98.99,0.00,100.00,0.00
2025-07-01,01:45:45.005,0.90,0.14,3.00,1.47,0.32,1.80,35.93,0.99,99.01,0.00,100.00,0.00
2025-07-01,01:45:50.005,0.86,0.13,2.75,1.62,0.34,1.72,34.50,0.95,99.05,0.00,100.00,0.00
2025-07-01,01:45:55.005,0.88,0.14,3.05,1.45,0.32,1.76,35.22,1.00,99.00,0.00,100.00,0.00
2025-07-01,01:46:00.005,0.88,0.19,2.97,1.55,0.33,1.75,35.01,1.02,98.98,0.00,100.00,0.00
2025-07-01,01:46:05.005,0.89,0.10,2.68,1.24,0.28,1.77,35.41,0.94,99.06,0.00,100.00,0.00
2025-07-01,01:46:10.006,0.86,0.13,3.01,1.55,0.32,1.71,34.26,1.00,99.00,0.00,100.00,0.00
2025-07-01,01:46:15.006,0.88,0.12,2.79,1.26,0.28,1.77,35.37,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:46:20.006,0.86,0.15,2.84,1.33,0.29,1.73,34.54,0.98,99.02,0.00,100.00,0.00
2025-07-01,01:46:25.006,0.89,0.10,2.69,1.20,0.27,1.79,35.78,0.94,99.06,0.00,100.00,0.00
2025-07-01,01:46:30.006,0.88,0.13,2.93,1.39,0.30,1.75,35.10,0.97,99.03,0.00,100.00,0.00
2025-07-01,01:46:35.006,0.85,0.11,2.84,1.24,0.28,1.70,34.09,0.97,99.03,0.00,100.00,0.00
2025-07-01,01:46:40.006,0.87,0.12,2.86,1.41,0.30,1.74,34.71,0.97,99.03,0.00,100.00,0.00
2025-07-01,01:46:45.007,0.88,0.11,2.68,1.30,0.29,1.76,35.23,0.94,99.06,0.00,100.00,0.00
2025-07-01,01:46:50.007,0.88,0.12,2.91,1.38,0.30,1.76,35.20,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:46:55.007,0.85,0.11,2.99,1.36,0.30,1.70,33.95,0.98,99.02,0.00,100.00,0.00
2025-07-01,01:47:00.008,0.89,0.14,2.77,1.53,0.30,1.79,35.77,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:47:05.008,0.88,0.10,2.81,1.27,0.28,1.76,35.20,0.95,99.05,0.00,100.00,0.00
2025-07-01,01:47:10.009,0.88,0.12,2.70,1.32,0.29,1.76,35.25,0.95,99.05,0.00,100.00,0.00
2025-07-01,01:47:15.008,0.87,0.10,2.73,1.31,0.29,1.73,34.63,0.93,99.07,0.00,100.00,0.00
2025-07-01,01:47:20.008,0.86,0.13,2.89,1.38,0.30,1.72,34.47,1.00,99.00,0.00,100.00,0.00
2025-07-01,01:47:25.009,0.87,0.11,2.88,1.32,0.29,1.73,34.65,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:47:30.008,0.88,0.11,2.78,1.36,0.29,1.77,35.37,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:47:35.008,0.87,0.11,2.83,1.28,0.29,1.74,34.77,0.95,99.05,0.00,100.00,0.00
2025-07-01,01:47:40.009,0.87,0.13,2.96,1.41,0.31,1.75,34.99,1.00,99.00,0.00,100.00,0.00
2025-07-01,01:47:45.009,0.89,0.12,2.86,1.39,0.31,1.78,35.56,0.97,99.03,0.00,100.00,0.00
2025-07-01,01:47:50.010,0.89,0.13,2.66,1.41,0.34,1.78,35.62,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:47:55.009,0.88,0.11,2.72,1.33,0.32,1.76,35.11,0.94,99.06,0.00,100.00,0.00
2025-07-01,01:48:00.009,0.88,0.12,2.88,1.39,0.33,1.75,35.08,0.96,99.04,0.00,100.00,0.00
2025-07-01,01:48:05.010,0.87,0.11,2.63,1.30,0.32,1.75,34.94,0.95,99.05,0.00,100.00,0.00
2025-07-01,01:48:10.009,2.03,0.19,1.32,2.50,0.99,4.05,81.09,1.08,77.69,0.00,97.97,0.08
