System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-01,03:33:48.354,1.46,78.57,0.00,1.46,78.57,0.00,0.35,0.03,0.08,0.34,82.34,0.00,0.70,14.05,0.40,0.03,0.08,0.34,77.14,0.00,0.80,16.02,0.49,0.03,0.07,0.37,76.10,0.00,0.97,19.46,3.42,0.01,0.13,3.66,79.85,0.00,6.85,136.98,2.75,0.03,0.20,5.13,77.55,0.00,5.50,110.10,3.40,0.02,0.08,1.25,76.22,0.00,6.80,135.97,0.38,0.02,0.06,0.30,76.17,0.00,0.77,15.33,0.32,0.02,0.09,0.29,83.22,0.00,0.63,12.67
2025-07-01,03:33:53.355,1.20,81.19,0.00,1.20,81.19,0.00,0.53,0.03,0.07,0.35,78.35,0.00,1.06,21.26,0.40,0.03,0.11,0.36,86.90,0.00,0.79,15.86,0.41,0.02,0.06,0.29,77.55,0.00,0.82,16.42,2.76,0.01,0.12,3.61,82.16,0.00,5.52,110.43,0.32,0.06,0.15,0.75,77.96,0.00,0.63,12.64,3.76,0.01,0.12,3.58,83.68,0.00,7.52,150.44,0.50,0.02,0.07,0.34,77.49,0.00,1.00,19.99,0.33,0.02,0.11,0.35,85.42,0.00,0.65,13.03
2025-07-01,03:33:58.355,1.20,81.68,0.00,1.20,81.68,0.00,0.65,0.02,0.07,0.35,76.73,0.00,1.30,26.02,0.59,0.04,0.12,0.37,88.57,0.00,1.19,23.73,0.56,0.03,0.07,0.34,78.75,0.00,1.13,22.54,2.77,0.01,0.12,3.61,82.79,0.00,5.54,110.70,0.35,0.05,0.14,0.69,76.39,0.00,0.71,14.19,3.79,0.01,0.12,3.58,85.35,0.00,7.59,151.70,0.41,0.02,0.06,0.34,78.75,0.00,0.81,16.27,0.31,0.03,0.10,0.34,86.06,0.00,0.61,12.22
2025-07-01,03:34:03.356,1.19,81.16,0.00,1.19,81.16,0.00,0.52,0.02,0.05,0.30,76.76,0.00,1.04,20.72,0.34,0.03,0.10,0.30,88.52,0.00,0.68,13.58,0.60,0.02,0.05,0.28,77.79,0.00,1.19,23.82,2.77,0.01,0.12,3.62,81.85,0.00,5.54,110.78,0.32,0.05,0.15,0.73,76.32,0.00,0.64,12.70,3.72,0.01,0.13,3.61,85.20,0.00,7.45,148.94,0.41,0.02,0.07,0.33,77.74,0.00,0.82,16.31,0.32,0.03,0.11,0.36,85.11,0.00,0.64,12.81
2025-07-01,03:34:08.355,1.19,80.48,0.00,1.19,80.48,0.00,0.47,0.02,0.06,0.33,76.50,0.00,0.94,18.79,0.37,0.03,0.10,0.31,86.60,0.00,0.74,14.81,0.41,0.02,0.07,0.33,76.67,0.00,0.83,16.52,2.76,0.01,0.13,3.63,82.31,0.00,5.53,110.57,0.33,0.05,0.14,0.66,76.17,0.00,0.66,13.10,3.75,0.01,0.13,3.60,83.31,0.00,7.51,150.20,0.41,0.02,0.06,0.32,76.68,0.00,0.81,16.21,0.31,0.03,0.11,0.36,85.58,0.00,0.62,12.34
2025-07-01,03:34:13.356,1.31,80.55,0.00,1.31,80.55,0.00,0.41,0.03,0.07,0.30,78.80,0.00,0.83,16.55,0.55,0.02,0.08,0.30,83.81,0.00,1.10,22.07,0.53,0.02,0.06,0.30,77.01,0.00,1.07,21.36,3.03,0.01,0.13,3.69,83.22,0.00,6.06,121.24,2.33,0.05,0.18,2.53,76.57,0.00,4.66,93.30,3.58,0.02,0.12,2.68,81.43,0.00,7.16,143.25,0.37,0.02,0.06,0.31,76.99,0.00,0.74,14.89,0.34,0.02,0.10,0.34,86.56,0.00,0.69,13.78
2025-07-01,03:34:18.355,1.28,80.53,0.00,1.28,80.53,0.00,0.65,0.02,0.06,0.31,79.90,0.00,1.30,26.10,0.40,0.02,0.07,0.28,83.92,0.00,0.80,16.02,0.46,0.02,0.06,0.26,76.78,0.00,0.93,18.55,3.73,0.01,0.14,3.58,82.22,0.00,7.46,149.20,2.32,0.05,0.18,2.45,77.76,0.00,4.64,92.72,2.78,0.02,0.10,2.68,81.51,0.00,5.55,111.03,0.39,0.02,0.07,0.32,76.72,0.00,0.78,15.67,0.32,0.03,0.12,0.35,85.45,0.00,0.63,12.68
2025-07-01,03:34:23.356,1.29,80.68,0.00,1.29,80.68,0.00,0.38,0.02,0.07,0.30,78.61,0.00,0.76,15.22,0.33,0.02,0.07,0.29,84.10,0.00,0.66,13.29,0.41,0.02,0.06,0.33,78.74,0.00,0.82,16.36,3.71,0.02,0.14,3.62,81.88,0.00,7.43,148.52,2.35,0.05,0.17,2.28,76.63,0.00,4.69,93.80,2.72,0.02,0.11,2.78,81.61,0.00,5.43,108.66,0.43,0.02,0.07,0.33,78.73,0.00,0.87,17.38,0.30,0.03,0.12,0.37,85.13,0.00,0.60,11.99
2025-07-01,03:34:28.355,1.60,79.61,0.00,1.60,79.61,0.00,0.32,0.02,0.08,0.31,85.54,0.00,0.64,12.89,0.52,0.02,0.06,0.34,75.91,0.00,1.04,20.85,0.50,0.03,0.07,0.36,77.24,0.00,1.00,19.94,3.72,0.01,0.14,3.61,81.51,0.00,7.45,148.95,2.81,0.02,0.23,7.19,78.66,0.00,5.62,112.46,0.32,0.02,0.06,0.28,75.98,0.00,0.65,12.97,0.41,0.02,0.07,0.34,77.26,0.00,0.83,16.58,0.33,0.03,0.12,0.34,84.79,0.00,0.66,13.18
2025-07-01,03:34:33.356,1.60,79.63,0.00,1.60,79.63,0.00,0.31,0.02,0.08,0.30,85.27,0.00,0.62,12.42,0.50,0.02,0.07,0.32,76.17,0.00,1.01,20.19,0.64,0.03,0.07,0.35,76.95,0.00,1.29,25.77,3.74,0.01,0.13,3.59,81.99,0.00,7.47,149.42,2.81,0.03,0.24,7.25,78.32,0.00,5.63,112.60,0.32,0.02,0.08,0.35,76.14,0.00,0.64,12.88,0.39,0.02,0.07,0.34,76.96,0.00,0.78,15.51,0.34,0.03,0.12,0.33,85.25,0.00,0.67,13.48
