Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario51_100rps,1,1_CPU_1_L3,51,100,100.00549104649936,0.304,0.281,0.0,0.423,0.487,0.612,4.427,0
1replicas_scenario52_100rps,1,1_CPU_1_MemBW,52,100,100.00508534692771,0.283,0.277,0.0,0.396,0.46,0.577,3.166,0
1replicas_scenario53_100rps,1,2_CPU_2_L3,53,100,100.00526085675159,0.457,0.342,0.0,0.757,0.825,1.745,6.748,0
1replicas_scenario54_100rps,1,1_CPU_1_L3_1_MemBW,54,100,100.00494687803726,0.328,0.273,0.0,0.355,0.466,1.795,4.721,0
1replicas_scenario55_100rps,1,3_CPU_1_L3,55,100,100.00526478660963,0.346,0.273,0.0,0.449,0.635,2.074,4.998,0
1replicas_scenario56_100rps,1,2_L3_2_MemBW,56,100,100.00537337871647,0.577,0.505,0.0,0.791,0.988,2.695,5.352,0
1replicas_scenario57_100rps,1,1_CPU_2_L3,57,100,100.00509842714857,0.478,0.34,0.0,0.738,0.808,3.985,6.121,0
1replicas_scenario58_100rps,1,2_CPU_2_L3_2_MemBW,58,100,100.0052655522458,0.72,0.497,0.0,1.073,2.462,4.39,10.738,0
1replicas_scenario51_500rps,1,1_CPU_1_L3,51,500,500.00314496422595,0.129,0.113,0.0,0.155,0.177,0.301,3.959,0
1replicas_scenario52_500rps,1,1_CPU_1_MemBW,52,500,500.00542763391775,0.148,0.095,0.0,0.156,0.187,2.128,6.638,0
1replicas_scenario53_500rps,1,2_CPU_2_L3,53,500,500.0036943022955,0.254,0.148,0.0,0.382,0.534,2.425,6.703,0
1replicas_scenario54_500rps,1,1_CPU_1_L3_1_MemBW,54,500,500.0039505673248,0.19,0.125,0.0,0.187,0.239,2.47,6.549,0
1replicas_scenario55_500rps,1,3_CPU_1_L3,55,500,500.00298228723244,0.213,0.123,0.0,0.186,0.348,2.925,9.811,0
1replicas_scenario56_500rps,1,2_L3_2_MemBW,56,500,500.00487753369134,0.276,0.223,0.0,0.42,0.521,1.588,5.785,0
1replicas_scenario57_500rps,1,1_CPU_2_L3,57,500,500.0022718103222,0.279,0.179,0.0,0.504,0.578,1.682,8.218,0
1replicas_scenario58_500rps,1,2_CPU_2_L3_2_MemBW,58,500,500.00292393098755,0.446,0.261,0.0,0.785,1.486,3.185,8.632,0
1replicas_scenario51_1000rps,1,1_CPU_1_L3,51,1000,1000.0053046114722,0.124,0.105,0.0,0.15,0.168,0.33,4.882,0
1replicas_scenario52_1000rps,1,1_CPU_1_MemBW,52,1000,1000.0012958405681,0.103,0.089,0.0,0.114,0.126,0.202,4.367,0
1replicas_scenario53_1000rps,1,2_CPU_2_L3,53,1000,1000.0048230288171,0.208,0.134,0.0,0.238,0.41,2.337,7.793,0
1replicas_scenario54_1000rps,1,1_CPU_1_L3_1_MemBW,54,1000,1000.0012227903841,0.131,0.11,0.0,0.159,0.195,0.393,7.21,0
1replicas_scenario55_1000rps,1,3_CPU_1_L3,55,1000,1000.00059525591,0.233,0.124,0.0,0.228,0.864,2.916,8.116,0
1replicas_scenario56_1000rps,1,2_L3_2_MemBW,56,1000,999.9999167333402,0.377,0.21,0.0,0.763,1.201,2.674,7.381,0
1replicas_scenario57_1000rps,1,1_CPU_2_L3,57,1000,1000.0037451084702,0.213,0.135,0.0,0.406,0.492,1.364,7.309,0
1replicas_scenario58_1000rps,1,2_CPU_2_L3_2_MemBW,58,1000,1000.0012746460692,0.354,0.201,0.0,0.569,1.309,2.973,9.217,0
1replicas_scenario51_1500rps,1,1_CPU_1_L3,51,1500,1500.0054536114944,0.137,0.104,0.0,0.156,0.19,1.216,7.135,0
1replicas_scenario52_1500rps,1,1_CPU_1_MemBW,52,1500,1500.0037335592929,0.107,0.088,0.0,0.119,0.139,0.587,4.781,0
1replicas_scenario53_1500rps,1,2_CPU_2_L3,53,1500,1500.0027534050541,0.309,0.176,0.0,0.522,0.823,2.688,8.781,0
1replicas_scenario54_1500rps,1,1_CPU_1_L3_1_MemBW,54,1500,1500.0039454187108,0.14,0.109,0.0,0.166,0.207,1.229,7.212,0
1replicas_scenario55_1500rps,1,3_CPU_1_L3,55,1500,1500.005061637222,0.171,0.106,0.0,0.181,0.288,2.104,10.5,0
1replicas_scenario56_1500rps,1,2_L3_2_MemBW,56,1500,1500.0044959357128,0.235,0.165,0.0,0.421,0.533,1.406,5.624,0
1replicas_scenario57_1500rps,1,1_CPU_2_L3,57,1500,1500.0007502837086,0.207,0.128,0.0,0.419,0.493,0.807,4.106,0
1replicas_scenario58_1500rps,1,2_CPU_2_L3_2_MemBW,58,1500,1500.0020103629179,0.363,0.209,0.0,0.609,1.317,2.968,10.577,0
1replicas_scenario51_2000rps,1,1_CPU_1_L3,51,2000,2000.0038369180193,0.15,0.12,0.0,0.207,0.248,0.776,8.117,0
1replicas_scenario52_2000rps,1,1_CPU_1_MemBW,52,2000,2000.0012894266354,0.104,0.089,0.0,0.12,0.135,0.254,3.977,0
1replicas_scenario53_2000rps,1,2_CPU_2_L3,53,2000,1999.993839601863,0.247,0.139,0.0,0.441,0.661,2.159,8.359,0
1replicas_scenario54_2000rps,1,1_CPU_1_L3_1_MemBW,54,2000,2000.0026874888545,0.141,0.108,0.0,0.167,0.222,1.185,4.203,0
1replicas_scenario55_2000rps,1,3_CPU_1_L3,55,2000,1999.997656762903,0.217,0.123,0.0,0.279,0.495,2.541,7.863,0
1replicas_scenario56_2000rps,1,2_L3_2_MemBW,56,2000,2000.0036073953954,0.247,0.163,0.0,0.458,0.587,1.241,5.947,0
1replicas_scenario57_2000rps,1,1_CPU_2_L3,57,2000,2000.0025112142641,0.263,0.17,0.0,0.465,0.613,1.799,8.692,0
1replicas_scenario58_2000rps,1,2_CPU_2_L3_2_MemBW,58,2000,2000.0096840357787,0.414,0.217,0.0,0.827,1.597,3.269,11.969,0
1replicas_scenario51_2500rps,1,1_CPU_1_L3,51,2500,2500.0035060960417,0.13,0.11,0.0,0.158,0.184,0.497,4.163,0
1replicas_scenario52_2500rps,1,1_CPU_1_MemBW,52,2500,2500.0027070010733,0.127,0.094,0.0,0.165,0.211,0.969,5.353,0
1replicas_scenario53_2500rps,1,2_CPU_2_L3,53,2500,2499.9984112926763,0.351,0.22,0.0,0.635,0.948,2.552,11.267,0
1replicas_scenario54_2500rps,1,1_CPU_1_L3_1_MemBW,54,2500,2500.0006442252516,0.156,0.115,0.0,0.239,0.31,0.904,4.72,0
1replicas_scenario55_2500rps,1,3_CPU_1_L3,55,2500,2499.9994672199678,0.259,0.149,0.0,0.347,0.737,2.814,9.723,0
1replicas_scenario56_2500rps,1,2_L3_2_MemBW,56,2500,2499.999889625005,0.437,0.275,0.0,0.916,1.393,2.663,10.796,0
1replicas_scenario57_2500rps,1,1_CPU_2_L3,57,2500,2500.004747408454,0.203,0.134,0.0,0.413,0.518,0.929,6.122,0
1replicas_scenario58_2500rps,1,2_CPU_2_L3_2_MemBW,58,2500,2499.9987095006663,0.42,0.234,0.0,0.891,1.551,3.067,11.712,0
