System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-01,20:50:14.559,3.26,91.92,0.00,3.26,91.92,0.00,0.43,0.03,0.09,0.30,95.51,0.00,0.87,17.37,0.51,0.06,0.17,0.63,94.89,0.00,1.02,20.39,0.63,0.06,0.13,0.62,91.69,0.00,1.25,25.01,2.47,0.08,0.61,8.93,88.14,0.00,4.94,98.88,2.26,0.08,0.48,7.82,87.99,0.00,4.53,90.59,2.25,0.03,0.21,4.08,91.43,0.00,4.51,90.20,0.67,0.05,0.27,1.11,91.20,0.00,1.35,26.97,0.43,0.10,0.95,2.60,94.47,0.00,0.86,17.28
2025-07-01,20:50:19.559,3.50,96.47,0.00,3.50,96.47,0.00,0.42,0.03,0.09,0.28,99.69,0.00,0.84,16.70,0.35,0.06,0.13,0.61,99.32,0.00,0.70,13.97,0.53,0.06,0.13,0.67,99.33,0.00,1.07,21.31,2.12,0.08,0.62,8.67,91.33,0.00,4.25,84.96,2.81,0.06,0.52,9.38,90.59,0.00,5.63,112.51,1.80,0.04,0.25,3.87,96.05,0.00,3.60,72.08,0.65,0.07,0.34,1.44,98.56,0.00,1.30,25.97,0.44,0.11,1.06,3.08,96.92,0.00,0.88,17.52
2025-07-01,20:50:24.559,3.47,96.52,0.00,3.47,96.52,0.00,0.36,0.03,0.08,0.26,99.72,0.00,0.72,14.42,0.33,0.06,0.15,0.53,99.43,0.00,0.67,13.39,0.68,0.05,0.11,0.55,99.45,0.00,1.37,27.39,2.32,0.08,0.62,9.32,90.68,0.00,4.64,92.90,2.33,0.07,0.50,8.52,91.46,0.00,4.66,93.18,2.07,0.04,0.26,4.04,95.92,0.00,4.14,82.75,0.69,0.06,0.32,1.34,98.66,0.00,1.38,27.63,0.43,0.12,1.12,3.17,96.83,0.00,0.86,17.12
2025-07-01,20:50:29.559,3.53,96.46,0.00,3.53,96.46,0.00,0.43,0.03,0.09,0.29,99.68,0.00,0.85,17.07,0.41,0.07,0.15,0.67,99.30,0.00,0.83,16.58,0.50,0.06,0.13,0.64,99.36,0.00,1.00,20.05,2.18,0.09,0.64,8.68,91.32,0.00,4.35,87.08,2.61,0.07,0.54,9.35,90.62,0.00,5.23,104.51,1.86,0.04,0.26,3.82,96.16,0.00,3.72,74.41,0.69,0.07,0.35,1.45,98.55,0.00,1.38,27.66,0.44,0.12,1.13,3.30,96.70,0.00,0.87,17.41
2025-07-01,20:50:34.559,3.48,96.50,0.00,3.48,96.50,0.00,0.37,0.04,0.10,0.34,99.63,0.00,0.74,14.72,0.42,0.07,0.18,0.66,99.31,0.00,0.84,16.74,0.53,0.06,0.13,0.64,99.36,0.00,1.06,21.15,2.20,0.09,0.64,8.82,91.18,0.00,4.40,88.05,2.42,0.07,0.54,8.48,91.48,0.00,4.84,96.75,2.14,0.04,0.26,4.26,95.70,0.00,4.28,85.53,0.67,0.07,0.35,1.48,98.52,0.00,1.34,26.85,0.43,0.11,1.11,3.15,96.85,0.00,0.85,17.06
2025-07-01,20:50:39.559,3.47,96.51,0.00,3.47,96.51,0.00,0.64,0.04,0.11,0.38,99.56,0.00,1.27,25.44,0.48,0.07,0.17,0.66,99.32,0.00,0.96,19.29,0.46,0.07,0.14,0.71,99.29,0.00,0.92,18.45,2.09,0.08,0.59,8.76,91.24,0.00,4.18,83.57,2.49,0.07,0.52,8.60,91.33,0.00,4.98,99.64,2.21,0.04,0.25,4.18,95.80,0.00,4.42,88.45,0.67,0.06,0.33,1.38,98.62,0.00,1.33,26.64,0.44,0.11,1.06,3.08,96.92,0.00,0.87,17.44
2025-07-01,20:50:44.561,3.45,96.52,0.00,3.45,96.52,0.00,0.44,0.04,0.10,0.35,99.63,0.00,0.89,17.76,0.47,0.07,0.18,0.73,99.19,0.00,0.93,18.67,0.51,0.06,0.14,0.66,99.34,0.00,1.02,20.32,2.13,0.09,0.64,8.84,91.16,0.00,4.27,85.38,2.36,0.08,0.55,8.25,91.73,0.00,4.72,94.42,2.25,0.04,0.26,4.25,95.67,0.00,4.50,89.97,0.66,0.07,0.34,1.44,98.56,0.00,1.32,26.31,0.43,0.11,1.09,3.12,96.88,0.00,0.86,17.11
2025-07-01,20:50:49.560,3.47,96.51,0.00,3.47,96.51,0.00,0.37,0.03,0.10,0.27,99.72,0.00,0.75,14.90,0.39,0.07,0.16,0.68,99.23,0.00,0.77,15.42,0.55,0.05,0.13,0.62,99.38,0.00,1.10,21.93,2.29,0.10,0.67,8.83,91.17,0.00,4.58,91.58,2.59,0.07,0.55,8.98,91.02,0.00,5.19,103.77,1.77,0.04,0.25,3.94,95.97,0.00,3.54,70.82,0.67,0.06,0.33,1.39,98.61,0.00,1.34,26.84,0.42,0.11,1.10,3.02,96.98,0.00,0.84,16.84
2025-07-01,20:50:54.559,3.47,96.52,0.00,3.47,96.52,0.00,0.49,0.04,0.10,0.34,99.62,0.00,0.97,19.43,0.47,0.07,0.21,0.76,99.23,0.00,0.94,18.87,0.45,0.06,0.14,0.67,99.33,0.00,0.90,17.94,2.06,0.10,0.68,8.17,91.83,0.00,4.12,82.41,2.28,0.08,0.52,8.54,91.42,0.00,4.56,91.21,2.35,0.03,0.24,4.54,95.45,0.00,4.69,93.89,0.66,0.07,0.35,1.49,98.51,0.00,1.31,26.24,0.44,0.12,1.09,3.26,96.74,0.00,0.87,17.45
2025-07-01,20:50:59.562,3.46,96.52,0.00,3.46,96.52,0.00,0.39,0.04,0.09,0.30,99.66,0.00,0.78,15.58,0.44,0.06,0.15,0.58,99.36,0.00,0.87,17.49,0.50,0.05,0.11,0.55,99.45,0.00,1.00,19.93,2.18,0.09,0.66,8.43,91.57,0.00,4.36,87.17,2.50,0.07,0.53,8.93,91.03,0.00,4.99,99.86,2.10,0.04,0.27,4.35,95.59,0.00,4.20,84.08,0.66,0.07,0.34,1.42,98.58,0.00,1.32,26.43,0.43,0.11,1.11,3.10,96.90,0.00,0.87,17.36
