System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-01,20:30:11.658,1.35,0.40,1.86,23.96,21.28,2.69,53.85,2.79,93.09,0.00,99.71,0.00
2025-07-01,20:30:16.659,1.30,0.45,2.29,24.57,21.33,2.60,52.10,3.10,96.89,0.00,100.00,0.00
2025-07-01,20:30:21.659,1.34,0.42,2.12,24.36,21.32,2.69,53.70,3.01,96.98,0.00,100.00,0.00
2025-07-01,20:30:26.658,1.36,0.43,2.17,24.14,21.18,2.73,54.59,3.08,96.91,0.00,100.00,0.00
2025-07-01,20:30:31.659,1.32,0.42,2.20,24.88,21.69,2.64,52.76,3.03,96.96,0.00,100.00,0.00
2025-07-01,20:30:36.659,1.32,0.45,2.19,24.63,21.49,2.63,52.68,3.05,96.95,0.00,100.00,0.00
2025-07-01,20:30:41.660,1.32,0.45,2.23,24.52,21.30,2.65,52.91,3.05,96.94,0.00,100.00,0.00
2025-07-01,20:30:46.660,1.37,0.43,2.14,24.44,21.37,2.74,54.70,3.03,96.96,0.00,100.00,0.00
2025-07-01,20:30:51.659,1.31,0.46,2.26,24.72,21.45,2.61,52.26,3.03,96.96,0.00,100.00,0.00
2025-07-01,20:30:56.660,1.28,0.44,2.22,24.73,21.35,2.55,51.01,3.02,96.97,0.00,100.00,0.00
2025-07-01,20:31:01.660,1.36,0.41,2.13,24.33,21.34,2.72,54.40,2.99,97.00,0.00,100.00,0.00
2025-07-01,20:31:06.661,1.37,0.44,2.13,24.29,21.19,2.75,54.91,3.03,96.97,0.00,100.00,0.00
2025-07-01,20:31:11.661,1.30,0.46,2.21,24.78,21.50,2.60,51.91,3.04,96.95,0.00,100.00,0.00
2025-07-01,20:31:16.661,1.34,0.42,2.11,25.03,21.82,2.67,53.44,3.02,96.97,0.00,100.00,0.00
2025-07-01,20:31:21.661,1.40,0.41,2.07,24.23,21.50,2.79,55.82,3.03,96.96,0.00,100.00,0.00
2025-07-01,20:31:26.661,1.35,0.43,2.15,24.51,21.34,2.70,54.07,3.02,96.97,0.00,100.00,0.00
2025-07-01,20:31:31.662,1.43,0.42,2.14,24.23,21.39,2.87,57.32,2.99,96.99,0.00,100.00,0.00
2025-07-01,20:31:36.662,1.38,0.43,2.20,24.76,21.47,2.76,55.18,2.97,97.01,0.00,100.00,0.00
2025-07-01,20:31:41.662,1.32,0.43,2.17,25.11,21.75,2.63,52.61,2.98,97.01,0.00,100.00,0.00
2025-07-01,20:31:46.662,1.33,0.47,2.26,24.90,21.74,2.66,53.20,3.07,96.92,0.00,100.00,0.00
2025-07-01,20:31:51.662,1.39,0.45,2.18,24.27,21.43,2.77,55.45,3.05,96.94,0.00,100.00,0.00
2025-07-01,20:31:56.662,1.31,0.46,2.22,25.11,21.76,2.62,52.43,3.03,96.96,0.00,100.00,0.00
2025-07-01,20:32:01.662,1.32,0.44,2.20,24.64,21.62,2.65,52.97,3.03,96.96,0.00,100.00,0.00
2025-07-01,20:32:06.662,1.29,0.45,2.22,24.74,21.42,2.58,51.64,3.07,96.92,0.00,100.00,0.00
2025-07-01,20:32:11.664,1.33,0.44,2.19,24.93,21.69,2.67,53.33,3.01,96.97,0.00,100.00,0.00
2025-07-01,20:32:16.663,1.32,0.46,2.21,24.95,21.60,2.65,52.92,3.04,96.96,0.00,100.00,0.00
2025-07-01,20:32:21.664,1.34,0.42,2.11,24.86,21.52,2.68,53.58,2.99,96.99,0.00,100.00,0.00
2025-07-01,20:32:26.663,1.34,0.46,2.24,24.84,21.47,2.67,53.41,3.03,96.97,0.00,100.00,0.00
2025-07-01,20:32:31.663,1.33,0.42,2.17,24.35,21.31,2.65,53.05,3.01,96.99,0.00,100.00,0.00
2025-07-01,20:32:36.663,1.31,0.42,2.11,24.88,21.56,2.62,52.40,3.01,96.97,0.00,100.00,0.00
2025-07-01,20:32:41.665,1.33,0.43,2.12,24.34,21.37,2.66,53.19,2.99,97.01,0.00,100.00,0.00
2025-07-01,20:32:46.663,1.34,0.45,2.19,24.81,21.43,2.69,53.71,3.04,96.96,0.00,100.00,0.00
2025-07-01,20:32:51.664,1.34,0.42,2.12,24.71,21.58,2.68,53.52,2.99,97.00,0.00,100.00,0.00
2025-07-01,20:32:56.664,1.32,0.45,2.18,24.56,21.34,2.64,52.81,3.05,96.94,0.00,100.00,0.00
2025-07-01,20:33:01.665,1.29,0.45,2.22,24.90,21.59,2.58,51.63,3.04,96.96,0.00,100.00,0.00
2025-07-01,20:33:06.665,1.36,0.43,2.17,23.98,20.94,2.73,54.60,3.01,96.99,0.00,100.00,0.00
2025-07-01,20:33:11.666,1.67,0.29,1.03,24.55,22.19,3.34,66.88,2.65,86.83,0.00,99.52,0.01
