System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-04,03:42:58.599,20.27,61.25,0.00,20.27,61.25,0.00,0.51,0.39,1.46,3.90,76.71,0.00,1.01,20.27,0.47,0.26,1.00,3.16,70.75,0.00,0.94,18.83,0.67,0.30,0.75,3.27,81.73,0.00,1.35,26.99,3.33,0.23,2.25,52.81,33.73,0.00,6.66,133.28,2.44,0.27,1.72,38.94,41.67,0.00,4.88,97.69,3.03,0.25,2.10,44.53,29.38,0.00,6.06,121.17,0.64,0.31,1.37,6.99,78.01,0.00,1.28,25.50,0.39,0.41,3.27,8.54,78.00,0.00,0.77,15.45
2025-07-04,03:43:03.600,21.02,67.32,0.00,21.02,67.32,0.00,0.54,0.43,1.63,4.33,73.83,0.00,1.07,21.48,0.48,0.30,1.17,3.33,79.33,0.00,0.96,19.29,0.73,0.25,0.64,3.13,94.69,0.00,1.47,29.31,2.95,0.25,2.15,47.33,47.36,0.00,5.90,118.09,2.14,0.34,2.07,37.69,40.47,0.00,4.27,85.41,3.48,0.28,2.81,54.07,28.59,0.00,6.96,139.12,0.63,0.36,1.66,8.51,89.31,0.00,1.27,25.37,0.41,0.44,3.37,9.76,84.94,0.00,0.82,16.31
2025-07-04,03:43:08.600,21.00,68.01,0.00,21.00,68.01,0.00,0.40,0.53,2.24,4.38,71.94,0.00,0.80,16.00,0.48,0.30,1.14,3.27,80.34,0.00,0.95,19.07,0.56,0.25,0.58,3.52,95.29,0.00,1.12,22.36,1.39,0.30,1.35,31.06,66.24,0.00,2.77,55.46,3.36,0.26,2.84,53.87,22.45,0.00,6.71,134.29,3.52,0.25,2.85,54.08,29.53,0.00,7.04,140.88,0.64,0.34,1.65,8.73,90.08,0.00,1.27,25.43,0.51,0.36,1.94,9.11,88.19,0.00,1.01,20.26
2025-07-04,03:43:13.601,20.96,67.42,0.00,20.96,67.42,0.00,0.44,0.52,2.20,4.32,71.18,0.00,0.88,17.53,0.55,0.31,1.18,3.37,77.78,0.00,1.10,22.07,0.77,0.32,0.71,3.31,96.04,0.00,1.55,30.98,1.38,0.31,1.35,31.15,66.35,0.00,2.77,55.37,3.38,0.24,2.72,53.46,22.04,0.00,6.75,135.04,3.51,0.27,2.92,54.17,26.99,0.00,7.02,140.38,0.65,0.35,1.68,8.83,90.52,0.00,1.29,25.90,0.51,0.35,1.94,9.05,88.46,0.00,1.02,20.46
2025-07-04,03:43:18.601,20.88,68.26,0.00,20.88,68.26,0.00,0.43,0.56,2.33,4.46,72.26,0.00,0.86,17.22,0.52,0.30,1.17,3.29,78.59,0.00,1.03,20.64,0.66,0.25,0.60,2.97,96.99,0.00,1.31,26.22,1.39,0.29,1.31,30.87,67.13,0.00,2.78,55.68,3.38,0.24,2.72,53.43,23.29,0.00,6.75,135.07,3.52,0.26,2.90,54.10,27.78,0.00,7.04,140.73,0.65,0.34,1.65,8.75,91.21,0.00,1.30,26.10,0.51,0.34,1.91,9.14,88.86,0.00,1.03,20.54
2025-07-04,03:43:23.601,21.03,67.28,0.00,21.03,67.28,0.00,0.47,0.57,2.42,4.82,68.15,0.00,0.93,18.67,0.56,0.33,1.26,3.64,80.05,0.00,1.13,22.60,0.67,0.26,0.65,3.22,95.97,0.00,1.34,26.74,1.38,0.31,1.32,31.09,66.29,0.00,2.77,55.38,3.37,0.24,2.74,53.34,19.63,0.00,6.74,134.83,3.51,0.27,2.83,54.15,29.54,0.00,7.01,140.30,0.63,0.34,1.69,8.79,90.39,0.00,1.27,25.31,0.51,0.36,1.93,9.19,88.19,0.00,1.02,20.37
2025-07-04,03:43:28.601,20.96,68.20,0.00,20.96,68.20,0.00,0.41,0.58,2.33,4.68,73.46,0.00,0.82,16.44,0.48,0.32,1.22,3.43,79.46,0.00,0.96,19.21,0.76,0.27,0.65,3.25,95.49,0.00,1.52,30.34,1.44,0.30,1.35,31.69,65.19,0.00,2.88,57.58,3.37,0.26,2.73,53.53,24.62,0.00,6.75,134.95,3.51,0.27,2.89,53.47,29.41,0.00,7.01,140.22,0.63,0.34,1.68,8.66,90.08,0.00,1.27,25.31,0.50,0.36,1.97,8.99,87.89,0.00,1.00,19.94
2025-07-04,03:43:33.601,21.07,66.41,0.00,21.07,66.41,0.00,0.43,0.55,2.24,4.51,70.60,0.00,0.85,17.06,0.53,0.29,1.11,3.28,76.30,0.00,1.06,21.10,0.63,0.26,0.62,3.77,94.73,0.00,1.26,25.27,1.44,0.34,1.47,31.47,65.25,0.00,2.88,57.61,3.37,0.26,2.79,54.91,20.20,0.00,6.74,134.77,3.48,0.27,2.84,52.76,26.82,0.00,6.96,139.24,0.63,0.37,1.73,8.89,89.62,0.00,1.26,25.14,0.50,0.35,1.99,8.97,87.75,0.00,1.01,20.15
2025-07-04,03:43:38.601,20.94,67.20,0.00,20.94,67.20,0.00,0.47,0.53,2.29,4.57,72.81,0.00,0.94,18.82,0.47,0.30,1.12,3.17,76.92,0.00,0.95,18.97,0.64,0.27,0.63,3.10,95.17,0.00,1.28,25.58,1.39,0.30,1.37,30.89,65.95,0.00,2.77,55.48,3.37,0.26,2.75,53.91,23.47,0.00,6.73,134.63,3.51,0.26,2.94,54.11,25.98,0.00,7.03,140.54,0.64,0.35,1.73,8.70,89.57,0.00,1.28,25.55,0.50,0.36,1.96,9.10,87.74,0.00,1.01,20.13
2025-07-04,03:43:43.601,20.84,66.65,0.00,20.84,66.65,0.00,0.48,0.57,2.37,4.71,69.94,0.00,0.95,19.09,0.48,0.29,1.11,3.19,79.02,0.00,0.96,19.26,0.70,0.25,0.61,3.05,94.83,0.00,1.40,27.98,1.38,0.32,1.42,31.22,63.98,0.00,2.76,55.25,3.37,0.25,2.80,53.60,21.05,0.00,6.74,134.81,3.52,0.27,2.86,54.11,28.10,0.00,7.03,140.61,0.63,0.34,1.68,8.23,89.66,0.00,1.26,25.14,0.48,0.35,1.91,8.60,86.59,0.00,0.96,19.27
