System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-03,23:42:07.815,1.95,4.24,21.68,13.15,16.01,3.89,77.85,26.99,59.54,0.00,98.97,0.00
2025-07-03,23:42:12.815,1.87,4.53,24.35,13.46,15.95,3.73,74.67,28.36,66.18,0.00,99.99,0.00
2025-07-03,23:42:17.816,1.90,4.39,24.04,13.28,15.76,3.80,76.04,27.99,66.94,0.00,100.00,0.00
2025-07-03,23:42:22.817,1.84,4.59,24.86,13.72,16.16,3.69,73.77,28.43,66.10,0.00,100.00,0.00
2025-07-03,23:42:27.817,1.83,4.68,24.76,14.00,16.51,3.66,73.29,28.46,66.62,0.00,100.00,0.00
2025-07-03,23:42:32.817,1.86,4.46,24.48,13.61,16.13,3.72,74.35,28.23,66.28,0.00,100.00,0.00
2025-07-03,23:42:37.818,1.85,4.47,24.33,13.89,16.49,3.69,73.84,28.47,65.46,0.00,100.00,0.00
2025-07-03,23:42:42.817,1.86,4.51,24.65,13.64,16.15,3.72,74.38,28.30,66.07,0.00,100.00,0.00
2025-07-03,23:42:47.817,1.87,4.46,24.28,13.74,16.33,3.73,74.62,28.33,66.86,0.00,100.00,0.00
2025-07-03,23:42:52.818,1.85,4.53,24.81,13.67,16.27,3.70,74.07,28.37,66.57,0.00,99.99,0.00
2025-07-03,23:42:57.818,1.86,4.52,24.40,13.66,16.20,3.72,74.38,28.29,66.34,0.00,100.00,0.00
2025-07-03,23:43:02.818,1.83,4.58,24.17,14.27,16.99,3.66,73.13,28.43,66.24,0.00,100.00,0.00
2025-07-03,23:43:07.818,1.89,4.22,23.58,13.02,15.60,3.77,75.40,27.97,66.25,0.00,100.00,0.00
2025-07-03,23:43:12.818,1.85,4.46,24.27,13.50,15.98,3.71,74.12,28.25,66.70,0.00,100.00,0.00
2025-07-03,23:43:17.819,1.88,4.39,23.73,13.28,15.73,3.76,75.11,28.04,65.53,0.00,100.00,0.00
2025-07-03,23:43:22.819,1.89,4.44,23.24,13.27,15.70,3.78,75.58,28.04,66.43,0.00,100.00,0.00
2025-07-03,23:43:27.819,1.84,4.57,23.90,13.55,15.92,3.69,73.78,28.42,66.00,0.00,100.00,0.00
2025-07-03,23:43:32.818,1.82,4.70,24.29,13.84,16.09,3.64,72.77,28.51,65.95,0.00,100.00,0.00
2025-07-03,23:43:37.819,1.85,4.43,23.79,13.75,16.30,3.69,73.81,28.26,66.06,0.00,100.00,0.00
2025-07-03,23:43:42.819,1.87,4.39,23.59,13.23,15.57,3.74,74.75,28.15,65.56,0.00,100.00,0.00
2025-07-03,23:43:47.819,1.86,4.69,24.29,13.70,15.93,3.71,74.26,28.37,65.56,0.00,100.00,0.00
2025-07-03,23:43:52.819,1.84,4.54,24.35,13.56,15.91,3.68,73.61,28.52,65.83,0.00,100.00,0.00
2025-07-03,23:43:57.820,1.86,4.44,23.98,13.33,15.73,3.72,74.31,28.17,65.66,0.00,100.00,0.00
2025-07-03,23:44:02.819,1.85,4.56,24.27,13.44,15.64,3.71,74.17,28.22,65.46,0.00,100.00,0.00
2025-07-03,23:44:07.820,1.84,4.44,24.06,13.58,16.02,3.68,73.68,28.29,65.92,0.00,100.00,0.00
2025-07-03,23:44:12.820,1.85,4.60,24.35,13.59,15.86,3.70,73.92,28.45,66.02,0.00,100.00,0.00
2025-07-03,23:44:17.820,1.86,4.51,23.63,13.52,15.94,3.71,74.22,28.20,65.69,0.00,100.00,0.00
2025-07-03,23:44:22.820,1.85,4.50,23.60,13.43,15.69,3.71,74.16,28.16,65.74,0.00,100.00,0.00
2025-07-03,23:44:27.820,1.82,4.68,24.61,13.68,15.80,3.65,73.00,28.42,65.44,0.00,100.00,0.00
2025-07-03,23:44:32.819,1.84,4.69,24.66,13.55,15.67,3.69,73.76,28.38,65.35,0.00,100.00,0.00
2025-07-03,23:44:37.820,1.85,4.51,23.77,13.38,15.59,3.70,74.02,28.31,65.11,0.00,100.00,0.00
2025-07-03,23:44:42.820,1.85,4.56,23.93,13.51,15.80,3.70,74.04,28.17,65.41,0.00,100.00,0.00
2025-07-03,23:44:47.819,1.85,4.56,24.25,13.43,15.67,3.71,74.15,28.28,65.09,0.00,100.00,0.00
2025-07-03,23:44:52.820,1.85,4.56,23.91,13.47,15.68,3.71,74.15,28.29,65.66,0.00,100.00,0.00
2025-07-03,23:44:57.820,1.83,4.61,24.44,13.42,15.66,3.66,73.26,28.44,65.33,0.00,99.98,0.00
2025-07-03,23:45:02.821,1.85,4.64,24.28,13.54,15.67,3.70,73.95,28.45,65.98,0.00,100.00,0.00
2025-07-03,23:45:07.820,2.30,2.79,12.19,12.01,16.13,4.60,91.91,25.72,41.32,0.00,96.87,0.02
