System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-04,18:17:05.318,1.64,3.21,17.04,26.29,20.31,3.28,65.56,16.10,79.25,0.00,99.70,0.01
2025-07-04,18:17:10.319,1.50,3.78,20.20,27.02,20.40,2.99,59.85,17.58,82.40,0.00,100.00,0.00
2025-07-04,18:17:15.318,1.49,3.88,20.78,27.21,20.36,2.98,59.63,17.60,82.39,0.00,100.00,0.00
2025-07-04,18:17:20.319,1.48,4.08,21.17,27.74,20.73,2.96,59.18,17.89,82.11,0.00,100.00,0.00
2025-07-04,18:17:25.319,1.47,3.76,20.58,27.15,20.52,2.94,58.77,17.51,82.49,0.00,100.00,0.00
2025-07-04,18:17:30.318,1.48,3.73,20.21,26.99,20.28,2.96,59.14,17.55,82.45,0.00,100.00,0.00
2025-07-04,18:17:35.319,1.52,3.78,20.33,26.93,20.12,3.03,60.65,17.43,82.56,0.00,100.00,0.00
2025-07-04,18:17:40.319,1.48,3.83,20.37,27.14,20.49,2.96,59.12,17.69,82.31,0.00,100.00,0.00
2025-07-04,18:17:45.319,1.50,3.92,20.73,27.37,20.39,2.99,59.82,17.59,82.41,0.00,100.00,0.00
2025-07-04,18:17:50.320,1.49,3.85,20.64,27.17,20.42,2.98,59.64,17.62,82.37,0.00,100.00,0.00
2025-07-04,18:17:55.319,1.51,3.94,20.72,27.11,20.05,3.02,60.32,17.72,82.28,0.00,100.00,0.00
2025-07-04,18:18:00.320,1.48,4.02,20.95,27.44,20.46,2.95,59.04,17.83,82.17,0.00,100.00,0.00
2025-07-04,18:18:05.319,1.51,3.79,20.44,27.02,20.27,3.01,60.21,17.56,82.43,0.00,100.00,0.00
2025-07-04,18:18:10.320,1.50,3.83,19.92,27.14,20.36,3.01,60.14,17.58,82.41,0.00,100.00,0.00
2025-07-04,18:18:15.320,1.50,3.69,19.86,26.82,20.14,3.00,60.10,17.52,82.47,0.00,100.00,0.00
2025-07-04,18:18:20.319,1.49,3.77,19.90,27.00,20.43,2.98,59.57,17.52,82.47,0.00,100.00,0.00
2025-07-04,18:18:25.320,1.53,3.85,20.01,26.98,20.25,3.06,61.17,17.63,82.36,0.00,100.00,0.00
2025-07-04,18:18:30.320,1.49,3.95,20.48,27.38,20.57,2.98,59.67,17.75,82.24,0.00,100.00,0.00
2025-07-04,18:18:35.319,1.52,3.78,20.22,26.93,20.08,3.04,60.72,17.56,82.44,0.00,100.00,0.00
2025-07-04,18:18:40.320,1.52,3.81,20.06,26.80,19.93,3.04,60.80,17.54,82.44,0.00,100.00,0.00
2025-07-04,18:18:45.320,1.52,3.85,20.61,26.90,20.00,3.05,60.91,17.50,82.48,0.00,100.00,0.00
2025-07-04,18:18:50.321,1.50,4.16,21.06,27.53,20.21,3.00,60.07,17.85,82.15,0.00,100.00,0.00
2025-07-04,18:18:55.323,1.54,3.76,19.95,26.69,19.87,3.08,61.58,17.32,82.66,0.00,100.00,0.00
2025-07-04,18:19:00.323,1.53,3.79,19.71,26.70,20.04,3.05,61.07,17.39,82.61,0.00,100.00,0.00
2025-07-04,18:19:05.324,1.52,3.88,20.78,27.03,20.07,3.04,60.85,17.54,82.46,0.00,100.00,0.00
2025-07-04,18:19:10.324,1.49,3.95,20.82,27.26,20.31,2.98,59.70,17.70,82.29,0.00,100.00,0.00
2025-07-04,18:19:15.324,1.54,3.76,20.10,26.62,19.73,3.07,61.45,17.38,82.62,0.00,100.00,0.00
2025-07-04,18:19:20.325,1.53,3.84,20.17,26.64,19.64,3.07,61.34,17.52,82.47,0.00,100.00,0.00
2025-07-04,18:19:25.325,1.53,3.89,20.42,26.88,19.93,3.06,61.15,17.59,82.41,0.00,100.00,0.00
2025-07-04,18:19:30.325,1.52,3.86,20.17,26.75,19.87,3.03,60.69,17.61,82.38,0.00,100.00,0.00
2025-07-04,18:19:35.325,1.49,3.94,20.64,26.82,20.11,2.99,59.79,17.63,82.37,0.00,100.00,0.00
2025-07-04,18:19:40.325,1.50,3.91,21.02,27.05,20.00,2.99,59.87,17.66,82.34,0.00,100.00,0.00
2025-07-04,18:19:45.325,1.52,3.85,20.23,26.97,20.03,3.04,60.84,17.58,82.42,0.00,100.00,0.00
2025-07-04,18:19:50.324,1.51,3.92,20.36,26.88,19.84,3.02,60.37,17.63,82.37,0.00,100.00,0.00
2025-07-04,18:19:55.325,1.53,3.88,20.21,26.78,19.84,3.05,61.10,17.62,82.38,0.00,100.00,0.00
2025-07-04,18:20:00.325,1.49,4.18,21.36,27.27,20.23,2.98,59.63,17.93,82.07,0.00,100.00,0.00
2025-07-04,18:20:05.325,2.03,2.39,9.97,24.85,19.84,4.07,81.39,17.34,74.56,0.00,99.95,0.00
