System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-02,22:09:13.337,1.27,0.08,1.40,1.13,0.22,2.54,50.84,1.19,92.61,0.00,99.35,0.00
2025-07-02,22:09:18.338,1.25,0.09,1.71,1.23,0.24,2.51,50.15,1.27,98.72,0.00,100.00,0.00
2025-07-02,22:09:23.337,1.26,0.08,1.64,1.12,0.23,2.51,50.22,1.27,98.73,0.00,100.00,0.00
2025-07-02,22:09:28.337,1.26,0.09,1.69,1.13,0.23,2.52,50.44,1.27,98.73,0.00,100.00,0.00
2025-07-02,22:09:33.338,1.26,0.10,1.78,1.38,0.27,2.52,50.35,1.28,98.71,0.00,100.00,0.00
2025-07-02,22:09:38.337,1.27,0.07,1.57,1.08,0.22,2.53,50.62,1.25,98.75,0.00,100.00,0.00
2025-07-02,22:09:43.338,1.26,0.09,1.67,1.15,0.24,2.52,50.42,1.26,98.73,0.00,100.00,0.00
2025-07-02,22:09:48.338,1.27,0.08,1.61,1.23,0.24,2.53,50.65,1.24,98.75,0.00,100.00,0.00
2025-07-02,22:09:53.338,1.26,0.08,1.64,1.19,0.24,2.52,50.40,1.26,98.73,0.00,100.00,0.00
2025-07-02,22:09:58.339,1.25,0.08,1.66,1.12,0.23,2.50,50.03,1.27,98.73,0.00,100.00,0.00
2025-07-02,22:10:03.339,1.25,0.10,1.78,1.29,0.25,2.49,49.89,1.31,98.68,0.00,100.00,0.00
2025-07-02,22:10:08.339,1.24,0.09,1.68,1.05,0.22,2.49,49.79,1.24,98.76,0.00,100.00,0.00
2025-07-02,22:10:13.342,1.27,0.10,1.72,1.24,0.24,2.54,50.75,1.30,98.70,0.00,100.00,0.00
2025-07-02,22:10:18.342,1.16,0.08,1.69,1.16,0.23,2.32,46.42,1.78,98.22,0.00,100.00,0.00
2025-07-02,22:10:23.342,1.22,0.08,1.72,1.15,0.24,2.45,49.00,1.41,98.59,0.00,100.00,0.00
2025-07-02,22:10:28.342,1.19,0.09,1.65,1.04,0.22,2.38,47.57,1.55,98.44,0.00,100.00,0.00
2025-07-02,22:10:33.340,1.26,0.07,1.66,1.22,0.24,2.51,50.28,1.25,98.75,0.00,100.00,0.00
2025-07-02,22:10:38.342,1.13,0.09,1.74,1.10,0.23,2.26,45.25,1.83,98.17,0.00,100.00,0.00
2025-07-02,22:10:43.341,1.15,0.09,1.74,1.14,0.24,2.29,45.83,1.78,98.22,0.00,100.00,0.00
2025-07-02,22:10:48.339,1.21,0.08,1.74,1.13,0.23,2.41,48.22,1.56,98.44,0.00,100.00,0.00
2025-07-02,22:10:53.342,1.24,0.08,1.67,1.26,0.25,2.48,49.68,1.38,98.62,0.00,100.00,0.00
2025-07-02,22:10:58.342,1.17,0.11,1.72,1.43,0.26,2.33,46.68,1.81,98.19,0.00,100.00,0.00
2025-07-02,22:11:03.342,1.13,0.08,1.66,1.11,0.24,2.25,45.00,1.79,98.21,0.00,100.00,0.00
2025-07-02,22:11:08.342,1.16,0.08,1.71,1.20,0.25,2.31,46.22,1.73,98.27,0.00,100.00,0.00
2025-07-02,22:11:13.341,1.14,0.09,1.77,1.22,0.25,2.28,45.57,1.88,98.12,0.00,100.00,0.00
2025-07-02,22:11:18.342,1.16,0.08,1.65,1.24,0.25,2.32,46.48,1.76,98.24,0.00,100.00,0.00
2025-07-02,22:11:23.342,1.15,0.08,1.62,1.12,0.24,2.30,46.02,1.75,98.24,0.00,100.00,0.00
2025-07-02,22:11:28.342,1.15,0.09,1.70,1.14,0.24,2.30,45.98,1.64,98.36,0.00,100.00,0.00
2025-07-02,22:11:33.342,1.19,0.10,1.68,1.29,0.26,2.38,47.53,1.65,98.35,0.00,100.00,0.00
2025-07-02,22:11:38.342,1.12,0.09,1.69,1.16,0.25,2.25,44.95,1.80,98.20,0.00,100.00,0.00
2025-07-02,22:11:43.342,1.19,0.09,1.65,1.21,0.26,2.38,47.65,1.58,98.42,0.00,100.00,0.00
2025-07-02,22:11:48.342,1.14,0.09,1.65,1.22,0.25,2.28,45.66,1.79,98.21,0.00,100.00,0.00
2025-07-02,22:11:53.342,1.22,0.10,1.68,1.27,0.26,2.44,48.75,1.50,98.50,0.00,100.00,0.00
2025-07-02,22:11:58.342,1.13,0.09,1.70,1.17,0.24,2.26,45.24,1.81,98.19,0.00,100.00,0.00
2025-07-02,22:12:03.342,1.19,0.10,1.73,1.29,0.26,2.37,47.46,1.72,98.28,0.00,100.00,0.00
2025-07-02,22:12:08.342,1.15,0.08,1.59,1.13,0.24,2.30,46.05,1.76,98.24,0.00,100.00,0.00
2025-07-02,22:12:13.342,1.77,0.12,0.87,1.92,0.67,3.54,70.89,1.60,80.01,0.00,98.12,0.03
