System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-10,21:14:10.366,5.60,88.63,0.00,5.60,88.63,0.00,0.75,0.06,0.24,0.92,94.49,0.00,1.49,29.82,0.93,0.04,0.21,0.89,93.74,0.00,1.87,37.35,0.87,0.03,0.13,0.51,92.10,0.00,1.75,34.90,1.46,0.02,0.68,13.28,80.95,0.00,2.93,58.55,1.52,0.03,0.49,13.07,82.34,0.00,3.04,60.70,1.51,0.03,0.51,12.25,82.38,0.00,3.02,60.34,0.97,0.01,0.31,1.13,91.49,0.00,1.94,38.72,0.63,0.04,0.84,2.72,91.51,0.00,1.26,25.30
2025-07-10,21:14:15.367,5.68,94.31,0.00,5.68,94.31,0.00,0.81,0.04,0.19,0.78,99.22,0.00,1.62,32.33,0.74,0.05,0.19,0.79,99.19,0.00,1.48,29.60,0.93,0.02,0.10,0.43,99.57,0.00,1.86,37.24,1.45,0.02,0.81,12.52,87.48,0.00,2.89,57.88,1.52,0.02,0.54,13.82,86.18,0.00,3.03,60.69,1.51,0.01,0.53,12.78,87.20,0.00,3.03,60.59,1.05,0.01,0.38,1.39,98.61,0.00,2.10,42.06,0.70,0.02,1.00,2.95,97.05,0.00,1.40,28.02
2025-07-10,21:14:20.369,5.88,94.10,0.00,5.88,94.10,0.00,0.84,0.06,0.24,1.00,98.95,0.00,1.68,33.67,1.03,0.06,0.22,1.06,98.92,0.00,2.06,41.22,0.89,0.03,0.14,0.53,99.47,0.00,1.77,35.42,1.40,0.03,0.92,11.32,88.68,0.00,2.80,55.91,1.50,0.03,0.59,12.73,87.22,0.00,3.00,60.05,1.53,0.02,0.50,15.70,84.28,0.00,3.06,61.18,0.98,0.01,0.40,1.50,98.49,0.00,1.95,39.07,0.71,0.02,1.02,3.20,96.80,0.00,1.42,28.31
2025-07-10,21:14:25.367,5.78,94.21,0.00,5.78,94.21,0.00,0.84,0.05,0.22,0.92,99.04,0.00,1.68,33.54,0.86,0.05,0.23,0.94,99.05,0.00,1.71,34.21,0.76,0.04,0.13,0.49,99.51,0.00,1.52,30.41,1.44,0.02,0.80,12.92,87.08,0.00,2.89,57.72,1.52,0.01,0.49,13.85,86.12,0.00,3.04,60.87,1.51,0.01,0.53,12.58,87.41,0.00,3.01,60.30,0.99,0.01,0.41,1.49,98.51,0.00,1.99,39.80,0.69,0.02,0.99,3.07,96.93,0.00,1.38,27.58
2025-07-10,21:14:30.368,5.76,94.24,0.00,5.76,94.24,0.00,0.88,0.05,0.23,0.92,99.05,0.00,1.76,35.17,0.74,0.05,0.23,0.88,99.12,0.00,1.47,29.47,0.72,0.03,0.13,0.50,99.50,0.00,1.45,28.97,1.45,0.02,0.80,12.94,87.06,0.00,2.91,58.14,1.51,0.04,0.55,13.76,86.22,0.00,3.03,60.58,1.51,0.02,0.58,12.68,87.32,0.00,3.01,60.21,0.98,0.01,0.39,1.39,98.61,0.00,1.96,39.19,0.70,0.02,1.00,2.98,97.02,0.00,1.40,27.95
2025-07-10,21:14:35.367,5.69,94.29,0.00,5.69,94.29,0.00,0.95,0.03,0.16,0.76,99.17,0.00,1.91,38.14,0.72,0.04,0.17,0.73,99.27,0.00,1.44,28.89,0.82,0.02,0.11,0.44,99.56,0.00,1.64,32.83,1.43,0.02,0.78,12.59,87.41,0.00,2.87,57.35,1.52,0.01,0.51,13.71,86.22,0.00,3.04,60.83,1.51,0.01,0.52,12.72,87.28,0.00,3.03,60.56,0.99,0.01,0.41,1.45,98.55,0.00,1.99,39.73,0.65,0.02,0.98,3.14,96.86,0.00,1.31,26.16
2025-07-10,21:14:40.369,5.80,94.20,0.00,5.80,94.20,0.00,0.75,0.05,0.24,0.90,99.10,0.00,1.50,29.96,0.92,0.05,0.23,0.97,99.03,0.00,1.84,36.76,0.77,0.03,0.14,0.51,99.49,0.00,1.54,30.76,1.44,0.02,0.83,12.93,87.07,0.00,2.88,57.63,1.51,0.03,0.59,13.10,86.90,0.00,3.01,60.23,1.51,0.03,0.57,13.56,86.44,0.00,3.03,60.56,0.99,0.01,0.38,1.40,98.60,0.00,1.97,39.46,0.70,0.02,0.99,3.01,96.99,0.00,1.40,28.00
2025-07-10,21:14:45.367,5.73,94.26,0.00,5.73,94.26,0.00,0.82,0.05,0.21,0.88,99.07,0.00,1.64,32.77,0.96,0.05,0.21,0.92,99.06,0.00,1.93,38.59,0.86,0.03,0.12,0.45,99.55,0.00,1.71,34.22,1.46,0.02,0.75,13.81,86.19,0.00,2.93,58.55,1.52,0.02,0.51,13.26,86.69,0.00,3.03,60.62,1.50,0.01,0.55,12.17,87.82,0.00,2.99,59.88,1.00,0.01,0.38,1.39,98.61,0.00,2.00,40.10,0.72,0.02,0.98,2.96,97.04,0.00,1.43,28.62
2025-07-10,21:14:50.367,5.75,94.24,0.00,5.75,94.24,0.00,0.85,0.05,0.23,0.88,99.12,0.00,1.70,34.00,0.88,0.04,0.20,0.87,99.09,0.00,1.76,35.21,0.98,0.03,0.12,0.46,99.54,0.00,1.95,39.02,1.44,0.03,0.84,12.35,87.65,0.00,2.87,57.45,1.52,0.02,0.54,13.54,86.45,0.00,3.04,60.77,1.52,0.02,0.54,13.59,86.36,0.00,3.04,60.74,1.00,0.01,0.39,1.40,98.60,0.00,2.00,39.91,0.69,0.02,1.01,2.92,97.08,0.00,1.39,27.73
2025-07-10,21:14:55.367,5.72,94.26,0.00,5.72,94.26,0.00,0.72,0.06,0.23,0.90,99.05,0.00,1.43,28.67,0.80,0.04,0.20,0.83,99.15,0.00,1.60,31.98,0.85,0.03,0.12,0.49,99.51,0.00,1.70,33.94,1.44,0.02,0.79,12.91,87.09,0.00,2.87,57.43,1.50,0.01,0.55,12.52,87.42,0.00,3.01,60.18,1.52,0.02,0.52,13.60,86.39,0.00,3.04,60.71,0.99,0.01,0.37,1.40,98.60,0.00,1.99,39.71,0.66,0.02,0.97,3.14,96.86,0.00,1.32,26.46
2025-07-10,21:15:00.367,5.77,94.21,0.00,5.77,94.21,0.00,0.82,0.05,0.21,0.92,99.03,0.00,1.65,32.93,0.90,0.05,0.21,0.92,99.07,0.00,1.80,36.02,0.84,0.02,0.10,0.47,99.53,0.00,1.68,33.59,1.45,0.02,0.80,12.92,87.08,0.00,2.89,57.82,1.51,0.02,0.55,13.21,86.75,0.00,3.02,60.50,1.51,0.02,0.54,13.34,86.65,0.00,3.02,60.49,0.99,0.01,0.39,1.43,98.57,0.00,1.98,39.61,0.70,0.02,0.98,2.97,97.03,0.00,1.39,27.87
2025-07-10,21:15:05.367,5.76,94.24,0.00,5.76,94.24,0.00,0.88,0.05,0.21,0.90,99.10,0.00,1.75,35.04,0.70,0.04,0.20,0.79,99.20,0.00,1.41,28.12,0.88,0.02,0.11,0.45,99.55,0.00,1.76,35.17,1.43,0.02,0.83,11.95,88.05,0.00,2.86,57.15,1.51,0.02,0.56,13.61,86.38,0.00,3.03,60.57,1.52,0.02,0.52,13.87,86.13,0.00,3.04,60.79,1.03,0.01,0.39,1.45,98.55,0.00,2.06,41.27,0.70,0.02,1.00,3.03,96.97,0.00,1.39,27.83
