System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-11,05:24:45.210,0.78,0.17,2.45,0.93,0.16,1.57,31.35,1.12,91.37,0.00,98.62,0.03
2025-07-11,05:24:50.209,0.79,0.15,2.86,0.88,0.16,1.58,31.61,1.27,98.73,0.00,100.00,0.00
2025-07-11,05:24:55.209,0.81,0.15,2.71,0.88,0.16,1.63,32.57,1.22,98.78,0.00,100.00,0.00
2025-07-11,05:25:00.210,0.83,0.20,2.81,1.13,0.18,1.66,33.29,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:25:05.209,0.81,0.12,2.71,0.83,0.16,1.61,32.24,1.22,98.78,0.00,100.00,0.00
2025-07-11,05:25:10.209,0.82,0.19,2.97,1.02,0.17,1.63,32.61,1.28,98.72,0.00,100.00,0.00
2025-07-11,05:25:15.210,0.79,0.14,2.69,0.78,0.15,1.59,31.72,1.24,98.76,0.00,100.00,0.00
2025-07-11,05:25:20.209,0.82,0.14,2.74,0.83,0.16,1.64,32.83,1.23,98.77,0.00,100.00,0.00
2025-07-11,05:25:25.210,0.82,0.16,2.90,0.95,0.17,1.65,32.93,1.28,98.72,0.00,100.00,0.00
2025-07-11,05:25:30.209,0.80,0.15,2.90,0.90,0.17,1.61,32.15,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:25:35.209,0.78,0.14,2.87,0.82,0.15,1.56,31.14,1.25,98.75,0.00,100.00,0.00
2025-07-11,05:25:40.210,0.82,0.15,2.72,0.95,0.17,1.64,32.72,1.23,98.77,0.00,100.00,0.00
2025-07-11,05:25:45.209,0.80,0.15,2.83,0.86,0.16,1.60,32.00,1.24,98.76,0.00,100.00,0.00
2025-07-11,05:25:50.209,0.82,0.14,2.84,0.90,0.16,1.63,32.65,1.25,98.75,0.00,100.00,0.00
2025-07-11,05:25:55.210,0.81,0.13,2.60,0.81,0.15,1.62,32.42,1.21,98.79,0.00,100.00,0.00
2025-07-11,05:26:00.209,0.80,0.14,2.76,0.88,0.16,1.59,31.85,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:26:05.210,0.81,0.14,2.92,0.88,0.16,1.61,32.29,1.25,98.75,0.00,100.00,0.00
2025-07-11,05:26:10.210,0.80,0.17,2.94,0.91,0.16,1.59,31.80,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:26:15.211,0.81,0.15,2.90,0.80,0.15,1.62,32.37,1.25,98.75,0.00,100.00,0.00
2025-07-11,05:26:20.211,0.82,0.15,2.86,0.92,0.16,1.65,32.95,1.29,98.71,0.00,100.00,0.00
2025-07-11,05:26:25.210,0.82,0.15,2.95,0.89,0.16,1.63,32.64,1.27,98.73,0.00,100.00,0.00
2025-07-11,05:26:30.211,0.84,0.17,2.96,1.01,0.18,1.67,33.42,1.28,98.72,0.00,100.00,0.00
2025-07-11,05:26:35.211,0.80,0.14,2.85,0.86,0.16,1.59,31.81,1.25,98.75,0.00,100.00,0.00
2025-07-11,05:26:40.210,0.82,0.13,2.74,0.83,0.16,1.63,32.64,1.22,98.78,0.00,100.00,0.00
2025-07-11,05:26:45.211,0.80,0.16,2.79,0.91,0.16,1.60,32.09,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:26:50.211,0.83,0.14,2.64,0.88,0.16,1.66,33.23,1.21,98.79,0.00,100.00,0.00
2025-07-11,05:26:55.210,0.81,0.16,2.79,0.91,0.16,1.62,32.35,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:27:00.211,0.84,0.18,2.83,1.17,0.18,1.68,33.54,1.27,98.73,0.00,100.00,0.00
2025-07-11,05:27:05.211,0.78,0.13,2.80,0.83,0.16,1.57,31.34,1.26,98.74,0.00,100.00,0.00
2025-07-11,05:27:10.212,0.82,0.17,2.65,0.86,0.16,1.65,32.97,1.23,98.77,0.00,100.00,0.00
2025-07-11,05:27:15.212,0.82,0.15,2.68,0.83,0.15,1.64,32.77,1.23,98.77,0.00,100.00,0.00
2025-07-11,05:27:20.212,0.83,0.16,2.85,0.93,0.17,1.65,33.02,1.27,98.73,0.00,100.00,0.00
2025-07-11,05:27:25.213,0.82,0.16,2.92,0.98,0.17,1.64,32.74,1.28,98.72,0.00,100.00,0.00
2025-07-11,05:27:30.213,0.79,0.15,2.79,0.91,0.17,1.57,31.49,1.27,98.73,0.00,100.00,0.00
2025-07-11,05:27:35.212,0.80,0.12,2.66,0.83,0.15,1.60,31.94,1.21,98.79,0.00,100.00,0.00
2025-07-11,05:27:40.213,0.81,0.13,2.62,0.86,0.16,1.62,32.49,1.22,98.78,0.00,100.00,0.00
2025-07-11,05:27:45.213,1.95,0.25,1.67,1.62,0.45,3.90,77.93,1.46,72.03,0.00,96.16,0.18
