System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-06,00:52:31.017,6.27,86.36,0.00,6.27,86.36,0.00,1.52,0.09,0.30,10.38,85.32,0.00,3.04,60.71,1.54,0.07,0.29,13.48,78.34,0.00,3.09,61.74,1.93,0.08,0.35,17.07,77.17,0.00,3.86,77.14,0.69,0.03,0.38,1.72,87.05,0.00,1.37,27.46,0.78,0.03,0.34,1.77,93.93,0.00,1.57,31.33,0.70,0.03,0.29,1.40,90.42,0.00,1.39,27.84,0.72,0.03,0.73,2.12,92.12,0.00,1.45,28.90,0.76,0.03,0.50,2.21,86.56,0.00,1.53,30.51
2025-07-06,00:52:36.016,6.37,92.50,0.00,6.37,92.50,0.00,1.54,0.07,0.24,13.92,83.94,0.00,3.08,61.64,1.51,0.09,0.28,10.73,87.18,0.00,3.03,60.56,1.97,0.08,0.34,15.93,83.87,0.00,3.93,78.61,0.77,0.04,0.33,1.83,98.08,0.00,1.53,30.67,0.77,0.03,0.37,1.88,95.98,0.00,1.55,30.96,0.79,0.03,0.40,1.96,95.94,0.00,1.58,31.66,0.74,0.03,0.84,2.33,97.46,0.00,1.48,29.63,0.78,0.03,0.52,2.37,97.54,0.00,1.56,31.18
2025-07-06,00:52:41.016,6.44,92.30,0.00,6.44,92.30,0.00,1.53,0.07,0.24,12.13,85.61,0.00,3.05,61.07,1.55,0.07,0.24,13.72,83.72,0.00,3.10,62.00,1.98,0.09,0.36,14.81,84.99,0.00,3.97,79.36,0.74,0.03,0.47,2.10,97.86,0.00,1.48,29.65,0.79,0.03,0.41,2.02,95.73,0.00,1.58,31.68,0.78,0.04,0.37,1.83,95.60,0.00,1.56,31.21,0.74,0.03,0.85,2.43,97.38,0.00,1.47,29.49,0.77,0.03,0.56,2.48,97.47,0.00,1.54,30.78
2025-07-06,00:52:46.017,6.47,92.74,0.00,6.47,92.74,0.00,1.52,0.10,0.31,12.65,86.85,0.00,3.03,60.62,1.54,0.08,0.30,13.36,84.38,0.00,3.08,61.51,1.98,0.11,0.40,15.25,84.47,0.00,3.96,79.14,0.72,0.03,0.41,1.93,97.95,0.00,1.44,28.88,0.79,0.03,0.40,2.08,97.42,0.00,1.57,31.46,0.77,0.03,0.30,1.58,96.16,0.00,1.53,30.67,0.72,0.03,0.87,2.41,97.31,0.00,1.45,28.90,0.77,0.03,0.55,2.47,97.42,0.00,1.53,30.61
2025-07-06,00:52:51.016,6.42,92.20,0.00,6.42,92.20,0.00,1.53,0.07,0.25,13.26,82.96,0.00,3.07,61.34,1.55,0.07,0.25,13.92,84.54,0.00,3.10,62.09,1.98,0.09,0.37,13.84,86.04,0.00,3.96,79.15,0.73,0.02,0.45,2.07,97.86,0.00,1.47,29.39,0.72,0.02,0.36,1.68,94.54,0.00,1.44,28.88,0.80,0.02,0.29,1.64,96.82,0.00,1.61,32.17,0.74,0.03,0.87,2.47,97.41,0.00,1.48,29.65,0.76,0.03,0.58,2.49,97.45,0.00,1.52,30.42
2025-07-06,00:52:56.016,6.42,92.48,0.00,6.42,92.48,0.00,1.54,0.06,0.25,11.95,85.08,0.00,3.08,61.62,1.43,0.10,0.33,4.72,94.08,0.00,2.85,57.10,1.83,0.06,0.27,24.45,75.32,0.00,3.67,73.32,0.75,0.03,0.46,2.15,97.85,0.00,1.50,30.09,0.76,0.03,0.33,1.66,95.37,0.00,1.51,30.22,0.82,0.03,0.31,1.76,97.04,0.00,1.65,32.98,0.72,0.03,0.84,2.27,97.50,0.00,1.45,28.94,0.78,0.03,0.57,2.40,97.60,0.00,1.55,31.04
2025-07-06,00:53:01.017,6.34,92.58,0.00,6.34,92.58,0.00,1.91,0.07,0.31,18.35,80.20,0.00,3.82,76.34,1.56,0.05,0.25,13.95,83.48,0.00,3.11,62.21,1.51,0.10,0.32,7.95,91.78,0.00,3.03,60.57,0.75,0.03,0.44,2.06,97.89,0.00,1.50,29.92,0.69,0.03,0.53,1.69,96.85,0.00,1.39,27.73,0.77,0.02,0.34,1.80,95.63,0.00,1.55,30.93,0.81,0.03,0.54,2.38,97.35,0.00,1.62,32.41,0.74,0.03,0.57,2.52,97.43,0.00,1.48,29.65
2025-07-06,00:53:06.016,6.42,92.39,0.00,6.42,92.39,0.00,2.02,0.10,0.38,13.73,85.19,0.00,4.05,80.90,1.54,0.07,0.28,13.15,83.41,0.00,3.08,61.65,1.54,0.07,0.20,13.80,85.95,0.00,3.07,61.41,0.77,0.03,0.40,1.93,98.04,0.00,1.54,30.75,0.69,0.05,0.77,2.21,96.71,0.00,1.39,27.79,0.80,0.03,0.35,1.76,94.81,0.00,1.60,32.08,0.78,0.03,0.52,2.30,97.44,0.00,1.55,31.07,0.76,0.03,0.54,2.45,97.53,0.00,1.52,30.34
2025-07-06,00:53:11.017,6.49,91.89,0.00,6.49,91.89,0.00,1.84,0.06,0.25,24.01,74.79,0.00,3.68,73.64,1.55,0.06,0.28,13.36,81.46,0.00,3.10,62.10,1.18,0.15,0.39,3.87,96.08,0.00,2.37,47.31,0.74,0.03,0.61,2.43,97.51,0.00,1.49,29.78,0.74,0.04,0.58,1.73,97.07,0.00,1.48,29.51,0.77,0.02,0.34,1.57,93.25,0.00,1.54,30.89,0.82,0.03,0.52,2.41,97.54,0.00,1.65,32.99,0.73,0.04,0.65,2.55,97.39,0.00,1.45,29.04
2025-07-06,00:53:16.017,6.46,92.93,0.00,6.46,92.93,0.00,1.99,0.12,0.44,10.96,87.64,0.00,3.97,79.43,1.54,0.09,0.35,13.40,85.94,0.00,3.08,61.64,1.65,0.10,0.30,16.82,82.87,0.00,3.29,65.81,0.77,0.03,0.28,1.67,98.23,0.00,1.53,30.65,0.74,0.03,0.46,1.69,96.92,0.00,1.49,29.75,0.79,0.03,0.46,2.42,96.92,0.00,1.58,31.65,0.74,0.03,0.57,2.29,97.40,0.00,1.47,29.46,0.79,0.03,0.50,2.41,97.49,0.00,1.58,31.56
