System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-06,02:04:39.588,1.36,0.32,5.65,7.55,3.52,2.72,54.37,5.68,88.05,0.00,99.58,0.01
2025-07-06,02:04:44.589,1.29,0.35,6.33,9.22,4.37,2.58,51.62,4.80,95.20,0.00,100.00,0.00
2025-07-06,02:04:49.588,1.37,0.39,6.30,9.66,4.56,2.74,54.78,5.08,94.92,0.00,100.00,0.00
2025-07-06,02:04:54.588,1.44,0.36,6.04,9.62,4.54,2.88,57.59,5.43,94.57,0.00,100.00,0.00
2025-07-06,02:04:59.589,1.43,0.32,6.32,9.45,4.52,2.86,57.16,5.38,94.62,0.00,100.00,0.00
2025-07-06,02:05:04.588,1.35,0.37,6.23,9.59,4.54,2.69,53.82,5.40,94.59,0.00,100.00,0.00
2025-07-06,02:05:09.589,1.40,0.35,6.18,9.60,4.53,2.80,56.10,5.54,94.46,0.00,100.00,0.00
2025-07-06,02:05:14.589,1.30,0.39,6.55,8.88,4.18,2.60,51.99,4.90,95.10,0.00,100.00,0.00
2025-07-06,02:05:19.588,1.31,0.33,6.46,9.44,4.51,2.62,52.41,4.68,95.32,0.00,100.00,0.00
2025-07-06,02:05:24.589,1.41,0.37,5.99,9.43,4.47,2.82,56.45,5.48,94.51,0.00,100.00,0.00
2025-07-06,02:05:29.589,1.42,0.36,6.24,8.95,4.21,2.84,56.90,5.82,94.18,0.00,100.00,0.00
2025-07-06,02:05:34.588,1.38,0.36,6.20,9.55,4.53,2.76,55.27,5.13,94.86,0.00,100.00,0.00
2025-07-06,02:05:39.589,1.37,0.34,6.23,9.57,4.54,2.74,54.88,5.39,94.61,0.00,100.00,0.00
2025-07-06,02:05:44.589,1.35,0.32,6.13,6.88,3.17,2.71,54.17,6.69,93.31,0.00,100.00,0.00
2025-07-06,02:05:49.589,1.26,0.29,6.31,5.08,2.27,2.51,50.30,7.35,92.65,0.00,100.00,0.00
2025-07-06,02:05:54.589,1.23,0.31,6.46,5.47,2.44,2.46,49.16,7.00,93.00,0.00,100.00,0.00
2025-07-06,02:05:59.590,1.31,0.31,6.32,7.26,3.37,2.63,52.59,6.32,93.68,0.00,100.00,0.00
2025-07-06,02:06:04.589,1.36,0.34,5.88,9.34,4.40,2.73,54.52,5.37,94.62,0.00,100.00,0.00
2025-07-06,02:06:09.590,1.26,0.31,6.02,6.30,2.89,2.52,50.45,6.58,93.42,0.00,100.00,0.00
2025-07-06,02:06:14.590,1.36,0.36,6.12,8.98,4.25,2.71,54.20,5.51,94.48,0.00,100.00,0.00
2025-07-06,02:06:19.589,1.38,0.42,6.44,9.61,4.45,2.75,55.04,5.55,94.45,0.00,100.00,0.00
2025-07-06,02:06:24.590,1.33,0.35,6.28,6.91,3.16,2.66,53.16,6.49,93.51,0.00,100.00,0.00
2025-07-06,02:06:29.590,1.25,0.34,6.62,5.06,2.21,2.50,49.90,7.33,92.67,0.00,100.00,0.00
2025-07-06,02:06:34.590,1.31,0.33,6.46,7.74,3.59,2.62,52.31,6.23,93.76,0.00,100.00,0.00
2025-07-06,02:06:39.590,1.41,0.35,6.39,9.53,4.52,2.83,56.59,5.47,94.53,0.00,100.00,0.00
2025-07-06,02:06:44.591,1.37,0.33,6.05,9.19,4.33,2.74,54.78,5.60,94.39,0.00,100.00,0.00
2025-07-06,02:06:49.591,1.40,0.36,6.50,9.53,4.53,2.80,56.00,5.48,94.52,0.00,100.00,0.00
2025-07-06,02:06:54.591,1.32,0.34,6.42,8.13,3.81,2.64,52.89,6.09,93.91,0.00,100.00,0.00
2025-07-06,02:06:59.592,1.23,0.31,6.49,5.02,2.22,2.45,49.04,7.37,92.63,0.00,100.00,0.00
2025-07-06,02:07:04.592,1.26,0.32,6.15,5.56,2.51,2.52,50.48,7.09,92.91,0.00,100.00,0.00
2025-07-06,02:07:09.592,1.32,0.34,6.10,7.74,3.59,2.65,52.94,6.05,93.95,0.00,100.00,0.00
2025-07-06,02:07:14.592,1.24,0.34,6.45,5.29,2.32,2.47,49.49,7.19,92.81,0.00,100.00,0.00
2025-07-06,02:07:19.593,1.31,0.34,6.18,6.88,3.16,2.62,52.37,6.71,93.29,0.00,100.00,0.00
2025-07-06,02:07:24.593,1.24,0.31,6.22,5.12,2.27,2.48,49.57,7.38,92.62,0.00,100.00,0.00
2025-07-06,02:07:29.593,1.30,0.37,6.54,6.09,2.72,2.59,51.89,7.25,92.75,0.00,100.00,0.00
2025-07-06,02:07:34.593,1.34,0.37,6.49,9.15,4.31,2.68,53.68,5.69,94.31,0.00,100.00,0.00
2025-07-06,02:07:39.593,1.83,0.45,3.28,8.12,3.91,3.66,73.15,6.33,74.53,0.00,98.16,0.04
