System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-01,19:06:00.692,1.52,92.21,0.00,1.52,92.21,0.00,0.64,0.03,0.09,0.44,94.48,0.00,1.28,25.52,0.59,0.04,0.15,0.48,92.88,0.00,1.18,23.62,0.93,0.03,0.11,0.48,91.62,0.00,1.85,37.00,3.49,0.01,0.21,2.74,91.79,0.00,6.98,139.70,1.53,0.02,0.20,4.45,90.48,0.00,3.06,61.23,3.30,0.01,0.15,1.69,91.66,0.00,6.61,132.19,0.82,0.04,0.31,1.21,90.89,0.00,1.63,32.68,0.55,0.02,0.28,0.64,93.89,0.00,1.11,22.15
2025-07-01,19:06:05.693,1.59,98.41,0.00,1.59,98.41,0.00,0.72,0.03,0.09,0.42,99.58,0.00,1.44,28.81,0.72,0.04,0.14,0.45,99.55,0.00,1.44,28.89,0.85,0.03,0.10,0.46,99.54,0.00,1.70,34.04,3.15,0.02,0.24,2.18,97.82,0.00,6.30,126.04,1.49,0.03,0.25,4.61,95.39,0.00,2.97,59.49,3.42,0.01,0.19,2.47,97.53,0.00,6.84,136.87,0.81,0.05,0.38,1.43,98.57,0.00,1.63,32.54,0.57,0.02,0.32,0.72,99.28,0.00,1.13,22.62
2025-07-01,19:06:10.693,1.56,98.44,0.00,1.56,98.44,0.00,0.80,0.03,0.08,0.40,99.59,0.00,1.61,32.17,0.62,0.04,0.12,0.48,99.52,0.00,1.24,24.79,0.71,0.03,0.08,0.39,99.61,0.00,1.43,28.51,3.72,0.01,0.23,3.73,96.27,0.00,7.44,148.86,1.43,0.03,0.25,4.57,95.43,0.00,2.87,57.38,0.79,0.02,0.19,0.73,99.27,0.00,1.58,31.53,0.85,0.06,0.37,1.40,98.60,0.00,1.70,34.02,0.54,0.02,0.43,0.79,99.21,0.00,1.07,21.45
2025-07-01,19:06:15.694,1.64,98.35,0.00,1.64,98.35,0.00,0.64,0.05,0.16,0.48,99.50,0.00,1.28,25.61,0.70,0.03,0.11,0.43,99.54,0.00,1.41,28.12,1.07,0.05,0.12,0.57,99.43,0.00,2.13,42.69,3.24,0.01,0.24,2.37,97.63,0.00,6.49,129.76,2.96,0.02,0.31,5.44,94.54,0.00,5.91,118.27,1.45,0.02,0.14,1.69,98.28,0.00,2.90,58.10,0.81,0.05,0.38,1.45,98.55,0.00,1.63,32.58,0.55,0.02,0.32,0.72,99.28,0.00,1.11,22.16
2025-07-01,19:06:20.694,1.75,98.22,0.00,1.75,98.22,0.00,0.72,0.03,0.16,0.42,99.55,0.00,1.45,28.94,0.77,0.03,0.09,0.43,99.49,0.00,1.53,30.66,0.66,0.03,0.09,0.37,99.63,0.00,1.32,26.34,1.05,0.02,0.21,1.18,98.82,0.00,2.11,42.19,3.89,0.01,0.35,7.48,92.49,0.00,7.79,155.71,1.50,0.01,0.12,1.90,98.02,0.00,3.00,59.95,0.82,0.04,0.38,1.46,98.54,0.00,1.63,32.68,0.71,0.02,0.23,0.74,99.26,0.00,1.42,28.44
2025-07-01,19:06:25.693,1.78,98.20,0.00,1.78,98.20,0.00,0.52,0.04,0.18,0.44,99.56,0.00,1.04,20.85,0.73,0.03,0.09,0.43,99.49,0.00,1.46,29.10,0.78,0.04,0.11,0.51,99.49,0.00,1.56,31.11,1.05,0.02,0.21,1.17,98.83,0.00,2.10,42.03,3.87,0.02,0.35,7.61,92.39,0.00,7.74,154.75,1.39,0.02,0.13,1.88,98.04,0.00,2.79,55.77,0.81,0.04,0.38,1.46,98.54,0.00,1.63,32.53,0.61,0.02,0.22,0.71,99.29,0.00,1.23,24.53
2025-07-01,19:06:30.694,1.78,98.21,0.00,1.78,98.21,0.00,0.65,0.04,0.18,0.46,99.52,0.00,1.29,25.80,0.63,0.03,0.11,0.49,99.51,0.00,1.26,25.17,0.76,0.03,0.09,0.44,99.56,0.00,1.52,30.43,1.30,0.02,0.18,1.93,98.07,0.00,2.60,52.01,3.85,0.02,0.37,7.64,92.34,0.00,7.71,154.17,1.12,0.01,0.15,1.13,98.87,0.00,2.24,44.86,0.79,0.04,0.38,1.47,98.53,0.00,1.58,31.54,0.63,0.02,0.21,0.70,99.30,0.00,1.26,25.25
2025-07-01,19:06:35.693,1.78,98.21,0.00,1.78,98.21,0.00,0.49,0.04,0.17,0.41,99.59,0.00,0.98,19.55,0.82,0.04,0.11,0.49,99.48,0.00,1.64,32.88,0.95,0.03,0.10,0.49,99.51,0.00,1.90,38.09,1.21,0.02,0.22,1.09,98.91,0.00,2.41,48.29,3.84,0.02,0.37,7.53,92.47,0.00,7.68,153.64,1.40,0.02,0.14,2.02,97.95,0.00,2.79,55.90,0.80,0.05,0.39,1.49,98.51,0.00,1.59,31.89,0.60,0.02,0.22,0.71,99.29,0.00,1.21,24.14
2025-07-01,19:06:40.694,1.76,98.22,0.00,1.76,98.22,0.00,0.73,0.04,0.18,0.45,99.55,0.00,1.47,29.40,0.87,0.03,0.08,0.43,99.47,0.00,1.73,34.66,0.65,0.03,0.10,0.40,99.60,0.00,1.29,25.83,1.03,0.02,0.22,1.14,98.86,0.00,2.05,41.03,3.87,0.01,0.36,7.64,92.36,0.00,7.74,154.82,1.41,0.01,0.12,1.81,98.09,0.00,2.82,56.33,0.81,0.04,0.39,1.49,98.51,0.00,1.62,32.34,0.63,0.02,0.22,0.70,99.30,0.00,1.27,25.35
2025-07-01,19:06:45.694,1.77,98.23,0.00,1.77,98.23,0.00,0.71,0.04,0.18,0.46,99.54,0.00,1.42,28.49,0.74,0.03,0.11,0.45,99.55,0.00,1.49,29.73,0.80,0.03,0.11,0.47,99.53,0.00,1.59,31.80,1.36,0.03,0.17,2.30,97.70,0.00,2.72,54.42,3.84,0.02,0.38,7.67,92.33,0.00,7.68,153.69,0.84,0.02,0.17,0.76,99.24,0.00,1.67,33.44,0.78,0.05,0.38,1.41,98.59,0.00,1.56,31.27,0.62,0.02,0.20,0.69,99.31,0.00,1.24,24.70
