System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-01,17:49:49.761,2.19,0.30,1.08,24.99,21.46,4.37,87.46,2.57,80.75,0.00,99.87,0.00
2025-07-01,17:49:54.762,2.15,0.31,1.11,25.49,21.95,4.29,85.84,2.59,82.24,0.00,99.94,0.00
2025-07-01,17:49:59.761,2.22,0.32,1.17,24.87,21.06,4.44,88.81,2.65,81.53,0.00,99.89,0.00
2025-07-01,17:50:04.762,2.21,0.32,1.15,25.52,21.88,4.41,88.23,2.74,82.84,0.00,99.91,0.00
2025-07-01,17:50:09.761,2.16,0.33,1.19,25.32,21.87,4.32,86.36,2.74,81.63,0.00,99.83,0.00
2025-07-01,17:50:14.764,2.17,0.32,1.14,25.59,22.05,4.34,86.74,2.68,82.06,0.00,99.95,0.00
2025-07-01,17:50:19.762,2.18,0.32,1.14,25.40,21.84,4.37,87.31,2.66,81.94,0.00,99.92,0.00
2025-07-01,17:50:24.763,2.17,0.30,1.09,25.72,22.26,4.33,86.70,2.61,81.99,0.00,99.95,0.00
2025-07-01,17:50:29.765,2.30,0.30,1.11,25.15,21.40,4.60,92.01,2.61,81.64,0.00,99.93,0.00
2025-07-01,17:50:34.765,2.17,0.30,1.11,25.32,21.51,4.33,86.62,2.66,81.70,0.00,99.94,0.00
2025-07-01,17:50:39.764,2.24,0.33,1.20,25.37,21.50,4.48,89.68,2.77,81.82,0.00,99.95,0.00
2025-07-01,17:50:44.765,2.17,0.32,1.11,25.63,21.82,4.34,86.83,2.59,82.36,0.00,99.93,0.00
2025-07-01,17:50:49.764,2.25,0.31,1.13,25.57,21.78,4.50,89.99,2.66,82.20,0.00,99.96,0.00
2025-07-01,17:50:54.765,2.22,0.29,1.12,25.63,22.27,4.44,88.80,2.70,82.48,0.00,99.91,0.00
2025-07-01,17:50:59.764,2.18,0.31,1.11,25.87,22.40,4.35,87.04,2.58,82.12,0.00,100.00,0.00
2025-07-01,17:51:04.767,2.24,0.30,1.11,25.70,21.95,4.49,89.72,2.68,81.59,0.00,99.89,0.00
2025-07-01,17:51:09.768,2.21,0.32,1.14,25.75,21.93,4.42,88.31,2.61,82.17,0.00,99.98,0.00
2025-07-01,17:51:14.767,2.22,0.30,1.09,25.66,21.94,4.44,88.71,2.62,82.15,0.00,99.96,0.00
2025-07-01,17:51:19.765,2.25,0.32,1.16,25.99,22.18,4.49,89.86,2.69,82.27,0.00,99.95,0.00
2025-07-01,17:51:24.765,2.29,0.32,1.18,25.76,21.92,4.59,91.75,2.66,81.88,0.00,99.96,0.00
2025-07-01,17:51:29.768,2.28,0.31,1.21,25.69,21.81,4.57,91.34,2.67,81.99,0.00,99.95,0.00
2025-07-01,17:51:34.765,2.19,0.36,1.21,25.58,21.29,4.38,87.62,2.63,81.61,0.00,100.00,0.00
2025-07-01,17:51:39.766,2.34,0.33,1.19,25.60,21.59,4.68,93.66,2.72,81.90,0.00,99.97,0.00
2025-07-01,17:51:44.769,2.26,0.32,1.16,25.65,21.67,4.53,90.56,2.64,82.20,0.00,99.98,0.00
2025-07-01,17:51:49.767,2.32,0.32,1.18,26.02,22.11,4.63,92.64,2.62,81.89,0.00,99.95,0.00
2025-07-01,17:51:54.766,2.27,0.33,1.22,26.62,23.48,4.54,90.85,2.69,81.90,0.00,99.95,0.00
2025-07-01,17:51:59.765,2.22,0.33,1.16,26.50,22.82,4.44,88.75,2.61,81.90,0.00,100.00,0.00
2025-07-01,17:52:04.767,2.23,0.33,1.20,26.51,22.66,4.46,89.12,2.66,81.81,0.00,99.98,0.00
2025-07-01,17:52:09.773,2.29,0.31,1.14,26.35,22.44,4.57,91.42,2.66,82.20,0.00,99.95,0.00
2025-07-01,17:52:14.768,2.32,0.32,1.18,26.04,22.01,4.64,92.82,2.71,82.08,0.00,100.00,0.00
2025-07-01,17:52:19.771,2.30,0.32,1.19,26.34,22.71,4.60,91.92,2.66,81.85,0.00,99.99,0.00
2025-07-01,17:52:24.766,2.38,0.31,1.17,26.50,22.56,4.76,95.22,2.63,82.03,0.00,99.98,0.00
2025-07-01,17:52:29.767,2.28,0.32,1.20,26.06,21.93,4.55,91.00,2.67,81.98,0.00,99.97,0.00
2025-07-01,17:52:34.769,2.31,0.31,1.12,26.05,21.85,4.61,92.28,2.61,82.25,0.00,100.00,0.00
2025-07-01,17:52:39.766,2.34,0.31,1.17,26.36,22.33,4.68,93.62,2.63,82.60,0.00,100.00,0.00
2025-07-01,17:52:44.770,2.26,0.31,1.11,26.26,22.13,4.52,90.41,2.55,82.21,0.00,99.98,0.00
2025-07-01,17:52:49.767,2.49,0.24,1.01,25.49,22.39,4.97,99.49,2.65,75.86,0.00,99.95,0.00
