System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-02,00:19:48.261,3.42,93.20,0.00,3.42,93.20,0.00,0.30,0.04,0.09,0.56,96.51,0.00,0.61,12.19,0.16,0.04,0.09,0.50,97.39,0.00,0.32,6.33,0.29,0.06,0.11,0.94,92.87,0.00,0.57,11.47,1.63,0.10,0.37,10.66,87.04,0.00,3.27,65.34,1.78,0.04,0.17,4.99,92.08,0.00,3.55,71.07,1.63,0.03,0.16,5.14,92.75,0.00,3.26,65.14,0.33,0.09,0.25,2.00,91.82,0.00,0.66,13.22,0.19,0.11,0.45,2.57,95.14,0.00,0.38,7.61
2025-07-02,00:19:53.261,3.57,96.09,0.00,3.57,96.09,0.00,0.22,0.04,0.10,0.54,98.86,0.00,0.44,8.81,0.26,0.04,0.11,0.54,99.10,0.00,0.52,10.36,0.34,0.06,0.11,0.98,98.63,0.00,0.69,13.71,1.44,0.12,0.40,10.14,89.86,0.00,2.87,57.48,1.69,0.05,0.19,5.15,94.25,0.00,3.39,67.78,1.64,0.05,0.20,5.46,94.17,0.00,3.29,65.75,0.34,0.11,0.32,2.51,97.10,0.00,0.68,13.64,0.19,0.13,0.52,3.24,96.76,0.00,0.38,7.66
2025-07-02,00:19:58.261,3.53,96.13,0.00,3.53,96.13,0.00,0.28,0.04,0.10,0.54,98.95,0.00,0.56,11.11,0.23,0.04,0.10,0.53,98.92,0.00,0.47,9.37,0.37,0.06,0.12,1.03,98.70,0.00,0.75,14.93,1.55,0.10,0.37,10.34,89.65,0.00,3.09,61.88,1.51,0.05,0.19,4.96,94.52,0.00,3.02,60.47,1.86,0.04,0.19,5.27,94.18,0.00,3.71,74.25,0.33,0.11,0.31,2.48,97.25,0.00,0.66,13.12,0.20,0.13,0.55,3.10,96.89,0.00,0.40,7.94
2025-07-02,00:20:03.261,3.51,96.17,0.00,3.51,96.17,0.00,0.19,0.04,0.09,0.51,99.13,0.00,0.37,7.45,0.20,0.04,0.09,0.52,98.85,0.00,0.39,7.88,0.42,0.05,0.11,0.97,98.75,0.00,0.84,16.87,1.45,0.11,0.38,10.43,89.56,0.00,2.90,57.95,1.71,0.04,0.19,5.25,94.39,0.00,3.41,68.29,1.84,0.04,0.18,5.04,94.33,0.00,3.69,73.74,0.33,0.10,0.30,2.36,97.36,0.00,0.67,13.35,0.21,0.12,0.54,3.00,97.00,0.00,0.42,8.36
2025-07-02,00:20:08.261,3.56,96.11,0.00,3.56,96.11,0.00,0.22,0.04,0.09,0.49,98.93,0.00,0.43,8.70,0.27,0.04,0.10,0.51,98.98,0.00,0.54,10.88,0.43,0.06,0.10,0.92,98.86,0.00,0.87,17.33,1.57,0.10,0.38,10.48,89.52,0.00,3.14,62.84,1.80,0.04,0.19,5.10,94.31,0.00,3.59,71.83,1.62,0.05,0.19,5.35,94.14,0.00,3.24,64.87,0.33,0.11,0.31,2.43,97.35,0.00,0.66,13.17,0.20,0.13,0.54,3.16,96.84,0.00,0.40,8.00
2025-07-02,00:20:13.261,3.54,96.12,0.00,3.54,96.12,0.00,0.23,0.04,0.10,0.59,98.91,0.00,0.46,9.17,0.19,0.04,0.10,0.52,98.95,0.00,0.37,7.47,0.34,0.06,0.11,0.98,98.69,0.00,0.68,13.62,1.37,0.11,0.39,9.97,90.02,0.00,2.74,54.83,1.70,0.04,0.17,5.31,94.19,0.00,3.39,67.89,1.76,0.05,0.19,5.20,94.28,0.00,3.53,70.53,0.34,0.11,0.31,2.49,97.19,0.00,0.68,13.67,0.21,0.14,0.56,3.22,96.77,0.00,0.41,8.22
2025-07-02,00:20:18.261,3.56,96.08,0.00,3.56,96.08,0.00,0.37,0.04,0.09,0.54,98.71,0.00,0.73,14.68,0.23,0.03,0.09,0.46,99.11,0.00,0.45,9.08,0.36,0.06,0.11,1.00,98.75,0.00,0.73,14.59,1.49,0.09,0.35,10.52,89.47,0.00,2.99,59.80,1.78,0.05,0.20,5.30,93.95,0.00,3.55,71.02,1.60,0.05,0.19,4.90,94.67,0.00,3.19,63.89,0.38,0.11,0.32,2.53,97.21,0.00,0.76,15.26,0.19,0.13,0.54,3.23,96.75,0.00,0.38,7.64
2025-07-02,00:20:23.261,3.61,95.95,0.00,3.61,95.95,0.00,0.30,0.04,0.11,0.59,98.59,0.00,0.59,11.82,0.21,0.05,0.12,0.64,98.85,0.00,0.42,8.30,0.35,0.07,0.13,1.14,98.42,0.00,0.69,13.83,1.55,0.11,0.40,10.32,89.66,0.00,3.10,62.10,1.68,0.04,0.19,5.17,94.01,0.00,3.37,67.33,1.76,0.05,0.20,5.19,94.31,0.00,3.51,70.28,0.33,0.11,0.32,2.57,97.00,0.00,0.67,13.37,0.19,0.13,0.54,3.24,96.75,0.00,0.39,7.70
2025-07-02,00:20:28.262,3.49,96.13,0.00,3.49,96.13,0.00,0.24,0.04,0.09,0.49,98.95,0.00,0.47,9.50,0.27,0.03,0.08,0.46,98.93,0.00,0.53,10.65,0.40,0.05,0.09,0.88,98.78,0.00,0.80,16.08,1.53,0.11,0.40,10.32,89.68,0.00,3.06,61.14,1.71,0.04,0.18,5.20,94.23,0.00,3.41,68.30,1.63,0.05,0.19,4.96,94.43,0.00,3.27,65.38,0.35,0.10,0.29,2.47,97.19,0.00,0.69,13.87,0.19,0.14,0.57,3.15,96.85,0.00,0.39,7.74
2025-07-02,00:20:33.262,3.56,96.12,0.00,3.56,96.12,0.00,0.22,0.05,0.11,0.58,98.77,0.00,0.45,8.91,0.26,0.03,0.10,0.52,99.02,0.00,0.52,10.48,0.38,0.06,0.12,0.97,98.85,0.00,0.75,15.06,1.66,0.11,0.42,10.58,89.42,0.00,3.33,66.56,1.76,0.04,0.19,5.33,94.02,0.00,3.53,70.50,1.65,0.05,0.18,5.16,94.38,0.00,3.31,66.19,0.33,0.10,0.31,2.42,97.41,0.00,0.66,13.19,0.22,0.12,0.56,2.92,97.08,0.00,0.44,8.74
