System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-02,00:03:56.787,1.47,0.08,0.68,0.79,0.12,2.94,58.90,1.86,91.57,0.00,99.59,0.00
2025-07-02,00:04:01.787,1.47,0.06,0.68,0.79,0.12,2.95,58.93,1.91,97.18,0.00,100.00,0.00
2025-07-02,00:04:06.786,1.48,0.06,0.71,0.74,0.11,2.96,59.11,1.91,97.12,0.00,100.00,0.00
2025-07-02,00:04:11.787,1.48,0.08,0.72,0.88,0.13,2.96,59.27,1.94,97.09,0.00,100.00,0.00
2025-07-02,00:04:16.787,1.46,0.07,0.76,0.80,0.12,2.93,58.55,1.71,97.37,0.00,100.00,0.00
2025-07-02,00:04:21.790,1.45,0.07,0.77,0.72,0.11,2.90,57.98,1.72,97.24,0.00,100.00,0.00
2025-07-02,00:04:26.789,1.46,0.07,0.74,0.76,0.11,2.92,58.48,1.72,97.39,0.00,100.00,0.00
2025-07-02,00:04:31.790,1.46,0.08,0.76,0.85,0.12,2.91,58.28,1.70,97.42,0.00,100.00,0.00
2025-07-02,00:04:36.789,1.45,0.08,0.77,0.80,0.11,2.91,58.18,1.71,97.57,0.00,100.00,0.00
2025-07-02,00:04:41.789,1.46,0.07,0.75,0.83,0.13,2.92,58.48,1.70,97.49,0.00,100.00,0.00
2025-07-02,00:04:46.789,1.47,0.07,0.72,0.82,0.12,2.94,58.79,1.81,97.32,0.00,100.00,0.00
2025-07-02,00:04:51.789,1.48,0.09,0.73,0.84,0.12,2.96,59.28,1.93,97.08,0.00,100.00,0.00
2025-07-02,00:04:56.790,1.48,0.06,0.68,0.81,0.12,2.96,59.21,1.92,97.32,0.00,100.00,0.00
2025-07-02,00:05:01.789,1.46,0.07,0.75,0.84,0.13,2.92,58.46,1.81,97.37,0.00,100.00,0.00
2025-07-02,00:05:06.789,1.46,0.07,0.77,0.72,0.11,2.92,58.34,1.78,97.42,0.00,100.00,0.00
2025-07-02,00:05:11.790,1.46,0.08,0.80,0.89,0.13,2.93,58.57,1.86,97.44,0.00,100.00,0.00
2025-07-02,00:05:16.790,1.48,0.07,0.71,0.80,0.12,2.96,59.15,1.92,97.36,0.00,100.00,0.00
2025-07-02,00:05:21.790,1.47,0.06,0.72,0.76,0.12,2.94,58.89,1.90,97.36,0.00,100.00,0.00
2025-07-02,00:05:26.790,1.48,0.05,0.70,0.72,0.11,2.95,59.06,1.86,97.43,0.00,100.00,0.00
2025-07-02,00:05:31.790,1.46,0.07,0.74,0.81,0.12,2.93,58.51,1.84,97.50,0.00,100.00,0.00
2025-07-02,00:05:36.788,1.48,0.07,0.74,0.79,0.11,2.95,59.04,1.92,97.38,0.00,100.00,0.00
2025-07-02,00:05:41.790,1.48,0.07,0.75,0.91,0.13,2.96,59.15,1.83,97.36,0.00,100.00,0.00
2025-07-02,00:05:46.790,1.45,0.08,0.78,0.83,0.12,2.91,58.15,1.83,97.35,0.00,100.00,0.00
2025-07-02,00:05:51.789,1.46,0.09,0.77,0.98,0.13,2.92,58.40,1.81,97.43,0.00,100.00,0.00
2025-07-02,00:05:56.790,1.46,0.06,0.77,0.80,0.11,2.93,58.56,1.92,97.24,0.00,100.00,0.00
2025-07-02,00:06:01.789,1.47,0.08,0.75,0.76,0.11,2.94,58.74,1.89,97.29,0.00,100.00,0.00
2025-07-02,00:06:06.790,1.47,0.07,0.72,0.76,0.11,2.95,58.91,1.94,97.28,0.00,100.00,0.00
2025-07-02,00:06:11.789,1.46,0.07,0.71,0.81,0.12,2.93,58.57,1.86,97.39,0.00,100.00,0.00
2025-07-02,00:06:16.789,1.45,0.08,0.75,0.89,0.13,2.90,57.94,1.96,97.50,0.00,100.00,0.00
2025-07-02,00:06:21.789,1.46,0.07,0.70,0.71,0.11,2.91,58.26,1.92,97.54,0.00,100.00,0.00
2025-07-02,00:06:26.789,1.45,0.07,0.71,0.80,0.12,2.91,58.13,1.90,97.62,0.00,100.00,0.00
2025-07-02,00:06:31.789,1.45,0.07,0.74,0.74,0.12,2.90,57.90,1.93,97.36,0.00,100.00,0.00
2025-07-02,00:06:36.789,1.47,0.06,0.71,0.83,0.12,2.93,58.60,1.90,97.52,0.00,100.00,0.00
2025-07-02,00:06:41.789,1.45,0.09,0.79,0.84,0.13,2.89,57.80,1.96,97.47,0.00,100.00,0.00
2025-07-02,00:06:46.789,1.47,0.08,0.74,0.87,0.13,2.93,58.61,1.99,97.53,0.00,100.00,0.00
2025-07-02,00:06:51.790,1.45,0.07,0.74,0.76,0.12,2.91,58.12,1.91,97.52,0.00,100.00,0.00
2025-07-02,00:06:56.789,1.57,0.08,0.50,1.20,0.27,3.14,62.73,1.86,77.70,0.00,97.47,0.11
