System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-03,23:42:07.815,26.99,59.54,0.00,26.99,59.54,0.00,0.38,0.70,2.06,5.47,81.74,0.00,0.76,15.29,0.48,0.32,0.97,3.67,81.75,0.00,0.96,19.20,0.53,0.30,0.77,3.50,81.16,0.00,1.06,21.28,2.14,0.60,3.58,59.12,29.72,0.00,4.28,85.64,2.47,0.54,3.43,59.33,27.88,0.00,4.94,98.86,2.19,0.50,3.13,56.19,29.22,0.00,4.38,87.57,0.54,0.69,3.02,13.72,70.94,0.00,1.08,21.55,0.36,0.59,4.71,14.89,73.94,0.00,0.71,14.20
2025-07-03,23:42:12.815,28.36,66.18,0.00,28.36,66.18,0.00,0.41,0.66,1.98,5.42,86.63,0.00,0.81,16.28,0.46,0.35,1.08,3.96,86.82,0.00,0.92,18.33,0.61,0.30,0.72,3.66,94.92,0.00,1.22,24.40,1.98,0.65,3.82,58.10,38.66,0.00,3.97,79.40,2.34,0.55,3.82,60.73,31.32,0.00,4.67,93.49,2.31,0.54,3.81,59.81,30.97,0.00,4.61,92.20,0.54,0.80,3.59,16.94,81.63,0.00,1.08,21.57,0.37,0.69,5.53,18.29,78.47,0.00,0.75,14.96
2025-07-03,23:42:17.816,27.99,66.94,0.00,27.99,66.94,0.00,0.45,0.54,1.70,4.73,88.90,0.00,0.90,17.91,0.41,0.36,1.07,3.74,88.46,0.00,0.81,16.30,0.57,0.30,0.72,3.38,94.56,0.00,1.14,22.81,2.16,0.60,3.84,59.93,36.03,0.00,4.31,86.28,2.08,0.55,3.43,56.60,37.03,0.00,4.17,83.31,2.47,0.55,3.89,61.44,30.76,0.00,4.95,98.90,0.54,0.80,3.57,16.25,81.69,0.00,1.07,21.47,0.36,0.68,5.82,17.83,78.13,0.00,0.72,14.33
2025-07-03,23:42:22.817,28.43,66.10,0.00,28.43,66.10,0.00,0.41,0.62,1.95,5.25,87.47,0.00,0.83,16.50,0.40,0.34,1.00,3.84,87.02,0.00,0.80,15.95,0.65,0.31,0.72,3.70,94.65,0.00,1.31,26.15,2.27,0.58,3.92,61.62,34.58,0.00,4.53,90.62,2.35,0.61,4.03,62.71,30.01,0.00,4.69,93.88,1.91,0.61,3.59,55.17,35.69,0.00,3.82,76.43,0.53,0.84,3.60,16.71,81.64,0.00,1.06,21.27,0.35,0.68,6.04,18.45,77.75,0.00,0.69,13.84
2025-07-03,23:42:27.817,28.46,66.62,0.00,28.46,66.62,0.00,0.38,0.65,2.02,5.23,88.19,0.00,0.75,15.03,0.44,0.34,0.97,3.91,87.77,0.00,0.89,17.76,0.59,0.33,0.79,3.80,94.78,0.00,1.19,23.75,2.13,0.62,3.83,61.40,35.23,0.00,4.26,85.14,2.49,0.51,3.84,64.16,29.25,0.00,4.98,99.59,1.85,0.70,3.82,53.47,38.21,0.00,3.70,74.00,0.53,0.84,3.65,17.21,81.37,0.00,1.06,21.28,0.36,0.69,5.84,18.52,78.12,0.00,0.71,14.26
2025-07-03,23:42:32.817,28.23,66.28,0.00,28.23,66.28,0.00,0.48,0.58,1.75,5.24,87.43,0.00,0.96,19.28,0.46,0.35,1.01,3.96,86.75,0.00,0.91,18.29,0.53,0.29,0.71,3.45,94.62,0.00,1.07,21.34,2.39,0.64,4.19,64.41,32.21,0.00,4.78,95.65,2.06,0.55,3.43,56.61,36.06,0.00,4.13,82.58,2.13,0.54,3.47,57.08,33.62,0.00,4.25,85.04,0.54,0.82,3.56,16.68,81.39,0.00,1.09,21.79,0.35,0.70,6.34,18.44,78.18,0.00,0.69,13.85
2025-07-03,23:42:37.818,28.47,65.46,0.00,28.47,65.46,0.00,0.41,0.61,1.83,5.15,86.20,0.00,0.83,16.55,0.47,0.29,0.96,3.58,85.08,0.00,0.94,18.77,0.52,0.34,0.79,3.62,94.74,0.00,1.04,20.74,2.10,0.56,3.62,59.84,37.51,0.00,4.19,83.83,2.11,0.63,3.97,58.20,33.15,0.00,4.22,84.49,2.35,0.55,3.84,61.06,27.61,0.00,4.70,94.00,0.54,0.82,3.63,17.54,80.81,0.00,1.08,21.58,0.37,0.67,5.70,18.80,78.56,0.00,0.74,14.83
2025-07-03,23:42:42.817,28.30,66.07,0.00,28.30,66.07,0.00,0.40,0.56,1.82,4.88,86.60,0.00,0.81,16.14,0.52,0.37,1.07,4.10,85.91,0.00,1.04,20.77,0.56,0.30,0.71,3.39,95.14,0.00,1.11,22.22,2.13,0.63,3.91,59.25,38.20,0.00,4.25,85.08,2.32,0.56,3.93,60.95,30.54,0.00,4.65,92.90,2.13,0.62,3.89,58.75,31.26,0.00,4.26,85.27,0.54,0.81,3.59,16.90,81.63,0.00,1.09,21.74,0.37,0.66,5.73,18.14,79.31,0.00,0.73,14.69
2025-07-03,23:42:47.817,28.33,66.86,0.00,28.33,66.86,0.00,0.37,0.60,1.93,4.93,87.19,0.00,0.75,14.96,0.49,0.31,0.95,3.56,88.37,0.00,0.99,19.72,0.57,0.33,0.78,3.61,95.05,0.00,1.15,22.97,2.07,0.60,3.69,60.85,37.17,0.00,4.14,82.85,2.40,0.55,4.03,59.80,32.32,0.00,4.81,96.19,2.13,0.59,3.64,58.54,33.38,0.00,4.26,85.27,0.54,0.81,3.59,16.99,81.67,0.00,1.09,21.77,0.37,0.68,5.66,18.32,79.70,0.00,0.74,14.86
2025-07-03,23:42:52.818,28.37,66.57,0.00,28.37,66.57,0.00,0.40,0.60,1.95,5.04,87.31,0.00,0.81,16.10,0.55,0.33,0.99,3.71,88.07,0.00,1.09,21.88,0.58,0.33,0.78,3.58,95.14,0.00,1.16,23.15,2.21,0.63,4.02,61.93,35.00,0.00,4.41,88.29,2.37,0.56,3.94,59.35,33.00,0.00,4.73,94.69,1.99,0.56,3.55,57.59,34.18,0.00,3.98,79.56,0.55,0.82,3.56,17.09,81.63,0.00,1.10,21.96,0.36,0.69,6.02,18.66,78.27,0.00,0.73,14.60
