System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-03,23:46:08.411,2.21,2.23,16.27,13.21,10.36,4.42,88.41,18.43,66.00,0.00,97.48,0.02
2025-07-03,23:46:13.411,2.15,2.49,19.10,13.97,10.84,4.29,85.88,19.35,75.38,0.00,100.00,0.00
2025-07-03,23:46:18.411,2.19,2.26,18.26,13.68,10.74,4.38,87.57,19.17,76.64,0.00,100.00,0.00
2025-07-03,23:46:23.412,2.16,2.40,19.29,13.79,10.87,4.32,86.46,19.46,76.41,0.00,100.00,0.00
2025-07-03,23:46:28.412,2.13,2.47,19.86,13.91,10.89,4.27,85.37,19.44,76.08,0.00,100.00,0.00
2025-07-03,23:46:33.413,2.13,2.47,19.47,13.97,10.90,4.25,85.06,19.59,76.15,0.00,100.00,0.00
2025-07-03,23:46:38.412,2.14,2.45,19.75,13.97,10.88,4.28,85.57,19.33,76.00,0.00,100.00,0.00
2025-07-03,23:46:43.413,2.14,2.42,19.78,13.89,10.88,4.28,85.68,19.27,76.29,0.00,100.00,0.00
2025-07-03,23:46:48.412,2.16,2.41,19.26,13.72,10.74,4.31,86.20,19.30,75.22,0.00,100.00,0.00
2025-07-03,23:46:53.412,2.14,2.36,20.32,13.82,10.87,4.29,85.75,19.36,76.03,0.00,100.00,0.00
2025-07-03,23:46:58.413,2.11,2.47,19.74,14.00,10.92,4.23,84.55,19.47,76.07,0.00,100.00,0.00
2025-07-03,23:47:03.413,2.14,2.26,20.42,13.79,10.91,4.28,85.52,19.20,76.48,0.00,100.00,0.00
2025-07-03,23:47:08.412,2.11,2.48,20.31,13.97,10.98,4.23,84.60,19.54,75.21,0.00,100.00,0.00
2025-07-03,23:47:13.413,2.10,2.51,20.58,13.91,11.05,4.19,83.85,19.71,75.11,0.00,100.00,0.00
2025-07-03,23:47:18.413,2.10,2.52,21.05,14.09,11.15,4.19,83.84,19.71,75.13,0.00,100.00,0.00
2025-07-03,23:47:23.414,2.11,2.48,20.63,13.97,11.09,4.22,84.33,19.55,75.00,0.00,100.00,0.00
2025-07-03,23:47:28.413,2.11,2.50,20.24,14.04,11.10,4.22,84.42,19.65,74.89,0.00,100.00,0.00
2025-07-03,23:47:33.413,2.12,2.34,20.42,13.86,11.01,4.24,84.86,19.38,75.49,0.00,100.00,0.00
2025-07-03,23:47:38.414,2.12,2.48,20.36,13.92,11.02,4.24,84.70,19.54,75.66,0.00,100.00,0.00
2025-07-03,23:47:43.413,2.10,2.41,20.43,13.82,10.98,4.21,84.17,19.55,75.13,0.00,100.00,0.00
2025-07-03,23:47:48.414,2.10,2.69,20.95,14.23,11.16,4.20,84.01,19.64,74.97,0.00,100.00,0.00
2025-07-03,23:47:53.413,2.12,2.39,20.21,13.85,11.00,4.24,84.80,19.57,75.69,0.00,100.00,0.00
2025-07-03,23:47:58.414,2.10,2.60,21.04,14.12,11.17,4.19,83.82,19.72,75.12,0.00,100.00,0.00
2025-07-03,23:48:03.414,2.11,2.34,19.98,13.95,11.11,4.22,84.34,19.44,73.67,0.00,100.00,0.00
2025-07-03,23:48:08.414,2.11,2.44,20.70,14.01,11.10,4.23,84.58,19.48,75.16,0.00,100.00,0.00
2025-07-03,23:48:13.415,2.13,2.40,20.29,13.91,11.03,4.26,85.22,19.49,75.37,0.00,100.00,0.00
2025-07-03,23:48:18.414,2.11,2.53,21.31,14.13,11.21,4.21,84.22,19.70,75.69,0.00,100.00,0.00
2025-07-03,23:48:23.415,2.12,2.38,20.09,13.90,10.98,4.24,84.71,19.48,74.48,0.00,100.00,0.00
2025-07-03,23:48:28.414,2.10,2.53,20.28,14.14,11.08,4.21,84.10,19.61,74.54,0.00,100.00,0.00
2025-07-03,23:48:33.415,2.14,2.30,19.86,13.80,10.91,4.28,85.52,19.24,74.32,0.00,100.00,0.00
2025-07-03,23:48:38.415,2.11,2.49,20.42,14.01,11.04,4.23,84.57,19.51,74.68,0.00,100.00,0.00
2025-07-03,23:48:43.414,2.13,2.34,20.06,13.90,11.00,4.26,85.27,19.35,75.36,0.00,100.00,0.00
2025-07-03,23:48:48.415,2.11,2.47,20.39,13.98,11.02,4.22,84.34,19.54,74.54,0.00,100.00,0.00
2025-07-03,23:48:53.415,2.12,2.37,20.23,13.80,10.92,4.25,84.94,19.45,75.26,0.00,100.00,0.00
2025-07-03,23:48:58.416,2.10,2.52,20.68,14.03,11.04,4.21,84.18,19.64,74.52,0.00,100.00,0.00
2025-07-03,23:49:03.416,2.13,2.38,20.08,13.91,11.01,4.26,85.15,19.53,74.66,0.00,100.00,0.00
2025-07-03,23:49:08.416,2.43,1.79,10.40,13.35,10.55,4.85,97.08,18.63,42.72,0.00,95.81,0.00
