System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-04,18:13:05.047,13.56,81.11,0.00,13.56,81.11,0.00,0.72,0.16,0.53,2.05,93.88,0.00,1.44,28.87,0.58,0.15,0.51,1.84,94.69,0.00,1.17,23.35,0.68,0.15,0.45,1.98,90.32,0.00,1.37,27.32,2.04,0.23,2.64,27.57,66.36,0.00,4.08,81.53,2.16,0.21,2.31,26.68,69.25,0.00,4.31,86.21,2.29,0.22,2.54,28.14,68.38,0.00,4.58,91.52,0.96,0.26,2.38,9.69,82.61,0.00,1.93,38.55,0.63,0.23,3.27,10.52,83.41,0.00,1.27,25.36
2025-07-04,18:13:10.048,13.42,86.57,0.00,13.42,86.57,0.00,0.59,0.19,0.56,1.68,98.29,0.00,1.18,23.55,0.72,0.19,0.63,1.80,98.20,0.00,1.44,28.73,0.68,0.14,0.42,1.56,98.44,0.00,1.37,27.39,1.73,0.29,3.10,27.11,72.89,0.00,3.45,69.06,2.28,0.23,2.81,28.20,71.77,0.00,4.56,91.26,2.35,0.27,3.03,27.58,72.42,0.00,4.70,93.91,0.94,0.30,2.80,9.41,90.59,0.00,1.89,37.78,0.61,0.27,3.84,10.04,89.96,0.00,1.22,24.48
2025-07-04,18:13:15.047,13.37,86.61,0.00,13.37,86.61,0.00,0.61,0.22,0.61,1.84,98.14,0.00,1.22,24.47,0.71,0.18,0.60,1.78,98.17,0.00,1.43,28.56,0.76,0.19,0.53,1.91,98.09,0.00,1.53,30.50,1.98,0.26,3.15,28.44,71.56,0.00,3.97,79.34,2.25,0.23,2.87,27.48,72.50,0.00,4.50,90.02,2.11,0.29,2.93,26.26,73.69,0.00,4.23,84.58,0.95,0.31,2.84,9.31,90.69,0.00,1.90,38.07,0.60,0.27,4.22,9.97,90.03,0.00,1.20,24.02
2025-07-04,18:13:20.051,15.46,84.53,0.00,15.46,84.53,0.00,0.73,0.20,0.56,2.20,97.79,0.00,1.46,29.20,0.63,0.14,0.53,1.86,98.11,0.00,1.26,25.20,0.71,0.16,0.46,2.12,97.88,0.00,1.43,28.57,1.63,0.25,2.78,30.76,69.24,0.00,3.25,65.08,2.08,0.24,2.86,29.25,70.74,0.00,4.15,83.04,2.43,0.26,3.15,30.17,69.80,0.00,4.86,97.13,1.00,0.30,2.90,12.90,87.10,0.00,1.99,39.90,0.66,0.26,3.95,14.38,85.62,0.00,1.31,26.26
2025-07-04,18:13:25.047,13.76,86.23,0.00,13.76,86.23,0.00,0.54,0.20,0.65,2.21,97.79,0.00,1.08,21.59,0.63,0.18,0.55,1.92,98.05,0.00,1.25,25.09,0.81,0.19,0.51,2.10,97.90,0.00,1.62,32.46,2.02,0.33,3.44,27.06,72.94,0.00,4.03,80.62,2.36,0.23,2.90,28.39,71.61,0.00,4.72,94.39,1.91,0.24,2.54,27.70,72.27,0.00,3.83,76.53,0.95,0.32,2.90,9.96,90.04,0.00,1.91,38.12,0.61,0.28,4.28,10.74,89.26,0.00,1.21,24.24
2025-07-04,18:13:30.049,13.14,86.86,0.00,13.14,86.86,0.00,0.57,0.15,0.44,1.49,98.49,0.00,1.14,22.82,0.68,0.13,0.39,1.49,98.51,0.00,1.35,27.04,0.69,0.16,0.47,1.71,98.29,0.00,1.38,27.64,3.07,0.29,4.02,30.74,69.26,0.00,6.14,122.72,1.57,0.32,2.86,22.00,77.98,0.00,3.14,62.71,1.49,0.12,1.71,28.74,71.26,0.00,2.97,59.47,0.98,0.32,2.70,8.89,91.11,0.00,1.95,39.08,0.56,0.28,5.49,10.02,89.98,0.00,1.12,22.49
2025-07-04,18:13:35.047,15.53,84.47,0.00,15.53,84.47,0.00,0.66,0.18,0.55,2.21,97.78,0.00,1.32,26.39,0.72,0.14,0.52,2.13,97.87,0.00,1.44,28.78,0.78,0.16,0.49,2.23,97.77,0.00,1.56,31.17,1.82,0.26,2.89,30.56,69.44,0.00,3.63,72.66,2.15,0.26,3.13,28.83,71.15,0.00,4.30,85.94,2.14,0.21,2.65,30.58,69.42,0.00,4.27,85.41,1.01,0.30,2.85,13.04,86.96,0.00,2.01,40.27,0.66,0.26,4.12,14.67,85.33,0.00,1.32,26.44
2025-07-04,18:13:40.049,13.23,86.76,0.00,13.23,86.76,0.00,0.56,0.17,0.52,1.54,98.46,0.00,1.12,22.41,0.69,0.14,0.48,1.45,98.52,0.00,1.38,27.56,0.61,0.16,0.47,1.62,98.38,0.00,1.21,24.24,2.14,0.26,3.23,28.51,71.49,0.00,4.28,85.57,2.13,0.25,2.97,26.67,73.33,0.00,4.27,85.35,2.09,0.26,2.81,27.12,72.85,0.00,4.17,83.44,0.95,0.31,2.81,9.08,90.92,0.00,1.90,38.02,0.60,0.27,4.35,9.89,90.11,0.00,1.20,23.94
2025-07-04,18:13:45.047,13.59,86.38,0.00,13.59,86.38,0.00,0.53,0.17,0.53,1.93,98.07,0.00,1.05,21.02,0.58,0.15,0.46,1.54,98.38,0.00,1.16,23.17,0.66,0.17,0.48,1.79,98.21,0.00,1.33,26.59,2.46,0.27,3.42,28.81,71.19,0.00,4.91,98.26,2.20,0.18,2.50,28.57,71.43,0.00,4.41,88.19,1.60,0.24,2.48,25.55,74.36,0.00,3.20,63.94,0.97,0.30,2.80,9.75,90.25,0.00,1.94,38.87,0.60,0.27,4.79,10.81,89.19,0.00,1.20,24.01
2025-07-04,18:13:50.048,13.20,86.78,0.00,13.20,86.78,0.00,0.58,0.18,0.54,1.67,98.29,0.00,1.17,23.32,0.56,0.17,0.60,1.62,98.34,0.00,1.13,22.52,0.75,0.14,0.43,1.60,98.40,0.00,1.50,29.90,1.76,0.25,2.84,28.46,71.54,0.00,3.52,70.45,1.98,0.25,2.85,24.90,75.06,0.00,3.96,79.16,2.68,0.25,3.26,28.39,71.57,0.00,5.36,107.21,0.95,0.30,2.82,9.19,90.81,0.00,1.90,37.93,0.62,0.26,3.84,9.78,90.22,0.00,1.23,24.64
2025-07-04,18:13:55.047,13.21,86.77,0.00,13.21,86.77,0.00,0.59,0.20,0.54,1.78,98.17,0.00,1.19,23.71,0.63,0.17,0.71,1.73,98.24,0.00,1.26,25.18,0.73,0.18,0.49,1.87,98.13,0.00,1.46,29.21,1.51,0.21,2.37,29.09,70.91,0.00,3.02,60.39,1.63,0.34,3.14,22.55,77.41,0.00,3.26,65.22,3.15,0.28,3.79,29.76,70.22,0.00,6.30,125.98,0.93,0.31,2.88,9.27,90.73,0.00,1.85,37.00,0.62,0.26,3.50,9.64,90.36,0.00,1.24,24.81
2025-07-04,18:14:00.048,14.42,85.56,0.00,14.42,85.56,0.00,0.60,0.18,0.56,2.00,98.00,0.00,1.19,23.84,0.65,0.17,0.61,1.99,97.94,0.00,1.30,26.09,0.72,0.18,0.51,2.06,97.93,0.00,1.44,28.87,1.98,0.32,3.39,28.56,71.44,0.00,3.97,79.34,1.96,0.19,2.62,29.02,70.98,0.00,3.92,78.38,2.29,0.26,2.99,28.40,71.53,0.00,4.58,91.65,0.98,0.31,2.87,11.18,88.80,0.00,1.96,39.15,0.62,0.27,4.30,12.17,87.83,0.00,1.24,24.71
2025-07-04,18:14:05.048,13.75,86.23,0.00,13.75,86.23,0.00,0.65,0.20,0.59,1.93,98.06,0.00,1.29,25.80,0.68,0.18,0.61,1.88,98.09,0.00,1.37,27.31,0.75,0.16,0.48,1.81,98.18,0.00,1.51,30.17,2.11,0.23,3.04,29.25,70.75,0.00,4.22,84.49,2.04,0.23,2.79,26.48,73.51,0.00,4.08,81.51,2.16,0.24,2.78,28.07,71.90,0.00,4.32,86.33,0.97,0.31,2.79,9.89,90.10,0.00,1.93,38.62,0.61,0.26,4.20,10.72,89.28,0.00,1.23,24.55
2025-07-04,18:14:10.048,13.74,86.26,0.00,13.74,86.26,0.00,0.49,0.18,0.52,2.05,97.94,0.00,0.99,19.73,0.62,0.16,0.53,1.71,98.29,0.00,1.24,24.84,0.68,0.17,0.48,1.85,98.15,0.00,1.36,27.21,2.54,0.22,3.06,31.06,68.94,0.00,5.08,101.67,1.69,0.24,2.64,25.16,74.83,0.00,3.39,67.77,1.93,0.27,2.93,27.53,72.47,0.00,3.87,77.32,0.97,0.32,2.77,9.70,90.30,0.00,1.94,38.77,0.59,0.28,4.82,10.86,89.14,0.00,1.19,23.74
2025-07-04,18:14:15.048,15.50,84.50,0.00,15.50,84.50,0.00,0.73,0.18,0.57,2.36,97.64,0.00,1.46,29.19,0.71,0.18,0.62,2.29,97.71,0.00,1.41,28.28,0.71,0.16,0.47,2.20,97.80,0.00,1.42,28.39,1.89,0.26,3.01,29.82,70.18,0.00,3.78,75.66,1.81,0.23,2.59,28.35,71.65,0.00,3.62,72.36,2.37,0.19,2.35,31.91,68.09,0.00,4.75,94.93,1.01,0.31,2.81,12.75,87.25,0.00,2.02,40.34,0.66,0.26,4.06,14.32,85.68,0.00,1.31,26.30
2025-07-04,18:14:20.047,15.33,84.67,0.00,15.33,84.67,0.00,0.65,0.18,0.60,2.34,97.65,0.00,1.30,25.94,0.71,0.14,0.50,1.99,97.99,0.00,1.43,28.58,0.75,0.17,0.49,2.19,97.81,0.00,1.50,30.06,1.98,0.26,3.12,30.74,69.26,0.00,3.97,79.33,2.03,0.21,2.58,28.71,71.28,0.00,4.06,81.18,2.10,0.23,2.74,30.16,69.83,0.00,4.20,84.02,1.00,0.31,2.84,12.51,87.49,0.00,2.00,40.07,0.64,0.27,4.29,13.97,86.03,0.00,1.28,25.69
2025-07-04,18:14:25.048,15.03,84.97,0.00,15.03,84.97,0.00,0.72,0.19,0.61,2.36,97.64,0.00,1.43,28.61,0.63,0.17,0.57,2.13,97.87,0.00,1.26,25.17,0.71,0.17,0.48,2.13,97.87,0.00,1.43,28.55,2.11,0.27,3.12,30.41,69.59,0.00,4.21,84.28,1.99,0.24,2.63,28.12,71.88,0.00,3.98,79.55,2.03,0.26,2.91,29.88,70.12,0.00,4.07,81.33,0.99,0.31,2.88,11.95,88.05,0.00,1.99,39.76,0.63,0.28,4.49,13.28,86.72,0.00,1.26,25.18
2025-07-04,18:14:30.048,15.61,84.39,0.00,15.61,84.39,0.00,0.58,0.20,0.62,2.68,97.32,0.00,1.17,23.39,0.69,0.17,0.58,2.15,97.85,0.00,1.38,27.56,0.83,0.14,0.44,2.14,97.86,0.00,1.65,33.07,1.61,0.28,3.09,29.18,70.82,0.00,3.22,64.43,2.14,0.22,2.67,30.08,69.92,0.00,4.29,85.76,2.30,0.22,2.67,31.36,68.64,0.00,4.61,92.18,1.00,0.31,2.83,12.91,87.09,0.00,2.01,40.19,0.66,0.27,3.90,14.38,85.62,0.00,1.32,26.41
2025-07-04,18:14:35.047,14.81,85.19,0.00,14.81,85.19,0.00,0.67,0.21,0.65,2.21,97.79,0.00,1.34,26.74,0.67,0.17,0.55,2.06,97.94,0.00,1.35,26.94,0.73,0.16,0.46,1.99,98.01,0.00,1.47,29.33,1.73,0.28,3.12,28.68,71.32,0.00,3.46,69.25,2.37,0.22,2.77,29.46,70.54,0.00,4.74,94.75,2.11,0.25,2.64,29.47,70.53,0.00,4.22,84.30,0.98,0.31,2.83,11.62,88.38,0.00,1.96,39.10,0.64,0.28,4.09,12.99,87.01,0.00,1.27,25.49
2025-07-04,18:14:40.048,15.16,84.83,0.00,15.16,84.83,0.00,0.63,0.18,0.60,2.18,97.82,0.00,1.26,25.30,0.70,0.18,0.58,2.21,97.79,0.00,1.41,28.11,0.76,0.15,0.46,2.13,97.85,0.00,1.51,30.27,1.70,0.30,3.40,29.28,70.72,0.00,3.39,67.85,2.30,0.21,2.65,29.50,70.50,0.00,4.60,91.98,2.17,0.25,2.54,30.59,69.41,0.00,4.33,86.60,0.99,0.31,2.81,12.05,87.93,0.00,1.98,39.51,0.64,0.28,4.06,13.36,86.64,0.00,1.28,25.55
2025-07-04,18:14:45.048,14.79,85.21,0.00,14.79,85.21,0.00,0.68,0.19,0.60,2.32,97.68,0.00,1.37,27.34,0.63,0.16,0.56,2.04,97.95,0.00,1.27,25.31,0.70,0.15,0.46,2.02,97.98,0.00,1.39,27.86,1.85,0.25,3.13,29.30,70.70,0.00,3.69,73.83,2.17,0.19,2.36,27.93,72.07,0.00,4.34,86.74,2.20,0.21,2.42,30.00,69.99,0.00,4.41,88.11,0.99,0.30,2.75,11.66,88.33,0.00,1.97,39.50,0.64,0.26,4.06,13.06,86.94,0.00,1.28,25.57
2025-07-04,18:14:50.047,14.74,85.26,0.00,14.74,85.26,0.00,0.60,0.19,0.58,2.13,97.86,0.00,1.21,24.10,0.63,0.14,0.50,1.72,98.28,0.00,1.26,25.16,0.83,0.13,0.42,2.00,97.99,0.00,1.66,33.15,2.07,0.26,3.05,30.25,69.75,0.00,4.14,82.80,1.65,0.26,2.86,26.28,73.71,0.00,3.30,66.00,2.41,0.20,2.47,31.20,68.80,0.00,4.82,96.32,0.99,0.32,2.81,11.57,88.42,0.00,1.98,39.66,0.63,0.28,4.30,12.77,87.23,0.00,1.26,25.20
2025-07-04,18:14:55.048,15.72,84.28,0.00,15.72,84.28,0.00,0.58,0.20,0.60,2.85,97.15,0.00,1.16,23.23,0.75,0.15,0.53,2.27,97.73,0.00,1.50,30.09,0.76,0.16,0.47,2.33,97.67,0.00,1.51,30.30,2.17,0.24,2.82,31.97,68.03,0.00,4.35,86.95,1.80,0.24,2.71,27.71,72.29,0.00,3.60,72.04,2.04,0.22,2.59,30.80,69.20,0.00,4.09,81.78,1.02,0.31,2.84,13.12,86.88,0.00,2.04,40.71,0.65,0.28,4.43,14.69,85.31,0.00,1.30,25.95
2025-07-04,18:15:00.048,15.01,84.99,0.00,15.01,84.99,0.00,0.68,0.17,0.52,2.13,97.86,0.00,1.36,27.17,0.70,0.14,0.56,2.02,97.98,0.00,1.40,28.01,0.70,0.15,0.47,2.10,97.90,0.00,1.40,27.90,2.12,0.21,2.49,30.19,69.81,0.00,4.23,84.65,1.67,0.23,2.56,26.93,73.06,0.00,3.34,66.85,2.43,0.20,2.36,30.94,69.05,0.00,4.86,97.27,1.00,0.29,2.72,12.23,87.77,0.00,2.00,40.05,0.65,0.26,4.12,13.54,86.46,0.00,1.31,26.14
2025-07-04,18:15:05.048,15.52,84.48,0.00,15.52,84.48,0.00,0.71,0.21,0.68,2.55,97.45,0.00,1.42,28.32,0.65,0.18,0.55,2.38,97.62,0.00,1.29,25.86,0.76,0.17,0.50,2.28,97.72,0.00,1.52,30.44,1.99,0.26,3.08,30.42,69.58,0.00,3.98,79.58,2.38,0.20,2.60,30.57,69.43,0.00,4.77,95.37,1.72,0.25,2.60,28.99,71.01,0.00,3.44,68.77,1.00,0.32,2.86,12.81,87.19,0.00,2.00,39.98,0.65,0.28,4.15,14.18,85.82,0.00,1.30,25.95
2025-07-04,18:15:10.048,15.51,84.49,0.00,15.51,84.49,0.00,0.68,0.18,0.55,2.17,97.83,0.00,1.37,27.33,0.75,0.17,0.57,2.28,97.72,0.00,1.50,29.92,0.72,0.18,0.52,2.31,97.69,0.00,1.44,28.70,2.18,0.25,2.95,31.55,68.45,0.00,4.35,87.09,1.89,0.25,2.67,28.19,71.81,0.00,3.79,75.72,2.09,0.26,2.79,30.73,69.27,0.00,4.19,83.74,1.00,0.33,2.91,12.79,87.21,0.00,2.00,39.93,0.64,0.28,4.46,14.03,85.97,0.00,1.28,25.51
2025-07-04,18:15:15.048,15.48,84.52,0.00,15.48,84.52,0.00,0.48,0.24,0.75,2.66,97.33,0.00,0.97,19.30,0.82,0.22,0.59,2.52,97.48,0.00,1.64,32.75,0.88,0.19,0.51,2.38,97.62,0.00,1.76,35.23,1.59,0.31,3.29,28.49,71.51,0.00,3.17,63.45,2.79,0.17,2.51,32.55,67.43,0.00,5.57,111.47,1.57,0.29,2.84,28.70,71.30,0.00,3.14,62.89,0.99,0.32,2.92,12.61,87.39,0.00,1.98,39.53,0.65,0.28,4.00,13.90,86.10,0.00,1.30,25.90
