Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario51_100rps,1,1_CPU_1_L3,51,100,100.00550030251664,0.297,0.28,0.0,0.432,0.474,0.549,8.141,0
1replicas_scenario52_100rps,1,1_CPU_1_MemBW,52,100,100.00529406914575,0.292,0.286,0.0,0.408,0.495,0.584,1.429,0
1replicas_scenario53_100rps,1,1_CPU_2_MemBW,53,100,100.00542119609996,0.289,0.281,0.0,0.393,0.434,0.553,2.969,0
1replicas_scenario54_100rps,1,2_CPU_1_MemBW,54,100,100.00539742519516,0.238,0.224,0.0,0.352,0.393,0.531,0.926,0
1replicas_scenario55_100rps,1,1_CPU_2_L3,55,100,100.00530113711676,0.395,0.323,0.0,0.724,0.79,0.879,3.759,0
1replicas_scenario56_100rps,1,1_CPU_1_L3_1_MemBW,56,100,100.00516962445857,0.34,0.316,0.0,0.513,0.545,0.601,3.373,0
1replicas_scenario57_100rps,1,2_CPU_1_L3,57,100,100.00528736565869,0.269,0.265,0.0,0.35,0.384,0.491,2.762,0
1replicas_scenario68_100rps,1,1_L3_3_MemBW,68,100,100.00501532541116,0.386,0.337,0.0,0.612,0.727,0.803,4.05,0
1replicas_scenario51_500rps,1,1_CPU_1_L3,51,500,500.0033484557575,0.116,0.109,0.0,0.153,0.176,0.252,3.78,0
1replicas_scenario52_500rps,1,1_CPU_1_MemBW,52,500,500.00286194138135,0.098,0.091,0.0,0.125,0.139,0.191,4.313,0
1replicas_scenario53_500rps,1,1_CPU_2_MemBW,53,500,500.00547215155495,0.106,0.1,0.0,0.136,0.156,0.223,3.884,0
1replicas_scenario54_500rps,1,2_CPU_1_MemBW,54,500,500.00352253037187,0.102,0.094,0.0,0.135,0.157,0.212,3.605,0
1replicas_scenario55_500rps,1,1_CPU_2_L3,55,500,499.99715014124354,0.226,0.154,0.0,0.464,0.514,0.604,3.923,0
1replicas_scenario56_500rps,1,1_CPU_1_L3_1_MemBW,56,500,500.0034124038444,0.132,0.126,0.0,0.173,0.2,0.273,2.464,0
1replicas_scenario57_500rps,1,2_CPU_1_L3,57,500,500.0052260518449,0.12,0.114,0.0,0.16,0.183,0.252,2.338,0
1replicas_scenario68_500rps,1,1_L3_3_MemBW,68,500,500.0052094959438,0.181,0.176,0.0,0.28,0.31,0.426,3.273,0
1replicas_scenario51_1000rps,1,1_CPU_1_L3,51,1000,1000.0029904200537,0.112,0.106,0.0,0.149,0.164,0.221,3.423,0
1replicas_scenario52_1000rps,1,1_CPU_1_MemBW,52,1000,1000.0015037911503,0.115,0.097,0.0,0.178,0.198,0.245,3.891,0
1replicas_scenario53_1000rps,1,1_CPU_2_MemBW,53,1000,1000.0041030501683,0.101,0.092,0.0,0.141,0.163,0.209,3.918,0
1replicas_scenario54_1000rps,1,2_CPU_1_MemBW,54,1000,1000.0041033279483,0.093,0.089,0.0,0.115,0.125,0.164,3.996,0
1replicas_scenario55_1000rps,1,1_CPU_2_L3,55,1000,1000.0016520693961,0.223,0.148,0.0,0.462,0.513,0.602,8.755,0
1replicas_scenario56_1000rps,1,1_CPU_1_L3_1_MemBW,56,1000,1000.0027435686383,0.122,0.113,0.0,0.176,0.216,0.283,4.0,0
1replicas_scenario57_1000rps,1,2_CPU_1_L3,57,1000,1000.0025592509942,0.122,0.113,0.0,0.171,0.2,0.266,3.585,0
1replicas_scenario68_1000rps,1,1_L3_3_MemBW,68,1000,1000.0009483397882,0.154,0.136,0.0,0.245,0.28,0.355,3.795,0
1replicas_scenario51_1500rps,1,1_CPU_1_L3,51,1500,1500.0051467426592,0.11,0.103,0.0,0.147,0.166,0.23,3.909,0
1replicas_scenario52_1500rps,1,1_CPU_1_MemBW,52,1500,1500.0022071725334,0.091,0.087,0.0,0.113,0.123,0.165,3.82,0
1replicas_scenario53_1500rps,1,1_CPU_2_MemBW,53,1500,1500.001603568381,0.103,0.092,0.0,0.147,0.171,0.225,3.515,0
1replicas_scenario54_1500rps,1,2_CPU_1_MemBW,54,1500,1500.000887475525,0.106,0.093,0.0,0.162,0.188,0.245,4.156,0
1replicas_scenario55_1500rps,1,1_CPU_2_L3,55,1500,1499.9997553435783,0.224,0.14,0.0,0.47,0.537,0.696,4.329,0
1replicas_scenario56_1500rps,1,1_CPU_1_L3_1_MemBW,56,1500,1500.005854331182,0.124,0.11,0.0,0.192,0.23,0.306,3.833,0
1replicas_scenario57_1500rps,1,2_CPU_1_L3,57,1500,1500.006823014369,0.107,0.101,0.0,0.142,0.159,0.221,3.558,0
1replicas_scenario68_1500rps,1,1_L3_3_MemBW,68,1500,1500.0051646375427,0.144,0.125,0.0,0.231,0.263,0.346,3.816,0
1replicas_scenario51_2000rps,1,1_CPU_1_L3,51,2000,2000.0018695239698,0.113,0.106,0.0,0.156,0.183,0.248,4.274,0
1replicas_scenario52_2000rps,1,1_CPU_1_MemBW,52,2000,2000.0034961950005,0.102,0.092,0.0,0.145,0.177,0.26,3.025,0
1replicas_scenario53_2000rps,1,1_CPU_2_MemBW,53,2000,1999.9995375223293,0.183,0.174,0.0,0.259,0.29,0.355,4.08,0
1replicas_scenario54_2000rps,1,2_CPU_1_MemBW,54,2000,2000.011940915737,0.099,0.09,0.0,0.134,0.16,0.24,3.216,0
1replicas_scenario55_2000rps,1,1_CPU_2_L3,55,2000,2000.0032611164286,0.227,0.161,0.0,0.477,0.569,0.734,4.818,0
1replicas_scenario56_2000rps,1,1_CPU_1_L3_1_MemBW,56,2000,2000.0004588124907,0.148,0.125,0.0,0.249,0.292,0.392,5.614,0
1replicas_scenario57_2000rps,1,2_CPU_1_L3,57,2000,1999.9996854889384,0.137,0.122,0.0,0.208,0.244,0.336,3.163,0
1replicas_scenario68_2000rps,1,1_L3_3_MemBW,68,2000,2000.0006006018486,0.145,0.126,0.0,0.227,0.269,0.385,3.619,0
1replicas_scenario51_2500rps,1,1_CPU_1_L3,51,2500,2500.0025556471805,0.12,0.109,0.0,0.17,0.202,0.305,4.634,0
1replicas_scenario52_2500rps,1,1_CPU_1_MemBW,52,2500,2499.999336264065,0.172,0.165,0.0,0.258,0.294,0.378,3.926,0
1replicas_scenario53_2500rps,1,1_CPU_2_MemBW,53,2500,2500.0012186448994,0.121,0.104,0.0,0.183,0.22,0.314,4.793,0
1replicas_scenario54_2500rps,1,2_CPU_1_MemBW,54,2500,2500.00218784011,0.191,0.179,0.0,0.271,0.304,0.393,3.874,0
1replicas_scenario55_2500rps,1,1_CPU_2_L3,55,2500,2500.0045644490324,0.202,0.129,0.0,0.476,0.576,0.746,6.286,0
1replicas_scenario56_2500rps,1,1_CPU_1_L3_1_MemBW,56,2500,2500.0031464345157,0.127,0.114,0.0,0.18,0.225,0.346,4.415,0
1replicas_scenario57_2500rps,1,2_CPU_1_L3,57,2500,2500.0011691533246,0.173,0.154,0.0,0.274,0.322,0.429,4.796,0
1replicas_scenario68_2500rps,1,1_L3_3_MemBW,68,2500,2500.002096978641,0.154,0.128,0.0,0.255,0.296,0.404,3.993,0
1replicas_scenario51_3000rps,1,1_CPU_1_L3,51,3000,3000.005524422165,0.143,0.124,0.0,0.22,0.262,0.405,3.6,0
1replicas_scenario52_3000rps,1,1_CPU_1_MemBW,52,3000,3000.002362800681,0.104,0.093,0.0,0.143,0.168,0.273,3.664,0
1replicas_scenario53_3000rps,1,1_CPU_2_MemBW,53,3000,3000.005115395973,0.12,0.102,0.0,0.184,0.223,0.334,3.673,0
1replicas_scenario54_3000rps,1,2_CPU_1_MemBW,54,3000,3000.0042410749606,0.114,0.098,0.0,0.172,0.211,0.318,3.78,0
1replicas_scenario55_3000rps,1,1_CPU_2_L3,55,3000,2999.9953952070678,0.238,0.168,0.0,0.51,0.605,0.814,6.38,0
1replicas_scenario56_3000rps,1,1_CPU_1_L3_1_MemBW,56,3000,3000.002194784939,0.125,0.113,0.0,0.177,0.211,0.324,5.184,0
1replicas_scenario57_3000rps,1,2_CPU_1_L3,57,3000,3000.0039868552985,0.124,0.113,0.0,0.181,0.211,0.307,3.711,0
1replicas_scenario68_3000rps,1,1_L3_3_MemBW,68,3000,3000.005128042099,0.153,0.132,0.0,0.243,0.289,0.41,5.204,0
1replicas_scenario51_3500rps,1,1_CPU_1_L3,51,3500,3500.0030732742434,0.127,0.113,0.0,0.186,0.221,0.341,4.964,0
1replicas_scenario52_3500rps,1,1_CPU_1_MemBW,52,3500,3500.0052880247163,0.114,0.097,0.0,0.167,0.206,0.343,4.933,0
1replicas_scenario53_3500rps,1,1_CPU_2_MemBW,53,3500,3500.005984150733,0.124,0.106,0.0,0.185,0.227,0.354,3.746,0
1replicas_scenario54_3500rps,1,2_CPU_1_MemBW,54,3500,3500.004415740229,0.224,0.203,0.0,0.316,0.361,0.556,5.827,0
1replicas_scenario55_3500rps,1,1_CPU_2_L3,55,3500,3499.99987964464,0.256,0.188,0.0,0.525,0.638,0.91,12.062,0
1replicas_scenario56_3500rps,1,1_CPU_1_L3_1_MemBW,56,3500,3500.005036006567,0.213,0.193,0.0,0.34,0.402,0.604,4.541,0
1replicas_scenario57_3500rps,1,2_CPU_1_L3,57,3500,3500.005092721299,0.131,0.117,0.0,0.191,0.227,0.356,4.999,0
1replicas_scenario68_3500rps,1,1_L3_3_MemBW,68,3500,3500.0028887458584,0.183,0.136,0.0,0.322,0.46,0.746,7.669,0
1replicas_scenario51_4000rps,1,1_CPU_1_L3,51,4000,4000.0147204097284,0.131,0.118,0.0,0.187,0.222,0.369,4.42,0
1replicas_scenario52_4000rps,1,1_CPU_1_MemBW,52,4000,4000.021173912083,0.116,0.101,0.0,0.166,0.197,0.358,3.636,0
1replicas_scenario53_4000rps,1,1_CPU_2_MemBW,53,4000,3999.980924913187,0.122,0.107,0.0,0.177,0.213,0.354,3.836,0
1replicas_scenario54_4000rps,1,2_CPU_1_MemBW,54,4000,3999.9804960853676,0.231,0.198,0.0,0.349,0.405,0.642,4.593,0
1replicas_scenario55_4000rps,1,1_CPU_2_L3,55,4000,4000.01623548812,0.284,0.223,0.0,0.504,0.649,1.153,12.485,0
1replicas_scenario56_4000rps,1,1_CPU_1_L3_1_MemBW,56,4000,4000.0035573513196,0.23,0.201,0.0,0.377,0.446,0.685,6.567,0
1replicas_scenario57_4000rps,1,2_CPU_1_L3,57,4000,4000.0190928689117,0.17,0.144,0.0,0.276,0.343,0.546,5.011,0
1replicas_scenario68_4000rps,1,1_L3_3_MemBW,68,4000,3999.996391869921,0.204,0.156,0.0,0.37,0.452,0.723,5.723,0
