System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-14,01:15:41.733,1.51,92.59,0.00,1.51,92.59,0.00,2.15,0.02,0.06,1.44,94.50,0.00,4.29,85.87,1.53,0.02,0.07,2.33,92.78,0.00,3.05,61.03,3.56,0.02,0.16,3.88,92.21,0.00,7.12,142.47,0.59,0.02,0.26,0.79,88.46,0.00,1.19,23.72,0.76,0.02,0.23,0.77,95.17,0.00,1.51,30.25,0.82,0.02,0.21,0.82,94.29,0.00,1.63,32.60,0.68,0.03,0.51,1.00,95.08,0.00,1.36,27.10,0.72,0.04,0.33,1.03,88.22,0.00,1.44,28.85
2025-07-14,01:15:46.729,1.59,98.40,0.00,1.59,98.40,0.00,2.66,0.01,0.06,1.90,98.08,0.00,5.33,106.59,3.01,0.03,0.16,3.24,96.76,0.00,6.02,120.47,1.47,0.04,0.13,2.01,97.99,0.00,2.94,58.72,0.64,0.03,0.33,1.01,98.99,0.00,1.29,25.72,0.73,0.04,0.40,1.06,98.92,0.00,1.45,29.01,0.70,0.03,0.42,1.06,98.94,0.00,1.40,28.08,0.82,0.04,0.35,1.17,98.83,0.00,1.64,32.76,0.65,0.04,0.41,1.29,98.71,0.00,1.30,25.93
2025-07-14,01:15:51.732,1.57,98.43,0.00,1.57,98.43,0.00,3.71,0.01,0.08,2.14,97.86,0.00,7.42,148.34,1.50,0.03,0.07,2.42,97.58,0.00,3.01,60.13,1.48,0.03,0.07,2.48,97.52,0.00,2.95,59.03,0.62,0.03,0.35,1.06,98.94,0.00,1.25,24.91,0.61,0.05,0.50,1.04,98.96,0.00,1.22,24.41,0.82,0.03,0.25,0.95,99.05,0.00,1.64,32.86,0.82,0.04,0.34,1.18,98.82,0.00,1.65,32.99,0.67,0.04,0.42,1.27,98.73,0.00,1.35,26.97
2025-07-14,01:15:56.733,1.64,98.36,0.00,1.64,98.36,0.00,2.21,0.02,0.05,1.50,98.49,0.00,4.41,88.22,3.46,0.02,0.16,3.64,96.36,0.00,6.92,138.34,1.64,0.03,0.10,2.48,97.52,0.00,3.27,65.46,0.61,0.03,0.33,1.04,98.96,0.00,1.22,24.45,0.79,0.04,0.33,1.06,98.93,0.00,1.59,31.72,0.67,0.03,0.41,0.96,99.04,0.00,1.34,26.74,0.81,0.04,0.35,1.15,98.85,0.00,1.61,32.23,0.66,0.04,0.40,1.25,98.75,0.00,1.32,26.38
2025-07-14,01:16:01.733,1.62,98.38,0.00,1.62,98.38,0.00,2.83,0.02,0.07,1.68,98.32,0.00,5.65,113.01,2.81,0.02,0.11,3.36,96.64,0.00,5.61,112.25,1.91,0.03,0.09,2.49,97.51,0.00,3.83,76.59,0.63,0.02,0.32,0.97,99.03,0.00,1.27,25.39,0.72,0.03,0.35,0.97,99.03,0.00,1.44,28.89,0.74,0.03,0.36,1.06,98.94,0.00,1.49,29.74,0.80,0.04,0.38,1.14,98.86,0.00,1.60,32.05,0.69,0.04,0.42,1.29,98.71,0.00,1.37,27.47
2025-07-14,01:16:06.729,1.57,98.43,0.00,1.57,98.43,0.00,3.51,0.01,0.08,2.10,97.88,0.00,7.02,140.45,1.81,0.02,0.06,2.68,97.32,0.00,3.62,72.31,1.62,0.02,0.07,2.23,97.77,0.00,3.25,64.95,0.63,0.03,0.36,1.08,98.92,0.00,1.26,25.11,0.64,0.04,0.47,1.00,98.98,0.00,1.27,25.46,0.81,0.03,0.28,0.98,99.02,0.00,1.61,32.29,0.84,0.04,0.36,1.19,98.81,0.00,1.69,33.76,0.65,0.04,0.42,1.27,98.73,0.00,1.29,25.82
2025-07-14,01:16:11.733,1.64,98.36,0.00,1.64,98.36,0.00,1.68,0.01,0.04,1.36,98.64,0.00,3.35,67.07,1.57,0.03,0.08,2.50,97.50,0.00,3.14,62.71,3.78,0.01,0.17,3.93,96.07,0.00,7.57,151.37,0.65,0.03,0.32,0.97,99.03,0.00,1.29,25.89,0.82,0.03,0.27,0.99,99.01,0.00,1.64,32.70,0.78,0.03,0.25,0.94,99.06,0.00,1.56,31.20,0.68,0.04,0.65,1.23,98.77,0.00,1.35,27.08,0.72,0.05,0.40,1.23,98.77,0.00,1.45,28.90
2025-07-14,01:16:16.733,1.65,98.35,0.00,1.65,98.35,0.00,2.09,0.01,0.05,1.50,98.50,0.00,4.17,83.50,1.55,0.03,0.07,2.44,97.56,0.00,3.11,62.15,3.61,0.02,0.18,3.65,96.35,0.00,7.23,144.57,0.66,0.03,0.34,1.03,98.97,0.00,1.32,26.32,0.80,0.03,0.31,0.99,99.01,0.00,1.60,32.07,0.86,0.02,0.27,0.98,99.02,0.00,1.72,34.42,0.71,0.04,0.62,1.24,98.76,0.00,1.42,28.35,0.72,0.05,0.43,1.35,98.65,0.00,1.44,28.74
2025-07-14,01:16:21.733,1.62,98.38,0.00,1.62,98.38,0.00,2.37,0.02,0.06,1.58,98.42,0.00,4.74,94.76,1.56,0.03,0.08,2.40,97.60,0.00,3.11,62.23,3.36,0.02,0.15,3.58,96.42,0.00,6.73,134.53,0.63,0.03,0.34,1.02,98.98,0.00,1.25,25.09,0.77,0.03,0.30,0.98,99.02,0.00,1.54,30.85,0.79,0.03,0.24,0.95,99.05,0.00,1.57,31.43,0.73,0.04,0.56,1.19,98.81,0.00,1.46,29.26,0.69,0.04,0.42,1.26,98.74,0.00,1.39,27.72
2025-07-14,01:16:26.733,1.60,98.40,0.00,1.60,98.40,0.00,3.57,0.01,0.09,2.09,97.91,0.00,7.15,142.96,1.66,0.04,0.10,2.58,97.41,0.00,3.32,66.45,1.50,0.03,0.09,2.50,97.50,0.00,3.00,60.03,0.63,0.03,0.34,1.05,98.95,0.00,1.25,25.00,0.63,0.04,0.54,1.12,98.88,0.00,1.26,25.10,0.81,0.03,0.28,1.01,98.99,0.00,1.62,32.40,0.82,0.04,0.36,1.20,98.80,0.00,1.64,32.75,0.66,0.04,0.42,1.25,98.75,0.00,1.33,26.57
