System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-14,01:19:42.092,1.92,0.26,2.03,27.35,15.94,3.84,76.74,1.94,93.26,0.00,99.98,0.00
2025-07-14,01:19:47.092,1.84,0.33,2.42,27.92,16.22,3.67,73.42,2.12,97.88,0.00,100.00,0.00
2025-07-14,01:19:52.092,1.86,0.28,2.25,27.59,16.15,3.71,74.23,2.05,97.95,0.00,100.00,0.00
2025-07-14,01:19:57.093,1.83,0.29,2.37,27.33,16.02,3.66,73.23,2.08,97.92,0.00,100.00,0.00
2025-07-14,01:20:02.092,1.83,0.32,2.39,27.55,16.03,3.65,73.02,2.07,97.93,0.00,100.00,0.00
2025-07-14,01:20:07.092,1.84,0.29,2.29,27.50,16.03,3.68,73.69,2.02,97.98,0.00,100.00,0.00
2025-07-14,01:20:12.093,1.85,0.29,2.32,27.34,16.04,3.70,74.07,2.05,97.95,0.00,100.00,0.00
2025-07-14,01:20:17.092,1.81,0.30,2.40,27.28,16.07,3.63,72.59,2.05,97.95,0.00,100.00,0.00
2025-07-14,01:20:22.092,1.89,0.27,2.27,27.23,16.01,3.77,75.41,2.01,97.99,0.00,100.00,0.00
2025-07-14,01:20:27.093,1.87,0.28,2.31,27.04,15.94,3.74,74.81,2.05,97.95,0.00,100.00,0.00
2025-07-14,01:20:32.092,1.84,0.29,2.32,27.31,15.99,3.69,73.80,2.03,97.97,0.00,100.00,0.00
2025-07-14,01:20:37.093,1.82,0.30,2.39,27.14,15.97,3.65,72.96,2.07,97.93,0.00,100.00,0.00
2025-07-14,01:20:42.092,1.86,0.30,2.22,27.47,16.09,3.71,74.22,2.04,97.96,0.00,100.00,0.00
2025-07-14,01:20:47.092,1.87,0.28,2.31,27.26,16.04,3.74,74.75,2.02,97.98,0.00,100.00,0.00
2025-07-14,01:20:52.093,1.86,0.27,2.27,27.35,16.09,3.73,74.57,2.01,97.99,0.00,100.00,0.00
2025-07-14,01:20:57.092,1.88,0.27,2.25,27.32,16.07,3.75,75.01,2.02,97.97,0.00,100.00,0.00
2025-07-14,01:21:02.092,1.83,0.29,2.23,27.43,16.05,3.66,73.27,2.06,97.94,0.00,100.00,0.00
2025-07-14,01:21:07.093,1.89,0.27,2.21,27.11,15.91,3.77,75.46,2.03,97.96,0.00,100.00,0.00
2025-07-14,01:21:12.092,1.88,0.29,2.22,27.38,15.99,3.76,75.13,2.07,97.93,0.00,100.00,0.00
2025-07-14,01:21:17.093,1.85,0.28,2.25,27.45,16.04,3.69,73.84,2.03,97.97,0.00,100.00,0.00
2025-07-14,01:21:22.093,1.83,0.31,2.26,27.68,16.02,3.66,73.29,2.07,97.93,0.00,100.00,0.00
2025-07-14,01:21:27.092,1.87,0.27,2.24,27.16,15.96,3.74,74.86,2.04,97.96,0.00,100.00,0.00
2025-07-14,01:21:32.093,1.85,0.29,2.26,27.15,15.98,3.69,73.83,2.03,97.97,0.00,100.00,0.00
2025-07-14,01:21:37.092,1.84,0.28,2.28,27.25,16.00,3.67,73.44,2.02,97.98,0.00,100.00,0.00
2025-07-14,01:21:42.093,1.83,0.29,2.35,26.93,15.87,3.66,73.21,2.10,97.90,0.00,100.00,0.00
2025-07-14,01:21:47.093,1.83,0.29,2.26,26.87,15.88,3.67,73.35,2.06,97.94,0.00,100.00,0.00
2025-07-14,01:21:52.092,1.86,0.27,2.26,27.29,16.04,3.72,74.38,2.00,98.00,0.00,100.00,0.00
2025-07-14,01:21:57.093,1.84,0.29,2.23,26.85,15.74,3.69,73.80,2.05,97.94,0.00,100.00,0.00
2025-07-14,01:22:02.093,1.83,0.30,2.25,26.99,15.78,3.67,73.36,2.09,97.91,0.00,100.00,0.00
2025-07-14,01:22:07.092,1.84,0.30,2.24,26.90,15.73,3.69,73.78,2.06,97.94,0.00,100.00,0.00
2025-07-14,01:22:12.093,1.84,0.31,2.22,26.73,15.64,3.68,73.68,2.06,97.94,0.00,100.00,0.00
2025-07-14,01:22:17.093,1.82,0.32,2.33,26.75,15.67,3.63,72.65,2.06,97.94,0.00,100.00,0.00
2025-07-14,01:22:22.094,1.85,0.30,2.24,26.89,15.72,3.70,73.98,2.06,97.94,0.00,100.00,0.00
2025-07-14,01:22:27.094,1.84,0.30,2.28,26.71,15.60,3.67,73.48,2.05,97.95,0.00,100.00,0.00
2025-07-14,01:22:32.093,1.79,0.32,2.36,26.55,15.54,3.59,71.75,2.11,97.89,0.00,100.00,0.00
2025-07-14,01:22:37.094,1.85,0.29,2.26,27.18,15.86,3.71,74.18,2.05,97.94,0.00,100.00,0.00
2025-07-14,01:22:42.094,2.30,0.21,1.09,27.05,16.02,4.60,91.96,2.02,86.71,0.00,99.89,0.00
