System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-05,06:45:38.682,5.61,87.80,0.00,5.61,87.80,0.00,2.01,0.06,0.19,11.57,84.81,0.00,4.02,80.39,1.90,0.11,0.42,13.20,81.35,0.00,3.81,76.15,1.60,0.15,0.47,6.06,87.73,0.00,3.19,63.88,0.65,0.05,1.19,3.77,85.14,0.00,1.30,26.03,0.69,0.03,0.75,1.87,94.52,0.00,1.37,27.49,0.74,0.04,1.25,3.85,90.70,0.00,1.49,29.78,0.81,0.03,0.63,2.25,91.54,0.00,1.62,32.46,0.71,0.02,0.65,2.29,86.62,0.00,1.41,28.27
2025-07-05,06:45:43.680,6.63,93.37,0.00,6.63,93.37,0.00,1.71,0.08,0.24,3.85,96.15,0.00,3.41,68.22,1.97,0.13,0.42,21.99,78.01,0.00,3.95,78.92,1.81,0.12,0.41,11.81,88.19,0.00,3.62,72.38,0.67,0.05,1.43,4.17,95.83,0.00,1.34,26.84,0.80,0.03,0.69,2.27,97.73,0.00,1.59,31.86,0.69,0.06,1.69,3.91,96.09,0.00,1.38,27.66,0.74,0.03,0.86,2.54,97.46,0.00,1.47,29.47,0.70,0.03,0.78,2.50,97.50,0.00,1.40,27.98
2025-07-05,06:45:48.682,6.48,93.52,0.00,6.48,93.52,0.00,1.77,0.07,0.20,4.91,95.09,0.00,3.53,70.68,1.98,0.12,0.38,22.79,77.19,0.00,3.97,79.39,1.73,0.14,0.43,8.91,91.09,0.00,3.46,69.29,0.69,0.06,1.42,4.19,95.81,0.00,1.37,27.46,0.76,0.03,0.64,2.08,97.92,0.00,1.53,30.60,0.69,0.07,1.75,4.04,95.95,0.00,1.37,27.49,0.77,0.03,0.77,2.44,97.56,0.00,1.54,30.74,0.69,0.02,0.76,2.44,97.56,0.00,1.39,27.79
2025-07-05,06:45:53.682,6.31,93.68,0.00,6.31,93.68,0.00,1.87,0.07,0.20,7.00,93.00,0.00,3.73,74.67,1.73,0.14,0.42,10.06,89.93,0.00,3.46,69.12,1.93,0.13,0.41,18.28,81.72,0.00,3.85,77.08,0.68,0.05,1.32,4.15,95.85,0.00,1.36,27.24,0.72,0.03,0.67,2.02,97.98,0.00,1.44,28.76,0.76,0.05,1.27,4.09,95.90,0.00,1.53,30.51,0.72,0.03,0.99,2.43,97.57,0.00,1.43,28.63,0.71,0.03,0.77,2.47,97.53,0.00,1.42,28.47
2025-07-05,06:45:58.684,6.30,93.70,0.00,6.30,93.70,0.00,1.89,0.07,0.22,7.16,92.82,0.00,3.78,75.54,1.81,0.13,0.43,12.70,87.30,0.00,3.62,72.48,1.91,0.15,0.49,15.16,84.84,0.00,3.81,76.27,0.68,0.05,1.25,4.03,95.97,0.00,1.36,27.10,0.75,0.03,0.68,2.00,97.98,0.00,1.49,29.83,0.73,0.06,1.39,4.31,95.69,0.00,1.46,29.29,0.75,0.03,0.95,2.49,97.51,0.00,1.49,29.86,0.72,0.03,0.77,2.50,97.50,0.00,1.44,28.75
2025-07-05,06:46:03.683,6.04,93.96,0.00,6.04,93.96,0.00,1.93,0.07,0.21,8.24,91.76,0.00,3.86,77.17,1.85,0.13,0.42,10.13,89.87,0.00,3.70,73.98,1.92,0.12,0.43,14.51,85.49,0.00,3.83,76.62,0.66,0.06,1.47,4.21,95.79,0.00,1.33,26.58,0.71,0.03,0.84,2.19,97.81,0.00,1.41,28.23,0.77,0.07,1.35,4.07,95.93,0.00,1.54,30.83,0.74,0.03,0.91,2.44,97.56,0.00,1.48,29.69,0.72,0.04,0.80,2.50,97.50,0.00,1.44,28.75
2025-07-05,06:46:08.683,6.14,93.86,0.00,6.14,93.86,0.00,1.90,0.07,0.20,7.71,92.29,0.00,3.80,75.91,1.92,0.11,0.38,17.07,82.92,0.00,3.83,76.69,1.75,0.16,0.47,8.83,91.17,0.00,3.50,70.10,0.67,0.06,1.48,4.30,95.70,0.00,1.35,26.90,0.73,0.03,0.73,2.04,97.96,0.00,1.46,29.13,0.72,0.06,1.57,4.18,95.80,0.00,1.44,28.75,0.81,0.03,0.80,2.44,97.56,0.00,1.61,32.29,0.69,0.03,0.80,2.54,97.46,0.00,1.38,27.69
2025-07-05,06:46:13.684,6.20,93.79,0.00,6.20,93.79,0.00,1.83,0.08,0.22,6.29,93.70,0.00,3.65,73.05,1.83,0.14,0.43,13.62,86.38,0.00,3.67,73.36,1.90,0.15,0.44,14.38,85.62,0.00,3.79,75.89,0.68,0.06,1.41,4.32,95.68,0.00,1.36,27.30,0.74,0.03,0.69,2.10,97.88,0.00,1.48,29.58,0.75,0.07,1.32,3.98,96.01,0.00,1.49,29.88,0.76,0.03,0.92,2.42,97.58,0.00,1.52,30.40,0.70,0.03,0.79,2.49,97.51,0.00,1.41,28.12
2025-07-05,06:46:18.684,6.34,93.66,0.00,6.34,93.66,0.00,1.90,0.06,0.19,6.63,93.37,0.00,3.79,75.83,1.86,0.13,0.42,15.69,84.29,0.00,3.73,74.51,1.86,0.14,0.43,12.93,87.07,0.00,3.71,74.24,0.68,0.07,1.44,4.31,95.69,0.00,1.36,27.16,0.76,0.03,0.71,2.09,97.90,0.00,1.53,30.54,0.72,0.07,1.49,4.06,95.92,0.00,1.44,28.83,0.75,0.03,0.89,2.49,97.51,0.00,1.50,30.05,0.71,0.03,0.77,2.50,97.50,0.00,1.42,28.44
2025-07-05,06:46:23.683,6.21,93.78,0.00,6.21,93.78,0.00,1.90,0.07,0.21,6.85,93.13,0.00,3.81,76.15,1.93,0.13,0.40,15.37,84.63,0.00,3.86,77.14,1.86,0.12,0.40,12.24,87.76,0.00,3.72,74.35,0.67,0.05,1.48,4.28,95.72,0.00,1.33,26.64,0.74,0.03,0.71,2.04,97.94,0.00,1.47,29.50,0.74,0.06,1.52,4.05,95.94,0.00,1.48,29.64,0.76,0.03,0.86,2.42,97.58,0.00,1.53,30.55,0.70,0.03,0.78,2.44,97.56,0.00,1.40,28.08
