System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-05,07:13:12.634,2.23,1.11,10.80,5.05,5.91,4.46,89.13,6.71,86.08,0.00,98.89,0.02
2025-07-05,07:13:17.635,2.10,1.22,12.73,5.41,6.41,4.20,83.92,7.27,92.72,0.00,100.00,0.00
2025-07-05,07:13:22.635,2.12,1.19,12.15,5.42,6.39,4.24,84.76,7.25,92.74,0.00,100.00,0.00
2025-07-05,07:13:27.635,2.08,1.27,12.62,5.51,6.42,4.16,83.25,7.31,92.68,0.00,100.00,0.00
2025-07-05,07:13:32.635,2.12,1.22,12.31,5.44,6.39,4.24,84.86,7.31,92.68,0.00,100.00,0.00
2025-07-05,07:13:37.635,2.11,1.34,12.88,5.58,6.45,4.23,84.52,7.60,92.39,0.00,100.00,0.00
2025-07-05,07:13:42.636,2.13,1.29,13.17,5.60,6.51,4.27,85.36,7.48,92.50,0.00,100.00,0.00
2025-07-05,07:13:47.635,2.16,1.19,12.25,5.24,6.31,4.33,86.60,7.43,92.56,0.00,100.00,0.00
2025-07-05,07:13:52.635,2.15,1.26,12.80,5.53,6.43,4.30,85.96,7.48,92.52,0.00,100.00,0.00
2025-07-05,07:13:57.636,2.14,1.26,13.17,5.48,6.45,4.28,85.55,7.49,92.50,0.00,100.00,0.00
2025-07-05,07:14:02.635,2.13,1.29,13.16,5.54,6.48,4.26,85.22,7.52,92.47,0.00,100.00,0.00
2025-07-05,07:14:07.636,2.18,1.15,12.19,5.17,6.28,4.36,87.27,7.34,92.65,0.00,100.00,0.00
2025-07-05,07:14:12.636,2.16,1.21,12.30,5.31,6.33,4.32,86.38,7.46,92.53,0.00,100.00,0.00
2025-07-05,07:14:17.636,2.17,1.22,12.35,5.48,6.38,4.34,86.75,7.41,92.58,0.00,100.00,0.00
2025-07-05,07:14:22.637,2.13,1.28,13.17,5.53,6.47,4.25,85.10,7.59,92.40,0.00,100.00,0.00
2025-07-05,07:14:27.636,2.19,1.11,11.77,5.14,6.28,4.38,87.70,7.33,92.66,0.00,100.00,0.00
2025-07-05,07:14:32.636,2.15,1.27,12.22,5.49,6.44,4.29,85.89,7.47,92.52,0.00,100.00,0.00
2025-07-05,07:14:37.637,2.13,1.28,12.93,5.64,6.48,4.27,85.33,7.47,92.52,0.00,100.00,0.00
2025-07-05,07:14:42.636,2.15,1.28,12.34,5.49,6.41,4.30,85.96,7.53,92.46,0.00,100.00,0.00
2025-07-05,07:14:47.636,2.14,1.26,12.90,5.49,6.43,4.28,85.67,7.49,92.50,0.00,100.00,0.00
2025-07-05,07:14:52.637,2.08,1.53,13.87,6.08,6.58,4.15,83.06,7.80,92.17,0.00,100.00,0.00
2025-07-05,07:14:57.636,2.13,1.24,12.75,5.47,6.42,4.26,85.29,7.53,92.46,0.00,100.00,0.00
2025-07-05,07:15:02.636,2.08,1.43,13.52,5.93,6.60,4.17,83.36,7.67,92.32,0.00,100.00,0.00
2025-07-05,07:15:07.637,2.15,1.24,12.53,5.45,6.37,4.30,86.03,7.49,92.50,0.00,100.00,0.00
2025-07-05,07:15:12.636,2.13,1.35,12.73,5.63,6.43,4.27,85.40,7.56,92.44,0.00,100.00,0.00
2025-07-05,07:15:17.637,2.15,1.19,12.35,5.29,6.31,4.31,86.16,7.49,92.51,0.00,100.00,0.00
2025-07-05,07:15:22.637,2.17,1.19,12.02,5.29,6.23,4.34,86.78,7.53,92.47,0.00,100.00,0.00
2025-07-05,07:15:27.636,2.15,1.22,12.62,5.32,6.36,4.30,86.00,7.47,92.52,0.00,100.00,0.00
2025-07-05,07:15:32.637,2.15,1.23,12.57,5.46,6.33,4.30,86.02,7.51,92.48,0.00,100.00,0.00
2025-07-05,07:15:37.637,2.14,1.18,12.39,5.28,6.33,4.29,85.78,7.32,92.68,0.00,100.00,0.00
2025-07-05,07:15:42.636,2.11,1.24,12.51,5.48,6.40,4.22,84.36,7.37,92.63,0.00,100.00,0.00
2025-07-05,07:15:47.637,2.13,1.18,12.64,5.20,6.33,4.26,85.15,7.26,92.74,0.00,100.00,0.00
2025-07-05,07:15:52.637,2.10,1.29,13.15,5.54,6.47,4.20,84.04,7.43,92.56,0.00,100.00,0.00
2025-07-05,07:15:57.636,2.14,1.21,12.65,5.29,6.36,4.28,85.58,7.41,92.58,0.00,100.00,0.00
2025-07-05,07:16:02.637,2.13,1.29,12.61,5.57,6.45,4.25,85.04,7.54,92.45,0.00,100.00,0.00
2025-07-05,07:16:07.637,2.16,1.24,12.87,5.39,6.44,4.32,86.38,7.47,92.53,0.00,100.00,0.00
2025-07-05,07:16:12.637,2.75,0.94,5.85,5.27,5.80,5.49,109.85,7.54,71.56,0.00,98.55,0.02
