System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-25,05:52:25.734,0.66,72.78,0.00,0.66,72.78,0.00,0.76,0.01,0.04,0.43,76.61,0.00,1.51,30.24,1.53,0.01,0.02,2.29,73.09,0.00,3.05,61.03,4.07,0.00,0.02,1.88,80.50,0.00,8.14,162.73,0.33,0.00,0.02,0.17,58.82,0.00,0.66,13.12,0.37,0.01,0.03,0.24,76.80,0.00,0.73,14.63,0.44,0.00,0.00,0.05,75.32,0.00,0.87,17.45,0.37,0.00,0.01,0.06,82.32,0.00,0.74,14.82,0.37,0.01,0.02,0.20,58.79,0.00,0.74,14.81
2025-07-25,05:52:27.735,0.71,80.92,0.00,0.71,80.92,0.00,0.64,0.02,0.04,0.44,82.22,0.00,1.28,25.51,1.48,0.01,0.03,2.21,80.18,0.00,2.97,59.37,4.02,0.00,0.03,1.97,85.67,0.00,8.04,160.84,0.56,0.01,0.03,0.26,73.57,0.00,1.13,22.56,0.44,0.01,0.04,0.32,82.34,0.00,0.88,17.67,0.95,0.00,0.01,0.11,82.28,0.00,1.90,38.07,0.39,0.00,0.01,0.08,87.56,0.00,0.79,15.76,0.45,0.01,0.03,0.29,73.55,0.00,0.89,17.89
2025-07-25,05:52:29.735,0.62,78.98,0.00,0.62,78.98,0.00,0.69,0.01,0.03,0.26,75.64,0.00,1.39,27.70,1.55,0.00,0.02,1.99,81.99,0.00,3.09,61.86,4.10,0.00,0.02,1.88,85.01,0.00,8.20,163.96,0.41,0.00,0.02,0.18,71.42,0.00,0.83,16.54,0.40,0.00,0.02,0.17,75.73,0.00,0.80,16.05,0.40,0.00,0.01,0.07,83.91,0.00,0.80,16.03,0.45,0.00,0.01,0.09,86.81,0.00,0.91,18.20,0.47,0.00,0.03,0.29,71.31,0.00,0.94,18.88
2025-07-25,05:52:31.736,0.65,80.34,0.00,0.65,80.34,0.00,0.84,0.01,0.04,0.38,77.81,0.00,1.68,33.56,1.52,0.01,0.02,2.03,83.17,0.00,3.04,60.83,4.01,0.00,0.03,1.98,85.36,0.00,8.02,160.48,0.39,0.00,0.02,0.18,73.03,0.00,0.78,15.66,0.39,0.00,0.02,0.15,78.03,0.00,0.77,15.47,0.43,0.00,0.01,0.08,85.13,0.00,0.87,17.30,0.45,0.00,0.02,0.10,87.24,0.00,0.89,17.87,0.44,0.01,0.03,0.29,72.93,0.00,0.88,17.56
2025-07-25,05:52:33.735,0.69,80.76,0.00,0.69,80.76,0.00,1.35,0.01,0.04,1.16,82.30,0.00,2.69,53.89,1.48,0.01,0.04,1.55,81.64,0.00,2.95,59.04,4.03,0.00,0.03,1.92,85.31,0.00,8.06,161.14,0.62,0.00,0.03,0.23,71.69,0.00,1.25,24.92,0.42,0.01,0.02,0.21,83.25,0.00,0.84,16.82,0.63,0.00,0.01,0.10,83.09,0.00,1.26,25.29,0.48,0.00,0.02,0.08,87.14,0.00,0.96,19.12,0.46,0.01,0.03,0.26,71.66,0.00,0.92,18.45
2025-07-25,05:52:35.736,0.65,79.18,0.00,0.65,79.18,0.00,1.50,0.01,0.03,2.02,83.02,0.00,3.01,60.15,0.98,0.01,0.03,0.41,77.22,0.00,1.96,39.16,4.01,0.00,0.03,1.98,84.29,0.00,8.03,160.50,0.35,0.00,0.02,0.18,70.18,0.00,0.70,14.00,0.33,0.01,0.03,0.24,84.81,0.00,0.66,13.29,0.43,0.00,0.00,0.05,77.59,0.00,0.87,17.37,0.38,0.00,0.01,0.08,86.20,0.00,0.77,15.37,0.45,0.01,0.03,0.28,70.09,0.00,0.89,17.82
2025-07-25,05:52:37.735,0.70,81.16,0.00,0.70,81.16,0.00,1.61,0.01,0.03,2.33,83.41,0.00,3.23,64.54,0.89,0.01,0.03,0.37,81.94,0.00,1.77,35.42,4.04,0.00,0.03,1.92,85.46,0.00,8.08,161.51,0.58,0.01,0.02,0.23,71.78,0.00,1.16,23.15,0.53,0.01,0.03,0.29,85.45,0.00,1.06,21.19,0.78,0.00,0.01,0.06,82.25,0.00,1.57,31.36,0.53,0.00,0.02,0.12,87.26,0.00,1.06,21.29,0.53,0.01,0.03,0.26,71.75,0.00,1.06,21.11
2025-07-25,05:52:39.735,0.65,79.46,0.00,0.65,79.46,0.00,1.53,0.00,0.02,2.12,82.23,0.00,3.07,61.31,0.52,0.01,0.03,0.24,74.46,0.00,1.05,20.98,4.04,0.00,0.03,1.93,85.75,0.00,8.08,161.51,0.37,0.01,0.02,0.21,73.47,0.00,0.73,14.60,0.35,0.01,0.02,0.22,84.14,0.00,0.70,13.98,0.38,0.00,0.01,0.06,74.65,0.00,0.76,15.23,0.41,0.00,0.02,0.10,87.58,0.00,0.83,16.56,0.44,0.01,0.03,0.27,73.40,0.00,0.88,17.57
2025-07-25,05:52:41.736,0.66,79.05,0.00,0.66,79.05,0.00,1.54,0.00,0.02,2.15,82.95,0.00,3.07,61.44,0.57,0.01,0.03,0.28,79.98,0.00,1.14,22.83,4.06,0.00,0.03,1.93,84.62,0.00,8.11,162.24,0.37,0.00,0.02,0.19,66.72,0.00,0.73,14.68,0.36,0.01,0.03,0.25,84.84,0.00,0.72,14.43,0.45,0.00,0.01,0.08,80.18,0.00,0.90,18.09,0.38,0.00,0.02,0.09,86.45,0.00,0.76,15.25,0.43,0.01,0.03,0.27,66.64,0.00,0.86,17.28
2025-07-25,05:52:43.735,0.72,79.71,0.00,0.72,79.71,0.00,2.09,0.01,0.05,2.52,83.72,0.00,4.18,83.69,0.61,0.01,0.06,0.62,78.96,0.00,1.21,24.25,3.71,0.00,0.04,1.82,84.41,0.00,7.42,148.35,0.33,0.00,0.02,0.18,69.51,0.00,0.67,13.34,0.35,0.01,0.03,0.22,86.02,0.00,0.71,14.15,0.33,0.00,0.00,0.06,79.52,0.00,0.65,13.08,0.48,0.00,0.01,0.07,86.16,0.00,0.95,19.07,0.41,0.01,0.03,0.26,69.42,0.00,0.82,16.30
2025-07-25,05:52:45.736,0.79,79.68,0.00,0.79,79.68,0.00,3.95,0.01,0.06,3.98,81.88,0.00,7.89,157.80,1.14,0.01,0.03,0.42,78.72,0.00,2.27,45.50,1.49,0.01,0.02,1.06,84.81,0.00,2.97,59.42,0.32,0.01,0.03,0.23,70.78,0.00,0.65,12.96,0.32,0.01,0.04,0.22,85.64,0.00,0.64,12.71,0.40,0.00,0.01,0.05,79.09,0.00,0.79,15.89,0.51,0.00,0.01,0.08,85.79,0.00,1.03,20.54,0.43,0.01,0.03,0.27,70.75,0.00,0.87,17.39
2025-07-25,05:52:47.736,0.84,82.30,0.00,0.84,82.30,0.00,3.08,0.01,0.04,2.80,85.62,0.00,6.16,123.20,3.77,0.01,0.04,2.10,81.12,0.00,7.53,150.61,1.85,0.00,0.01,0.79,84.54,0.00,3.70,74.01,0.81,0.01,0.04,0.30,75.29,0.00,1.62,32.43,0.44,0.01,0.04,0.27,88.15,0.00,0.89,17.79,0.78,0.00,0.01,0.11,83.11,0.00,1.56,31.17,0.40,0.00,0.01,0.08,85.25,0.00,0.79,15.88,0.44,0.00,0.03,0.23,75.36,0.00,0.88,17.59
2025-07-25,05:52:49.736,0.71,79.03,0.00,0.71,79.03,0.00,1.49,0.01,0.03,2.25,79.95,0.00,2.99,59.76,3.44,0.01,0.03,1.04,79.80,0.00,6.88,137.68,4.05,0.00,0.02,1.57,83.50,0.00,8.11,162.15,0.34,0.01,0.03,0.26,70.60,0.00,0.68,13.63,0.37,0.01,0.02,0.18,82.02,0.00,0.75,14.98,0.32,0.00,0.01,0.06,80.78,0.00,0.63,12.60,0.44,0.00,0.02,0.11,84.96,0.00,0.87,17.48,0.43,0.01,0.03,0.26,70.59,0.00,0.85,17.06
2025-07-25,05:52:51.737,0.89,79.59,0.00,0.89,79.59,0.00,1.54,0.01,0.02,2.20,80.85,0.00,3.09,61.79,3.98,0.00,0.05,3.92,83.21,0.00,7.95,159.10,0.58,0.00,0.01,0.14,79.75,0.00,1.17,23.36,0.44,0.00,0.02,0.19,71.64,0.00,0.88,17.60,0.47,0.00,0.02,0.16,82.89,0.00,0.93,18.63,0.33,0.00,0.01,0.08,87.06,0.00,0.65,13.06,0.43,0.00,0.01,0.09,79.80,0.00,0.86,17.25,0.42,0.01,0.04,0.32,71.51,0.00,0.83,16.63
2025-07-25,05:52:53.737,0.81,80.83,0.00,0.81,80.83,0.00,1.33,0.01,0.03,0.86,79.57,0.00,2.67,53.37,3.98,0.01,0.06,3.94,83.69,0.00,7.97,159.32,1.48,0.00,0.02,0.87,84.23,0.00,2.97,59.36,0.33,0.01,0.03,0.25,73.15,0.00,0.66,13.13,0.42,0.00,0.01,0.12,80.31,0.00,0.84,16.73,0.26,0.00,0.01,0.06,87.57,0.00,0.53,10.50,0.62,0.00,0.01,0.10,85.01,0.00,1.23,24.65,0.47,0.01,0.03,0.27,73.13,0.00,0.93,18.67
2025-07-25,05:52:55.738,0.76,80.00,0.00,0.76,80.00,0.00,0.58,0.01,0.02,0.27,78.67,0.00,1.16,23.14,3.92,0.01,0.06,4.00,81.22,0.00,7.84,156.82,1.54,0.00,0.01,1.03,84.48,0.00,3.07,61.48,0.33,0.01,0.03,0.23,73.15,0.00,0.66,13.16,0.42,0.00,0.01,0.15,78.80,0.00,0.84,16.79,0.39,0.00,0.01,0.05,85.17,0.00,0.78,15.51,0.56,0.00,0.01,0.09,85.42,0.00,1.12,22.37,0.42,0.00,0.03,0.25,73.12,0.00,0.84,16.84
2025-07-25,05:52:57.737,0.77,80.76,0.00,0.77,80.76,0.00,1.10,0.01,0.03,0.47,82.51,0.00,2.21,44.16,3.95,0.01,0.05,3.73,80.58,0.00,7.91,158.10,1.91,0.00,0.01,1.07,84.53,0.00,3.82,76.40,0.37,0.00,0.02,0.18,73.05,0.00,0.74,14.89,0.37,0.01,0.03,0.27,82.71,0.00,0.75,15.00,0.31,0.00,0.01,0.06,84.25,0.00,0.62,12.33,0.42,0.00,0.01,0.10,85.50,0.00,0.83,16.64,0.43,0.01,0.03,0.29,72.94,0.00,0.86,17.26
