System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-25,02:06:04.461,2.29,0.08,0.31,11.27,6.47,4.59,91.74,1.50,86.27,0.00,99.62,0.01
2025-07-25,02:06:06.463,2.20,0.08,0.38,11.18,6.49,4.40,88.04,1.54,97.98,0.00,100.00,0.00
2025-07-25,02:06:08.461,2.12,0.10,0.43,11.30,6.56,4.24,84.80,1.61,97.80,0.00,100.00,0.00
2025-07-25,02:06:10.463,2.23,0.08,0.37,11.33,6.56,4.46,89.27,1.58,97.76,0.00,100.00,0.00
2025-07-25,02:06:12.463,2.09,0.10,0.46,11.53,6.64,4.18,83.68,1.65,97.75,0.00,100.00,0.00
2025-07-25,02:06:14.464,2.29,0.07,0.36,11.14,6.51,4.58,91.63,1.52,98.21,0.00,100.00,0.00
2025-07-25,02:06:16.464,2.27,0.07,0.37,11.37,6.59,4.54,90.88,1.52,97.96,0.00,100.00,0.00
2025-07-25,02:06:18.465,2.22,0.08,0.39,11.27,6.55,4.45,88.98,1.52,97.67,0.00,100.00,0.00
2025-07-25,02:06:20.465,2.23,0.08,0.39,11.20,6.52,4.45,89.07,1.54,97.78,0.00,100.00,0.00
2025-07-25,02:06:22.466,2.18,0.09,0.40,11.18,6.50,4.37,87.38,1.57,97.86,0.00,100.00,0.00
2025-07-25,02:06:24.465,2.20,0.08,0.38,11.17,6.50,4.40,88.10,1.52,97.97,0.00,100.00,0.00
2025-07-25,02:06:26.465,2.17,0.08,0.36,11.23,6.54,4.34,86.72,1.58,98.00,0.00,100.00,0.00
2025-07-25,02:06:28.466,2.24,0.07,0.33,11.24,6.49,4.49,89.76,1.51,98.19,0.00,100.00,0.00
2025-07-25,02:06:30.465,2.23,0.07,0.35,11.22,6.52,4.46,89.23,1.55,97.88,0.00,100.00,0.00
2025-07-25,02:06:32.465,2.24,0.07,0.32,11.25,6.54,4.48,89.69,1.52,97.92,0.00,100.00,0.00
2025-07-25,02:06:34.466,2.24,0.07,0.34,11.26,6.55,4.49,89.77,1.53,97.45,0.00,100.00,0.00
2025-07-25,02:06:36.465,2.22,0.08,0.36,11.24,6.52,4.44,88.76,1.55,97.93,0.00,100.00,0.00
2025-07-25,02:06:38.466,2.20,0.09,0.42,11.17,6.50,4.40,87.94,1.58,98.05,0.00,100.00,0.00
2025-07-25,02:06:40.466,2.20,0.08,0.39,11.19,6.50,4.41,88.11,1.55,97.70,0.00,100.00,0.00
2025-07-25,02:06:42.466,2.11,0.11,0.48,11.44,6.57,4.21,84.23,1.66,97.83,0.00,100.00,0.00
2025-07-25,02:06:44.467,2.25,0.07,0.38,11.16,6.49,4.50,90.00,1.52,97.50,0.00,100.00,0.00
2025-07-25,02:06:46.466,2.23,0.08,0.37,11.23,6.48,4.46,89.16,1.55,97.85,0.00,100.00,0.00
2025-07-25,02:06:48.467,2.27,0.08,0.34,11.09,6.42,4.53,90.66,1.53,98.02,0.00,100.00,0.00
