System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-23,03:51:22.176,1.79,83.90,0.00,1.79,83.90,0.00,3.44,0.01,0.05,3.06,90.35,0.00,6.87,137.45,0.62,0.01,0.03,0.37,83.89,0.00,1.23,24.66,2.96,0.01,0.09,6.58,83.93,0.00,5.92,118.42,0.39,0.01,0.04,0.39,74.23,0.00,0.77,15.48,0.37,0.02,0.15,1.05,92.36,0.00,0.73,14.62,0.53,0.01,0.03,0.37,83.88,0.00,1.06,21.23,0.39,0.02,0.17,1.25,89.26,0.00,0.77,15.43,0.47,0.03,0.11,1.29,73.33,0.00,0.94,18.81
2025-07-23,03:51:24.177,2.20,97.80,0.00,2.20,97.80,0.00,3.31,0.01,0.05,3.05,96.95,0.00,6.63,132.59,0.49,0.01,0.02,0.32,99.68,0.00,0.99,19.75,2.72,0.01,0.09,6.60,93.40,0.00,5.44,108.71,0.47,0.01,0.08,0.74,99.26,0.00,0.94,18.81,0.41,0.03,0.23,1.61,98.39,0.00,0.82,16.34,0.57,0.01,0.06,0.71,99.29,0.00,1.15,22.93,0.40,0.04,0.32,2.32,97.68,0.00,0.80,16.00,0.49,0.04,0.20,2.20,97.80,0.00,0.99,19.70
2025-07-23,03:51:26.176,1.92,98.08,0.00,1.92,98.08,0.00,2.73,0.01,0.04,3.40,96.60,0.00,5.45,109.08,3.21,0.01,0.05,2.70,97.30,0.00,6.43,128.56,2.07,0.02,0.05,1.54,98.46,0.00,4.14,82.84,0.42,0.01,0.08,0.79,99.21,0.00,0.83,16.69,0.36,0.03,0.20,1.63,98.37,0.00,0.73,14.56,0.39,0.02,0.10,0.76,99.23,0.00,0.79,15.73,0.49,0.04,0.20,2.25,97.75,0.00,0.99,19.76,0.46,0.04,0.20,2.29,97.71,0.00,0.91,18.30
2025-07-23,03:51:28.177,1.88,98.12,0.00,1.88,98.12,0.00,2.67,0.01,0.05,3.36,96.64,0.00,5.34,106.78,3.33,0.01,0.05,3.16,96.84,0.00,6.66,133.26,0.73,0.03,0.05,0.82,99.18,0.00,1.46,29.12,0.46,0.01,0.07,0.72,99.28,0.00,0.91,18.28,0.36,0.03,0.21,1.78,98.22,0.00,0.73,14.55,0.38,0.02,0.10,0.75,99.25,0.00,0.76,15.30,0.53,0.04,0.18,2.23,97.77,0.00,1.06,21.26,0.46,0.04,0.20,2.20,97.80,0.00,0.93,18.51
2025-07-23,03:51:30.177,1.97,98.02,0.00,1.97,98.02,0.00,2.62,0.01,0.04,3.30,96.70,0.00,5.23,104.62,3.27,0.01,0.05,3.20,96.76,0.00,6.55,130.91,0.83,0.04,0.07,1.06,98.94,0.00,1.67,33.37,0.43,0.02,0.08,0.85,99.15,0.00,0.86,17.22,0.40,0.04,0.21,1.86,98.14,0.00,0.80,15.94,0.39,0.02,0.12,0.91,99.05,0.00,0.78,15.61,0.50,0.04,0.18,2.22,97.78,0.00,1.00,19.92,0.47,0.04,0.21,2.34,97.66,0.00,0.93,18.69
2025-07-23,03:51:32.176,2.25,97.75,0.00,2.25,97.75,0.00,2.61,0.01,0.04,3.35,96.65,0.00,5.21,104.25,2.81,0.02,0.05,1.67,98.33,0.00,5.62,112.36,2.72,0.03,0.10,4.44,95.56,0.00,5.44,108.88,0.50,0.02,0.09,0.90,99.10,0.00,1.00,19.98,0.40,0.04,0.21,1.92,98.08,0.00,0.80,15.92,0.44,0.02,0.09,0.90,99.10,0.00,0.88,17.58,0.43,0.04,0.28,2.38,97.62,0.00,0.85,17.04,0.47,0.04,0.21,2.42,97.58,0.00,0.93,18.67
2025-07-23,03:51:34.177,2.17,97.83,0.00,2.17,97.83,0.00,1.44,0.01,0.03,0.53,99.47,0.00,2.88,57.58,2.77,0.01,0.05,3.18,96.82,0.00,5.55,110.91,3.04,0.02,0.10,6.24,93.76,0.00,6.07,121.44,0.54,0.01,0.07,0.73,99.27,0.00,1.08,21.52,0.63,0.03,0.14,1.63,98.37,0.00,1.26,25.22,0.43,0.02,0.10,0.85,99.15,0.00,0.86,17.26,0.40,0.03,0.30,2.12,97.88,0.00,0.79,15.89,0.47,0.04,0.19,2.08,97.92,0.00,0.94,18.76
2025-07-23,03:51:36.177,2.11,97.89,0.00,2.11,97.89,0.00,0.53,0.01,0.02,0.28,99.72,0.00,1.05,21.07,2.74,0.01,0.04,3.26,96.74,0.00,5.49,109.80,3.18,0.01,0.10,6.49,93.51,0.00,6.37,127.36,0.42,0.01,0.06,0.66,99.34,0.00,0.83,16.68,0.63,0.02,0.11,1.31,98.69,0.00,1.26,25.12,0.34,0.01,0.07,0.67,99.33,0.00,0.67,13.42,0.39,0.04,0.31,2.19,97.81,0.00,0.77,15.49,0.50,0.04,0.18,2.02,97.98,0.00,1.00,20.09
2025-07-23,03:51:38.178,2.21,97.79,0.00,2.21,97.79,0.00,0.41,0.01,0.02,0.30,99.70,0.00,0.82,16.35,2.75,0.01,0.04,3.31,96.69,0.00,5.50,110.00,3.11,0.02,0.10,6.48,93.52,0.00,6.23,124.57,0.45,0.01,0.07,0.67,99.33,0.00,0.91,18.16,0.57,0.02,0.13,1.50,98.50,0.00,1.15,22.90,0.35,0.02,0.09,0.79,99.20,0.00,0.70,14.07,0.40,0.04,0.35,2.44,97.56,0.00,0.79,15.85,0.48,0.04,0.19,2.16,97.84,0.00,0.97,19.31
2025-07-23,03:51:40.178,2.20,97.79,0.00,2.20,97.79,0.00,1.08,0.01,0.03,0.42,99.58,0.00,2.15,43.05,2.70,0.01,0.04,3.28,96.71,0.00,5.39,107.89,3.13,0.02,0.11,6.56,93.44,0.00,6.25,125.03,0.43,0.01,0.06,0.62,99.38,0.00,0.87,17.36,0.56,0.02,0.13,1.57,98.43,0.00,1.12,22.37,0.33,0.02,0.08,0.73,99.25,0.00,0.66,13.11,0.39,0.04,0.33,2.33,97.67,0.00,0.79,15.72,0.49,0.04,0.19,2.10,97.90,0.00,0.97,19.42
