System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-23,01:31:31.838,0.69,0.03,0.16,0.47,0.07,1.39,27.79,0.26,80.64,0.00,96.71,0.19
2025-07-23,01:31:33.837,0.90,0.02,0.10,0.32,0.05,1.80,35.95,0.21,99.00,0.00,100.00,0.00
2025-07-23,01:31:35.837,0.91,0.03,0.19,0.34,0.05,1.83,36.60,0.28,99.38,0.00,100.00,0.00
2025-07-23,01:31:37.837,0.85,0.02,0.17,0.33,0.05,1.69,33.85,0.28,99.43,0.00,100.00,0.00
2025-07-23,01:31:39.837,0.84,0.02,0.16,0.34,0.05,1.67,33.50,0.27,99.55,0.00,100.00,0.00
2025-07-23,01:31:41.837,0.80,0.02,0.15,0.29,0.04,1.60,32.08,0.25,99.13,0.00,100.00,0.00
2025-07-23,01:31:43.838,0.93,0.01,0.11,0.32,0.05,1.86,37.23,0.22,98.79,0.00,100.00,0.00
2025-07-23,01:31:45.837,0.90,0.03,0.16,0.32,0.04,1.81,36.11,0.26,99.18,0.00,100.00,0.00
2025-07-23,01:31:47.837,0.88,0.02,0.15,0.36,0.05,1.76,35.12,0.26,99.32,0.00,100.00,0.00
2025-07-23,01:31:49.837,0.82,0.02,0.15,0.31,0.05,1.64,32.90,0.25,98.96,0.00,100.00,0.00
2025-07-23,01:31:51.837,0.96,0.04,0.23,0.51,0.12,1.91,38.28,0.34,99.13,0.00,100.00,0.00
2025-07-23,01:31:53.837,1.04,0.03,0.18,0.29,0.04,2.08,41.56,0.28,98.75,0.00,100.00,0.00
2025-07-23,01:31:55.837,0.84,0.02,0.16,0.32,0.05,1.68,33.58,0.26,99.09,0.00,100.00,0.00
2025-07-23,01:31:57.837,0.88,0.03,0.17,0.34,0.05,1.77,35.37,0.28,99.35,0.00,100.00,0.00
2025-07-23,01:31:59.837,0.84,0.02,0.17,0.35,0.06,1.67,33.46,0.27,99.62,0.00,100.00,0.00
