System - Date,System - Time,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,SKT0 Core C-State - C0res%,SKT0 Core C-State - C1res%,SKT0 Core C-State - C6res%,Core0 (Socket 0) - IPC,Core0 (Socket 0) - L3MISS,Core0 (Socket 0) - L2MISS,Core0 (Socket 0) - C0res%,Core0 (Socket 0) - C1res%,Core0 (Socket 0) - C6res%,Core0 (Socket 0) - PhysIPC,Core0 (Socket 0) - PhysIPC%,Core1 (Socket 0) - IPC,Core1 (Socket 0) - L3MISS,Core1 (Socket 0) - L2MISS,Core1 (Socket 0) - C0res%,Core1 (Socket 0) - C1res%,Core1 (Socket 0) - C6res%,Core1 (Socket 0) - PhysIPC,Core1 (Socket 0) - PhysIPC%,Core2 (Socket 0) - IPC,Core2 (Socket 0) - L3MISS,Core2 (Socket 0) - L2MISS,Core2 (Socket 0) - C0res%,Core2 (Socket 0) - C1res%,Core2 (Socket 0) - C6res%,Core2 (Socket 0) - PhysIPC,Core2 (Socket 0) - PhysIPC%,Core3 (Socket 0) - IPC,Core3 (Socket 0) - L3MISS,Core3 (Socket 0) - L2MISS,Core3 (Socket 0) - C0res%,Core3 (Socket 0) - C1res%,Core3 (Socket 0) - C6res%,Core3 (Socket 0) - PhysIPC,Core3 (Socket 0) - PhysIPC%,Core4 (Socket 0) - IPC,Core4 (Socket 0) - L3MISS,Core4 (Socket 0) - L2MISS,Core4 (Socket 0) - C0res%,Core4 (Socket 0) - C1res%,Core4 (Socket 0) - C6res%,Core4 (Socket 0) - PhysIPC,Core4 (Socket 0) - PhysIPC%,Core5 (Socket 0) - IPC,Core5 (Socket 0) - L3MISS,Core5 (Socket 0) - L2MISS,Core5 (Socket 0) - C0res%,Core5 (Socket 0) - C1res%,Core5 (Socket 0) - C6res%,Core5 (Socket 0) - PhysIPC,Core5 (Socket 0) - PhysIPC%,Core6 (Socket 0) - IPC,Core6 (Socket 0) - L3MISS,Core6 (Socket 0) - L2MISS,Core6 (Socket 0) - C0res%,Core6 (Socket 0) - C1res%,Core6 (Socket 0) - C6res%,Core6 (Socket 0) - PhysIPC,Core6 (Socket 0) - PhysIPC%,Core7 (Socket 0) - IPC,Core7 (Socket 0) - L3MISS,Core7 (Socket 0) - L2MISS,Core7 (Socket 0) - C0res%,Core7 (Socket 0) - C1res%,Core7 (Socket 0) - C6res%,Core7 (Socket 0) - PhysIPC,Core7 (Socket 0) - PhysIPC%
2025-07-23,11:12:43.058,0.96,82.01,0.00,0.96,82.01,0.00,3.29,0.01,0.03,0.77,85.43,0.00,6.58,131.61,3.83,0.00,0.03,2.33,86.01,0.00,7.67,153.38,0.57,0.01,0.04,0.42,83.14,0.00,1.15,22.94,0.63,0.02,0.16,1.20,72.59,0.00,1.27,25.40,0.79,0.01,0.14,1.12,85.10,0.00,1.58,31.60,0.58,0.01,0.11,0.59,87.75,0.00,1.17,23.34,0.85,0.01,0.07,0.61,82.95,0.00,1.71,34.17,0.64,0.01,0.08,0.64,73.15,0.00,1.27,25.43
2025-07-23,11:12:45.059,1.41,98.59,0.00,1.41,98.59,0.00,0.60,0.01,0.03,0.27,99.73,0.00,1.21,24.19,3.76,0.00,0.04,2.86,97.14,0.00,7.52,150.37,0.64,0.02,0.06,0.58,99.42,0.00,1.29,25.71,0.61,0.02,0.29,2.10,97.90,0.00,1.22,24.46,0.83,0.02,0.23,1.98,98.02,0.00,1.65,33.01,0.61,0.01,0.20,1.09,98.91,0.00,1.21,24.28,0.92,0.01,0.12,1.18,98.82,0.00,1.84,36.73,0.67,0.01,0.15,1.24,98.76,0.00,1.34,26.86
2025-07-23,11:12:47.058,1.15,98.84,0.00,1.15,98.84,0.00,0.57,0.01,0.02,0.18,99.82,0.00,1.14,22.85,3.85,0.00,0.05,2.87,97.08,0.00,7.71,154.11,0.54,0.02,0.06,0.50,99.50,0.00,1.09,21.73,0.62,0.02,0.24,1.62,98.38,0.00,1.23,24.70,0.87,0.02,0.19,1.53,98.47,0.00,1.73,34.63,0.64,0.01,0.16,0.76,99.20,0.00,1.28,25.53,0.91,0.01,0.11,0.86,99.14,0.00,1.81,36.20,0.68,0.01,0.13,0.90,99.10,0.00,1.36,27.28
2025-07-23,11:12:49.058,1.14,98.86,0.00,1.14,98.86,0.00,3.58,0.01,0.04,1.64,98.36,0.00,7.17,143.39,3.62,0.01,0.03,1.48,98.52,0.00,7.25,144.91,0.60,0.01,0.04,0.35,99.65,0.00,1.21,24.13,0.63,0.02,0.22,1.48,98.52,0.00,1.26,25.20,0.74,0.02,0.23,1.46,98.54,0.00,1.49,29.76,0.74,0.01,0.14,0.83,99.17,0.00,1.48,29.61,0.89,0.01,0.11,0.89,99.11,0.00,1.78,35.54,0.68,0.01,0.14,0.99,99.01,0.00,1.36,27.17
2025-07-23,11:12:51.058,1.16,98.84,0.00,1.16,98.84,0.00,3.81,0.00,0.05,2.79,97.21,0.00,7.63,152.53,0.57,0.01,0.02,0.20,99.80,0.00,1.15,22.99,0.57,0.02,0.05,0.42,99.58,0.00,1.14,22.85,0.64,0.02,0.26,1.63,98.37,0.00,1.29,25.79,0.63,0.03,0.34,1.58,98.42,0.00,1.26,25.11,0.86,0.01,0.10,0.79,99.21,0.00,1.73,34.55,0.91,0.01,0.11,0.92,99.08,0.00,1.82,36.41,0.68,0.01,0.14,0.98,99.02,0.00,1.35,27.07
2025-07-23,11:12:53.058,1.27,98.72,0.00,1.27,98.72,0.00,3.71,0.00,0.06,2.87,97.06,0.00,7.43,148.57,1.21,0.01,0.04,0.36,99.64,0.00,2.41,48.21,0.85,0.03,0.07,0.69,99.31,0.00,1.71,34.13,0.62,0.03,0.26,1.77,98.23,0.00,1.23,24.61,0.60,0.03,0.35,1.80,98.13,0.00,1.21,24.17,0.81,0.01,0.10,0.83,99.17,0.00,1.63,32.60,0.85,0.01,0.11,0.88,99.12,0.00,1.70,34.00,0.65,0.01,0.13,0.92,99.08,0.00,1.30,26.02
2025-07-23,11:12:55.058,1.20,98.80,0.00,1.20,98.80,0.00,3.76,0.01,0.05,2.87,97.12,0.00,7.51,150.23,0.94,0.01,0.03,0.32,99.68,0.00,1.87,37.48,0.54,0.02,0.06,0.49,99.51,0.00,1.09,21.73,0.59,0.02,0.27,1.66,98.34,0.00,1.18,23.59,0.59,0.03,0.35,1.61,98.38,0.00,1.18,23.64,0.79,0.01,0.11,0.77,99.23,0.00,1.57,31.49,0.89,0.01,0.11,0.89,99.11,0.00,1.77,35.50,0.67,0.01,0.14,0.96,99.04,0.00,1.34,26.84
2025-07-23,11:12:57.058,1.13,98.87,0.00,1.13,98.87,0.00,3.82,0.00,0.04,2.87,97.13,0.00,7.64,152.89,0.56,0.01,0.02,0.18,99.82,0.00,1.13,22.59,1.00,0.01,0.04,0.43,99.57,0.00,2.00,40.04,0.60,0.02,0.24,1.58,98.42,0.00,1.20,23.99,0.61,0.02,0.30,1.49,98.51,0.00,1.23,24.57,0.85,0.01,0.09,0.73,99.27,0.00,1.70,34.01,0.88,0.01,0.11,0.89,99.11,0.00,1.75,35.07,0.66,0.01,0.13,0.92,99.08,0.00,1.32,26.40
2025-07-23,11:12:59.058,1.17,98.83,0.00,1.17,98.83,0.00,3.80,0.00,0.05,2.76,97.23,0.00,7.60,151.98,0.83,0.01,0.03,0.32,99.68,0.00,1.66,33.16,0.96,0.02,0.06,0.58,99.42,0.00,1.92,38.32,0.61,0.02,0.24,1.60,98.40,0.00,1.22,24.40,0.62,0.02,0.32,1.56,98.44,0.00,1.23,24.63,0.85,0.01,0.09,0.72,99.28,0.00,1.70,34.10,0.91,0.01,0.11,0.86,99.14,0.00,1.81,36.28,0.67,0.01,0.13,0.94,99.06,0.00,1.35,26.98
2025-07-23,11:13:01.058,1.19,98.81,0.00,1.19,98.81,0.00,3.77,0.00,0.04,2.79,97.21,0.00,7.54,150.84,0.49,0.01,0.02,0.21,99.79,0.00,0.98,19.58,0.57,0.01,0.04,0.36,99.64,0.00,1.14,22.82,0.64,0.02,0.24,1.72,98.28,0.00,1.28,25.58,0.60,0.03,0.35,1.69,98.31,0.00,1.21,24.13,0.88,0.01,0.10,0.86,99.14,0.00,1.76,35.19,0.87,0.01,0.11,0.89,99.11,0.00,1.75,34.97,0.66,0.01,0.14,0.98,99.02,0.00,1.31,26.23
