System - Date,System - Time,System - IPC,System - L3MISS,System - L2MISS,System - READ,System - WRITE,System - PhysIPC,System - PhysIPC%,System Core C-States - C0res%,System Core C-States - C1res%,System Core C-States - C6res%,System Pack C-States - C0res%,System Pack C-States - C6res%
2025-07-23,12:23:01.846,0.97,0.26,1.10,11.11,12.31,1.95,38.96,3.93,87.71,0.00,100.00,0.00
2025-07-23,12:23:03.845,0.65,0.36,1.73,11.63,11.56,1.30,25.95,5.20,94.80,0.00,100.00,0.00
2025-07-23,12:23:05.846,0.66,0.38,1.73,11.87,11.39,1.33,26.57,5.14,94.86,0.00,100.00,0.00
2025-07-23,12:23:07.845,0.69,0.34,1.68,11.76,11.57,1.38,27.50,5.07,94.93,0.00,100.00,0.00
2025-07-23,12:23:09.845,0.64,0.36,1.66,11.53,11.32,1.29,25.78,5.14,94.86,0.00,100.00,0.00
2025-07-23,12:23:11.845,0.60,0.43,1.91,12.01,11.21,1.21,24.14,5.58,94.42,0.00,100.00,0.00
2025-07-23,12:23:13.846,0.73,0.37,1.70,11.67,11.33,1.47,29.39,5.06,94.94,0.00,100.00,0.00
2025-07-23,12:23:15.847,0.64,0.34,1.69,11.60,11.34,1.27,25.47,5.08,94.92,0.00,100.00,0.00
2025-07-23,12:23:17.846,0.64,0.36,1.78,11.54,11.34,1.28,25.51,5.20,94.80,0.00,100.00,0.00
2025-07-23,12:23:19.846,0.65,0.38,1.71,11.86,11.54,1.29,25.85,5.15,94.85,0.00,100.00,0.00
2025-07-23,12:23:21.846,0.67,0.35,1.68,11.70,11.39,1.34,26.78,5.05,94.95,0.00,100.00,0.00
2025-07-23,12:23:23.847,0.68,0.36,1.70,11.62,11.40,1.36,27.19,5.22,94.78,0.00,100.00,0.00
2025-07-23,12:23:25.846,0.71,0.37,1.73,11.67,11.43,1.43,28.50,5.10,94.90,0.00,100.00,0.00
2025-07-23,12:23:27.846,0.68,0.36,1.73,11.51,11.28,1.37,27.34,5.10,94.90,0.00,100.00,0.00
2025-07-23,12:23:29.847,0.70,0.33,1.63,11.68,11.48,1.40,27.92,4.86,95.14,0.00,100.00,0.00
2025-07-23,12:23:31.847,0.70,0.37,1.72,11.64,11.34,1.40,28.04,5.16,94.84,0.00,100.00,0.00
2025-07-23,12:23:33.848,0.64,0.34,1.66,11.49,11.37,1.28,25.63,5.00,95.00,0.00,100.00,0.00
2025-07-23,12:23:35.847,0.70,0.34,1.68,11.74,11.64,1.41,28.15,5.07,94.93,0.00,100.00,0.00
2025-07-23,12:23:37.848,0.64,0.35,1.65,11.76,11.52,1.28,25.59,5.05,94.95,0.00,100.00,0.00
2025-07-23,12:23:39.847,0.67,0.36,1.72,11.66,11.54,1.34,26.75,5.18,94.82,0.00,100.00,0.00
2025-07-23,12:23:41.848,0.64,0.41,1.80,12.09,11.30,1.28,25.55,5.28,94.72,0.00,100.00,0.00
2025-07-23,12:23:43.847,0.66,0.37,1.73,11.66,11.36,1.32,26.31,5.16,94.84,0.00,100.00,0.00
2025-07-23,12:23:45.848,0.68,0.34,1.70,11.58,11.37,1.36,27.12,5.00,95.00,0.00,100.00,0.00
2025-07-23,12:23:47.847,0.67,0.37,1.72,11.65,11.31,1.34,26.85,5.09,94.91,0.00,100.00,0.00
2025-07-23,12:23:49.848,0.66,0.39,1.76,11.68,11.37,1.33,26.59,5.23,94.77,0.00,100.00,0.00
2025-07-23,12:23:51.847,0.66,0.35,1.71,11.70,11.35,1.33,26.51,5.12,94.88,0.00,100.00,0.00
2025-07-23,12:23:53.847,0.65,0.35,1.70,11.42,11.24,1.30,25.92,5.03,94.97,0.00,100.00,0.00
2025-07-23,12:23:55.848,0.66,0.35,1.69,11.60,11.37,1.32,26.42,5.05,94.95,0.00,100.00,0.00
2025-07-23,12:23:57.847,0.64,0.37,1.68,11.61,11.22,1.29,25.71,5.13,94.87,0.00,100.00,0.00
2025-07-23,12:23:59.848,0.69,0.33,1.64,11.43,11.18,1.38,27.60,5.00,95.00,0.00,100.00,0.00
2025-07-23,12:24:01.847,0.66,0.37,1.78,11.54,11.09,1.32,26.48,5.22,94.76,0.00,100.00,0.00
2025-07-23,12:24:03.847,0.70,0.36,1.77,11.39,11.03,1.40,27.99,5.16,94.84,0.00,100.00,0.00
2025-07-23,12:24:05.848,0.67,0.34,1.66,11.29,10.95,1.34,26.81,4.95,95.05,0.00,100.00,0.00
2025-07-23,12:24:07.847,0.64,0.40,1.85,11.47,11.00,1.28,25.61,5.31,94.69,0.00,100.00,0.00
2025-07-23,12:24:09.847,0.64,0.36,1.76,11.30,10.95,1.29,25.71,5.19,94.81,0.00,100.00,0.00
2025-07-23,12:24:11.848,0.63,0.42,1.88,11.91,10.92,1.26,25.10,5.35,94.65,0.00,100.00,0.00
2025-07-23,12:24:13.848,0.66,0.36,1.74,11.35,10.89,1.33,26.58,5.15,94.85,0.00,100.00,0.00
2025-07-23,12:24:15.849,0.67,0.35,1.72,11.32,11.00,1.33,26.68,5.11,94.89,0.00,100.00,0.00
2025-07-23,12:24:17.848,0.67,0.34,1.67,11.43,11.06,1.33,26.69,5.08,94.92,0.00,100.00,0.00
2025-07-23,12:24:19.848,0.67,0.36,1.74,11.46,11.03,1.34,26.79,5.12,94.88,0.00,100.00,0.00
2025-07-23,12:24:21.849,0.65,0.33,1.64,11.37,10.99,1.30,25.93,4.94,95.06,0.00,100.00,0.00
2025-07-23,12:24:23.849,0.68,0.35,1.75,11.39,10.92,1.36,27.28,5.12,94.88,0.00,100.00,0.00
2025-07-23,12:24:25.850,0.66,0.36,1.72,11.31,10.93,1.32,26.46,5.21,94.79,0.00,100.00,0.00
2025-07-23,12:24:27.849,0.69,0.38,1.83,11.53,11.07,1.38,27.68,5.23,94.77,0.00,100.00,0.00
2025-07-23,12:24:29.850,0.69,0.37,1.80,11.36,11.03,1.39,27.76,5.17,94.83,0.00,100.00,0.00
2025-07-23,12:24:31.849,0.66,0.36,1.68,11.40,11.05,1.31,26.24,4.94,95.06,0.00,100.00,0.00
2025-07-23,12:24:33.849,0.63,0.37,1.70,11.38,11.08,1.25,25.09,5.13,94.87,0.00,100.00,0.00
2025-07-23,12:24:35.850,0.71,0.35,1.75,11.32,10.98,1.41,28.21,5.06,94.94,0.00,100.00,0.00
2025-07-23,12:24:37.849,0.69,0.36,1.75,11.30,10.87,1.39,27.79,5.16,94.84,0.00,100.00,0.00
2025-07-23,12:24:39.850,0.64,0.34,1.67,11.24,10.94,1.27,25.43,4.94,95.06,0.00,100.00,0.00
2025-07-23,12:24:41.849,0.62,0.42,1.87,12.07,11.14,1.25,25.00,5.24,94.76,0.00,100.00,0.00
2025-07-23,12:24:43.849,0.69,0.38,1.75,11.54,11.02,1.37,27.44,5.32,94.68,0.00,100.00,0.00
2025-07-23,12:24:45.850,0.65,0.36,1.74,11.33,11.01,1.30,26.06,5.08,94.92,0.00,100.00,0.00
2025-07-23,12:24:47.849,0.66,0.37,1.78,11.41,10.94,1.32,26.34,5.13,94.87,0.00,100.00,0.00
2025-07-23,12:24:49.850,0.70,0.35,1.74,11.23,10.88,1.40,27.98,5.05,94.95,0.00,100.00,0.00
2025-07-23,12:24:51.849,0.63,0.35,1.77,11.38,10.96,1.27,25.34,5.06,94.94,0.00,100.00,0.00
2025-07-23,12:24:53.849,0.68,0.35,1.72,11.35,10.86,1.36,27.22,5.14,94.86,0.00,100.00,0.00
2025-07-23,12:24:55.850,0.66,0.36,1.74,11.18,10.89,1.33,26.55,5.13,94.87,0.00,100.00,0.00
2025-07-23,12:24:57.849,0.67,0.34,1.69,11.24,10.90,1.35,26.98,5.08,94.92,0.00,100.00,0.00
2025-07-23,12:24:59.849,0.68,0.36,1.70,11.14,10.82,1.35,27.00,5.01,94.99,0.00,100.00,0.00
2025-07-23,12:25:01.850,0.64,0.37,1.81,11.41,10.96,1.28,25.64,5.23,94.77,0.00,100.00,0.00
2025-07-23,12:25:03.849,0.64,0.37,1.70,11.31,10.97,1.29,25.74,5.07,94.93,0.00,100.00,0.00
2025-07-23,12:25:05.850,0.63,0.36,1.75,11.53,10.91,1.26,25.15,5.18,94.82,0.00,100.00,0.00
2025-07-23,12:25:07.849,0.64,0.39,1.85,11.48,10.99,1.27,25.45,5.20,94.80,0.00,100.00,0.00
2025-07-23,12:25:09.849,0.72,0.34,1.63,11.24,10.90,1.43,28.68,4.95,95.05,0.00,100.00,0.00
2025-07-23,12:25:11.850,0.65,0.44,1.86,11.91,10.99,1.30,25.92,5.42,94.58,0.00,100.00,0.00
2025-07-23,12:25:13.849,0.68,0.39,1.75,11.55,10.84,1.36,27.23,5.35,94.65,0.00,100.00,0.00
2025-07-23,12:25:15.850,0.68,0.37,1.73,11.22,10.79,1.36,27.29,5.04,94.96,0.00,100.00,0.00
2025-07-23,12:25:17.849,0.67,0.39,1.76,11.26,10.74,1.34,26.86,5.12,94.88,0.00,100.00,0.00
2025-07-23,12:25:19.850,0.64,0.37,1.72,11.24,10.78,1.28,25.55,5.11,94.89,0.00,100.00,0.00
2025-07-23,12:25:21.849,0.70,0.38,1.71,11.37,10.77,1.40,27.96,5.07,94.93,0.00,100.00,0.00
2025-07-23,12:25:23.850,0.70,0.38,1.82,11.29,10.87,1.40,27.98,5.20,94.80,0.00,100.00,0.00
2025-07-23,12:25:25.849,0.69,0.36,1.70,11.03,10.62,1.39,27.72,5.08,94.92,0.00,100.00,0.00
2025-07-23,12:25:27.849,0.68,0.38,1.74,11.19,10.65,1.36,27.18,5.08,94.92,0.00,100.00,0.00
2025-07-23,12:25:29.850,0.68,0.33,1.65,11.00,10.65,1.36,27.17,4.94,95.06,0.00,100.00,0.00
